new,host,a,cname,soa,status_code,aaaa,has_internal_ips,internal_ips,txt,cdn,cdn-name,ns,mx
[x],0-courier2.jp.larksuite.com,"62.115.252.72, 80.239.137.137","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],0-courier2.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],03a.sg.larksuite.com,"23.53.43.34, 23.53.43.51","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],0fwww-6-4.jp.larksuite.com,"23.213.161.198, 23.213.161.211","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],0pml2wpb.sg.larksuite.com,"95.101.111.166, 95.101.111.148","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],10.jp.larksuite.com,"2.16.241.78, 2.16.241.95","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],10.sg.larksuite.com,"2.16.241.80, 2.16.241.78","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],100.230.127.209.bc.larksuite.com,"184.25.51.67, 184.25.51.24","wildcard.larksuite.com.ttdns1.com, wildcard.larksuite.com.default.ttdns1.com, wildcard.larksuite.com.edgesuite.net, a1825.r.akamai.net",,NOERROR,,,,,,,,
[x],10newelasticbeanstalk.jp.larksuite.com,"23.12.147.37, 23.12.147.28","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],11-intl.jp.larksuite.com,104.126.37.144,"wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],140journos.jp.larksuite.com,"23.53.42.249, 23.53.43.73","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-171-95.jp.larksuite.com,"80.239.137.137, 62.115.252.72","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-171-95.sg.larksuite.com,"104.126.37.153, 104.126.37.145","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-173-16.jp.larksuite.com,104.126.37.144,"wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-173-16.sg.larksuite.com,"2.16.241.80, 2.16.241.78","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-182-32.jp.larksuite.com,"23.213.161.211, 23.213.161.198","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-182-33.jp.larksuite.com,"95.101.111.161, 95.101.111.175","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-182-33.sg.larksuite.com,"95.101.111.148, 95.101.111.166","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-182-45.sg.larksuite.com,"2.16.241.80, 2.16.241.78","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-183-62.jp.larksuite.com,"2.16.241.78, 2.16.241.95","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-183-87.sg.larksuite.com,"92.122.215.105, 2.20.142.67","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-184-43.jp.larksuite.com,"104.71.130.18, 104.71.130.49","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-184-43.sg.larksuite.com,"104.126.37.153, 104.126.37.145","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-192-11.jp.larksuite.com,"23.53.43.73, 23.53.42.249","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-192-6.sg.larksuite.com,"23.0.174.104, 23.0.174.112","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-192-95.jp.larksuite.com,"2.16.187.136, 2.16.187.153","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-193-66.jp.larksuite.com,"62.115.252.72, 80.239.137.137","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-193-66.sg.larksuite.com,"2.16.241.80, 2.16.241.78","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-197-96.jp.larksuite.com,104.126.37.144,"wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-198-69.jp.larksuite.com,"23.53.42.249, 23.53.43.73","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-198-86.jp.larksuite.com,"2.16.241.95, 2.16.241.78","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],155-9-199-15.jp.larksuite.com,"23.213.161.211, 23.213.161.198","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-199-15.sg.larksuite.com,"95.101.111.148, 95.101.111.166","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-199-19.jp.larksuite.com,"96.16.54.171, 96.16.54.130","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-199-23.jp.larksuite.com,"96.16.54.130, 96.16.54.171","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
[x],155-9-201-49.jp.larksuite.com,"2.20.142.88, 92.122.215.18","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net",,NOERROR,,,,,,,,
