new,host,cname,soa,status_code,a,mx,txt,ns,cdn,cdn-name,caa,has_internal_ips,internal_ips,aaaa
[x],easy.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"18.66.122.61, 18.66.122.40, 18.66.122.77, 18.66.122.12",,,,True,cloudfront,,,,
[x],ecat.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,"3.111.85.39, 52.66.97.64",,,,,,,,,
[x],echo-api-static.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"52.66.73.193, 13.127.27.109",,,,,,,,,
[x],email.razorpay.com,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,34.110.180.34,"mxa.mailgun.org, mxb.mailgun.org","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA","ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk",True,google,"digicert.com, letsencrypt.org, ;",,,
[x],emails.razorpay.com,prapp1env.ncfp.asia,"ns-980.awsdns-58.net, awsdns-hostmaster.amazon.com",NOERROR,202.162.242.39,mx1.ncfp.asia,"google-site-verification=TgmDAwdwkCJMYdMo5ufra-wEnKjH_P4XKVCcWNn6b4A, google-site-verification=VruiRiVgdYBuPVOECB47IkZv5sInf8C-FU5hB2fgKGI, v=spf1 include:ncfp.asia ip4:103.52.181.0/24 ip4:103.52.182.0/24 ip4:103.52.181.129/32 include:spf.mailpf.com ~all",,,,,,,
[x],engineering.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.152.4, 162.159.153.4",,,,True,cloudflare,,,,
[x],etl.razorpay.com,prod-edge-components.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],euler.razorpay.com,"prod-external.razorpay.com, prod-blue-ext.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ev-cf.razorpay.com,ev-cf.razorpay.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],experts.razorpay.com,"proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,"44.207.78.112, 52.55.54.43, 44.207.21.146",,,,,,,,,
[x],express.razorpay.com,cde-green-mtls.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"15.207.253.87, 15.207.159.255",,,,,,,,,
[x],ezetap.razorpay.com,"eb72f7c89b2340de9cb6f853c0339dc1.unbouncepages.com, unbouncepages.com","ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,"3.126.202.50, 3.69.136.55",,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,"ns-748.awsdns-29.net, ns-1465.awsdns-55.org, ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com",,,"letsencrypt.org, amazon.com, comodoca.com, globalsign.com",,,
[x],fddkim.razorpay.com,spfmx.domainkey.freshdesk.com,"ns-350.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,"52.207.46.48, 54.167.39.237, 18.235.72.125, 52.72.100.244, 54.144.236.172",mx.sendgrid.net,v=spf1 include:sendgrid.net include:fdspfus.freshemail.io include:fdspfeuc.freshemail.io include:fdspfind.freshemail.io include:fdspfaus.freshemail.io ~all,,,,,,,
[x],fdkb.razorpay.com,"3b6c14afaeda43df132b35431490e034.freshdesk.com, fwfd-aps1-lb6.freshdesk.com","ns-350.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,"13.126.111.171, 52.66.17.175, 3.7.203.162",,,,,,"amazon.com, letsencrypt.org",,,
[x],files.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"13.32.121.9, 13.32.121.16, 13.32.121.96, 13.32.121.121",,,"ns-1400.awsdns-47.org, ns-1939.awsdns-50.co.uk, ns-723.awsdns-26.net, ns-74.awsdns-09.com",True,cloudfront,,,,
[x],foyer.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gcpjira.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],git-metrics.razorpay.com,d-f12szh5l0f.execute-api.ap-south-1.amazonaws.com,"ns-1068.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,"13.127.124.40, 65.0.235.46",,,,,,,,,
[x],graph.razorpay.com,"prod-graph-weighted.razorpay.com, prod-green-int-v2.razorpay.com, prod-white-int-v2.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"10.1.135.22, 10.1.136.213",,,,,,,True,"10.1.135.22, 10.1.136.213",
