input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,csp_domains_,final_url
00000-okta-idp.autoconfig.dev.fr-athena-preview.sso.prod.olx.pl,,404,,AS16509,AMAZON-02,US,143.204.216.0/24,00000-okta-idp.autoconfig.dev.fr-athena-preview.sso.prod.olx.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-16T23:59:59Z,CN=olx.pl,olx.pl,*.olx.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b84a440b6a23cf354c81b3a48906b35,4dfc28935fa36bdc146998cc24f5cc50b1bb553fc7515be4cf56c8a3d59ba2e4,True,ctls,00000-okta-idp.autoconfig.dev.fr-athena-preview.sso.prod.olx.pl,cloudfront,443,https://00000-okta-idp.autoconfig.dev.fr-athena-preview.sso.prod.olx.pl:443,https,nginx/1.23.0,,GET,143.204.215.57,/,82561444,143.204.215.4,Node.js,1,False,True,True,,,
107-okta-network-metrics-s3p-sbsgserver.test.olx.pl,,404,,AS16509,AMAZON-02,US,143.204.216.0/24,107-okta-network-metrics-s3p-sbsgserver.test.olx.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-16T23:59:59Z,CN=olx.pl,olx.pl,*.olx.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b84a440b6a23cf354c81b3a48906b35,4dfc28935fa36bdc146998cc24f5cc50b1bb553fc7515be4cf56c8a3d59ba2e4,True,ctls,107-okta-network-metrics-s3p-sbsgserver.test.olx.pl,cloudfront,443,https://107-okta-network-metrics-s3p-sbsgserver.test.olx.pl:443,https,nginx/1.23.0,,GET,143.204.215.4,/,82561444,143.204.215.85,Node.js,1,False,True,True,,,
1111111111111111111111111111111111111111.otomoto.pl,AUTO HANDEL SKUP SPRZEDAŻ ZAMIANA | OTOMOTO,200,122044,AS16509,AMAZON-02,US,18.66.132.0/24,1111111111111111111111111111111111111111.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,1111111111111111111111111111111111111111.otomoto.pl,cloudfront,443,https://1111111111111111111111111111111111111111.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.66.122.18,/,,18.66.122.80,React,11,False,True,,,,https://1111111111111111111111111111111111111111.otomoto.pl/inventory
2porcentoaveiro.imovirtual.com,Página não encontrada,404,82117,AS16509,AMAZON-02,US,18.66.116.0/23,2porcentoaveiro.imovirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-12T00:00:00Z,2024-04-09T23:59:59Z,CN=*.imovirtual.com,*.imovirtual.com,imovirtual.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6fff0b1c63ce8c52bdaa6680d66f5dd2,013ae7cfdd1059e9fe5896d792b6d59268ad3d83b298d1a2729aa89847980e7a,True,ctls,2porcentoaveiro.imovirtual.com,cloudfront,443,https://2porcentoaveiro.imovirtual.com:443,https,nginx,text/html,GET,18.66.112.49,/,,18.66.112.118,PHP,1208,False,True,,,fonts.googleapis.com,
5avenida.imovirtual.com,Página não encontrada,404,82078,AS16509,AMAZON-02,US,18.66.116.0/23,5avenida.imovirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-12T00:00:00Z,2024-04-09T23:59:59Z,CN=*.imovirtual.com,*.imovirtual.com,imovirtual.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6fff0b1c63ce8c52bdaa6680d66f5dd2,013ae7cfdd1059e9fe5896d792b6d59268ad3d83b298d1a2729aa89847980e7a,True,ctls,5avenida.imovirtual.com,cloudfront,443,https://5avenida.imovirtual.com:443,https,nginx,text/html,GET,18.66.112.89,/,,18.66.112.3,PHP,1208,False,True,,,fonts.googleapis.com,
aaa-auto.otomoto.pl,Salon Samochodów Używanych AutoSzulc Sierakowice | OTOMOTO,200,176310,AS16509,AMAZON-02,US,18.154.74.0/24,aaa-auto.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,aaa-auto.otomoto.pl,cloudfront,443,https://aaa-auto.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.154.63.91,/,,18.154.63.81,React,11,False,True,,,,https://aaa-auto.otomoto.pl/inventory
abcdom.otodom.pl,Biuro nieruchomości Kraków - ABC DOM Nieruchomości Kraków | Otodom,200,184460,AS0,Not routed,None,13.32.100.0/23,www.otodom.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T00:00:00Z,2024-04-23T23:59:59Z,CN=*.otodom.pl,*.otodom.pl,otodom.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ade1b433e0f78df9ec103562923557eb,33a30a245338ef71a9db2f54200617b50176afc9d4df95671de1989ae4c85905,True,ctls,www.otodom.pl,cloudfront,443,https://abcdom.otodom.pl:443,https,openresty/1.21.4.1,text/html,GET,13.32.99.61,/,,13.32.99.107,React,3,False,True,,,,https://www.otodom.pl/pl/firmy/biura-nieruchomosci/abc-dom-nieruchomosci-krakow-ID75658
abel-andrade.imovirtual.com,Página não encontrada,404,82106,AS16509,AMAZON-02,US,18.66.116.0/23,abel-andrade.imovirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-12T00:00:00Z,2024-04-09T23:59:59Z,CN=*.imovirtual.com,*.imovirtual.com,imovirtual.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6fff0b1c63ce8c52bdaa6680d66f5dd2,013ae7cfdd1059e9fe5896d792b6d59268ad3d83b298d1a2729aa89847980e7a,True,ctls,abel-andrade.imovirtual.com,cloudfront,443,https://abel-andrade.imovirtual.com:443,https,nginx,text/html,GET,18.66.112.49,/,-1716368777,18.66.112.89,PHP,1208,False,True,,,fonts.googleapis.com,
academia.imovirtual.com,Login,200,985,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,141.193.213.0/24,academia.imovirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T08:22:40Z,2023-07-19T08:22:39Z,CN=academia.imovirtual.com,academia.imovirtual.com,academia.imovirtual.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2dcdc9330a60457e279b52679672fc09,2613758a82990edd69855320cbe89e814d91b11a68dce3992cc8961fe287f2ab,,ctls,academia.imovirtual.com,,443,https://academia.imovirtual.com:443,https,cloudflare,text/html,GET,141.193.213.21,/,-1840324437,141.193.213.20,WordPress,34,False,,,,,https://academia.imovirtual.com/login/
ad.olx.pl,,200,56376,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,141.193.213.0/24,advertisingpol.wpengine.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-01T00:00:00Z,2023-09-01T23:59:59Z,CN=*.wpengine.com,*.wpengine.com,wpengine.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9f6e180110183a1ea3146942926b0763,06a8d0764f1578615e732006cb7a087bab7084c80046a573cf1471dfe6bcbc3f,True,ctls,advertisingpol.wpengine.com,,443,https://ad.olx.pl:443,https,nginx,text/html,GET,141.193.213.20,/,,141.193.213.21,WordPress,278,False,,,,,https://advertisingpol.wpengine.com/
adar.otomoto.pl,Pewny samochód używany ADAR | OTOMOTO,200,125727,AS16509,AMAZON-02,US,18.66.132.0/24,adar.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,adar.otomoto.pl,cloudfront,443,https://adar.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.66.122.18,/,,18.66.122.101,React,11,False,True,,,,https://adar.otomoto.pl/inventory
