new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,txt,aaaa,ns,mx,caa
[x],myfeed.dev.td.com,"99.86.4.100, 99.86.4.39, 99.86.4.64, 99.86.4.74","ns-527.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,d3gvdwi42ncxf8.cloudfront.net,,,True,cloudfront,,"2600:9000:2057:f400:15:c32c:cd00:93a1, 2600:9000:2057:1400:15:c32c:cd00:93a1, 2600:9000:2057:1a00:15:c32c:cd00:93a1, 2600:9000:2057:2000:15:c32c:cd00:93a1, 2600:9000:2057:6000:15:c32c:cd00:93a1, 2600:9000:2057:6a00:15:c32c:cd00:93a1, 2600:9000:2057:7000:15:c32c:cd00:93a1, 2600:9000:2057:aa00:15:c32c:cd00:93a1","ns-427.awsdns-53.com, ns-527.awsdns-01.net, ns-1204.awsdns-22.org, ns-1899.awsdns-45.co.uk",,
[x],myfeed.td.com,"13.32.121.52, 13.32.121.17, 13.32.121.114, 13.32.121.49","ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,dgcdcpdwa0f35.cloudfront.net,,,True,cloudfront,,"2600:9000:20c3:7600:16:5749:9840:93a1, 2600:9000:20c3:c00:16:5749:9840:93a1, 2600:9000:20c3:1a00:16:5749:9840:93a1, 2600:9000:20c3:3400:16:5749:9840:93a1, 2600:9000:20c3:5a00:16:5749:9840:93a1, 2600:9000:20c3:3600:16:5749:9840:93a1, 2600:9000:20c3:7e00:16:5749:9840:93a1, 2600:9000:20c3:8a00:16:5749:9840:93a1","ns-1391.awsdns-45.org, ns-146.awsdns-18.com, ns-2010.awsdns-59.co.uk, ns-518.awsdns-00.net",,
[x],myinsurance.td.com,152.199.16.245,"ns1.mucdn.net, noc.edgecast.com",NOERROR,cs3.adn.mucdn.net,,,,,,,,,
[x],myinsurance1.pat.td.com,152.199.16.247,,NOERROR,cs322.adn.kappacdn.net,,,,,,,,,
[x],myinsurance12.pat.td.com,152.199.16.247,"ns1.kappacdn.net, noc.edgecast.com",NOERROR,cs322.adn.kappacdn.net,,,,,,,,,
[x],myinsurance2.pat.td.com,152.199.16.247,"ns1.kappacdn.net, noc.edgecast.com",NOERROR,cs322.adn.kappacdn.net,,,,,,,,,
[x],myinsurancecpo.td.com,152.199.16.245,"ns1.mucdn.net, noc.edgecast.com",NOERROR,cs3.adn.mucdn.net,,,,,,,,,
[x],myteam.td.com,52.104.68.27,"ns1-222.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"tdedge.sharepoint.com, 4050-ipv4.clump.dprodmgd105.aa-rt.sharepoint.com, 192252-ipv4.farm.dprodmgd105.aa-rt.sharepoint.com",,,,,,,,,
[x],new-prod-vpn.smartforms.td.com,35.182.245.137,"ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],newsroom.td.com,52.60.213.255,"ns-835.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,master-7rqtwti-6bdjetjsvilxq.ca-1.platformsh.site,,,,,,,,,
[x],nexus.td.com,3.124.119.57,"ns-1332.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,"tdb.edge.nc0.co, edge-geo.nc0.co",,,,,,,,,
[x],northservices.pat.td.com,,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"northservices.pat.td.com.edgekey.net, e122313.b.akamaiedge.net",,,,,,,,,
[x],northservices.td.com,152.199.16.144,"ns1.systemcdn.net, noc.systemcdn.net",NOERROR,cs1021.adn.systemcdn.net,,,,,,,,,
[x],not.courtierweb13.pat.td.com,142.205.129.242,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,not.webbroker13.pat.td.com.globalpat.td.com,,,,,,,,,
[x],not.courtierweb2.pat.td.com,142.205.129.240,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,not.webbroker2.pat.td.com.globalpat.td.com,,,,,,,,,
[x],not.webbroker13.pat.td.com,142.205.129.243,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,not.webbroker13.pat.td.com.globalpat.td.com,,,,,,,,,
[x],notifications.td.com,147.154.15.148,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,True,oracle,"v=spf1 include:_netblocks.eloqua.com include:_spf.google.com ~all, google-site-verification=FFsMFoTahgvRoQOJL4ANyv-UKUhJOpUKgrcXDO_EKf4",,,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, s679701162.m.en25.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com",
[x],nstorsoc.td.com,142.205.232.13,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],o365admin.td.com,52.104.68.27,"ns1-222.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"tdedge.sharepoint.com, 4050-ipv4.clump.dprodmgd105.aa-rt.sharepoint.com, 192252-ipv4.farm.dprodmgd105.aa-rt.sharepoint.com",,,,,,,,,
[x],o365test.td.com,52.104.68.27,"ns1-222.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"tdedge.sharepoint.com, 4050-ipv4.clump.dprodmgd105.aa-rt.sharepoint.com, 192252-ipv4.farm.dprodmgd105.aa-rt.sharepoint.com",,,,,,,,,
[x],oab.pat.td.com,95.101.111.184,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"oab.pat.td.com.edgekey.net, e89909.b.akamaiedge.net",,,,,,,,,
[x],onboardvideo.td.com,209.15.232.42,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],online1.pat.td.com,"2.16.186.153, 2.16.186.248","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"online1.pat.td.com.edgekey.net, e29853.b.akamaiedge.net",,,,,,,,,
[x],online3.pat.td.com,"95.101.74.136, 95.101.74.153","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"online3.pat.td.com.edgekey.net, e29853.b.akamaiedge.net",,,,,,,,,
[x],onlinea2a.pat.td.com,167.16.22.176,"ns11.firstdata.com, domainadmin.firstdata.com, ns11.firsdata.com",NOERROR,"iqatdbank2.fta.popmoney.com, onlinea2a.pat.td.us.cloud-fdc.com",,,,,,,,,
[x],onlinea2a.sit.td.com,167.16.58.177,"ns11.firstdata.com, domainadmin.firstdata.com, ns11.firsdata.com",NOERROR,"iqatdbank.fta.popmoney.com, onlinea2a.sit.td.us.cloud-fdc.com",,,,,,,,,
[x],onlinebillpay.pilotqa.td.com,166.73.12.13,"ns6.onefiserv.com, domainmanager.fiserv.com",NOERROR,15375-rxp-cert.fiservapps.com,,,,,,,,,
[x],onlinebillpay.pilotqaconv.td.com,166.73.12.23,"ns6.onefiserv.com, domainmanager.fiserv.com",NOERROR,15376-rxp-cert.fiservapps.com,,,,,,,,,
[x],onlinerewardsloyaltyhub.td.com,67.231.80.59,"ns1.tsysecom.com, hostmaster.ns1.tsysecom.com",NOERROR,loyaltyhub.tsysloyalty.com,,,,,,,,,
[x],onlinerm.pat.td.com,,,NOERROR,,,,,,,,,,
[x],operations.sit.mobilepay.td.com,"52.202.105.254, 3.234.204.155","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"operations-sit-td.npe.dreampayments.com, k8s-atdsit-frontbal-dfbdd9121d-744488420.us-east-1.elb.amazonaws.com",,,,,,,,,
[x],origin-static1.pat.td.com,,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,origin-static1.pat.td.com.globalpat.td.com,,,,,,,,,
[x],origin-static2.pat.td.com,,,NOERROR,origin-static2.pat.td.com.globalpat.td.com,,,,,,,,,
[x],origin-staticsoc.td.com,142.205.169.32,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],osx.lab.td.com,142.205.144.232,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],outils.td.com,"23.38.98.112, 23.38.98.109","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"outils.td.com.edgekey.net, e64275.b.akamaiedge.net",,,,,,,,,
[x],pa.staging.td.com,3.145.237.140,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,patdbanknewtocanada.convertlanguage.com,,,,,,,,,
[x],pa.td.com,152.199.17.48,"ns1.taucdn.net, noc.edgecast.com",NOERROR,cs808.adn.taucdn.net,,,,,,,,,
[x],pat-tdafm.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],pat.apigateway.td.com,"2.16.186.192, 2.16.186.201","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"pat.apigateway.td.com.edgekey.net, e125198.b.akamaiedge.net",,,,,,,,,
[x],pat.forms.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],pat.icrr.td.com,,,NOERROR,,,,,,,,,,
[x],pat.mobilepay.td.com,"15.156.1.56, 35.183.167.97","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,"merchant-pat-td.npe.dreampayments.com, k8s-atdpat-frontbal-11e00f3b9a-588430846.ca-central-1.elb.amazonaws.com",,,,,,,"ns-1103.awsdns-09.org, ns-127.awsdns-15.com, ns-1767.awsdns-28.co.uk, ns-616.awsdns-13.net",,
[x],pat.oao.td.com,,,NOERROR,,,,,,,,,,
[x],pat.smartforms.td.com,,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-1627.awsdns-11.co.uk, ns-1509.awsdns-60.org, ns-317.awsdns-39.com, ns-864.awsdns-44.net",,
