new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,txt,mx,has_internal_ips,internal_ips,caa
[x],academy.securityscorecard.com,"108.138.17.63, 108.138.17.67, 108.138.17.91, 108.138.17.44",,"ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,academy.securityscorecard.com.skilljarapp.com,,,,,,
[x],analytics.securityscorecard.io,"3.208.70.8, 3.214.53.254, 107.22.45.86, 34.199.50.80, 44.193.127.48, 50.17.201.241",,"ns-1787.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,250analytics.com,"ns-1398.awsdns-46.org, ns-281.awsdns-35.com, ns-1787.awsdns-31.co.uk, ns-663.awsdns-18.net",v=spf1 -all,,,,
[x],api.atlas.securityscorecard.io,"3.228.124.101, 18.204.12.16",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.securityscorecard.com,"13.224.189.106, 13.224.189.97, 13.224.189.67, 13.224.189.43",,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d3pfqwpt2ncqaa.cloudfront.net,"ns-1875.awsdns-42.co.uk, ns-34.awsdns-04.com, ns-684.awsdns-21.net, ns-1202.awsdns-22.org",,,,,
[x],api.securityscorecard.io,"99.86.4.82, 99.86.4.102, 99.86.4.109, 99.86.4.27",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],assets.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],assets.securityscorecard.io,"18.165.98.39, 18.165.98.101, 18.165.98.57, 18.165.98.122",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],atlas-backend.securityscorecard.io,"18.204.12.16, 3.228.124.101",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],atlas.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],atlas.securityscorecard.io,"52.222.139.57, 52.222.139.55, 52.222.139.43, 52.222.139.121",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],beta.atlas.securityscorecard.io,"52.222.139.57, 52.222.139.121, 52.222.139.43, 52.222.139.55",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],blog.securityscorecard.com,"104.25.40.102, 104.25.39.102, 172.67.67.250","2606:4700:20::6819:2866, 2606:4700:20::6819:2766, 2606:4700:20::ac43:43fa","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],bluegreen.securityscorecard.io,"108.156.60.90, 108.156.60.70, 108.156.60.33, 108.156.60.28",,"ns-1501.awsdns-59.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d3696glxsoq5ds.cloudfront.net,"ns-1501.awsdns-59.org, ns-1966.awsdns-53.co.uk, ns-248.awsdns-31.com, ns-770.awsdns-32.net",,,,,
[x],ci.securityscorecard.io,10.0.100.157,,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,10.0.100.157,
[x],connect.securityscorecard.com,"104.25.39.102, 104.25.40.102, 172.67.67.250","2606:4700:20::6819:2866, 2606:4700:20::ac43:43fa, 2606:4700:20::6819:2766","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],dev.trust.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],discover.securityscorecard.com,"54.191.227.159, 52.26.82.55, 52.36.185.169",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,"hubs3.hushly.com, k8s-default-hushlyin-558bc52246-1340458691.us-west-2.elb.amazonaws.com",,,,,,
