new,host,a,aaaa,cname,soa,status_code,mx,txt,cdn,cdn-name,ns
[x],partner-reporting.yatra.com,104.81.227.250,"2a02:26f0:d200:494::2d03, 2a02:26f0:d200:482::2d03","partner-reporting.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],partner.yatra.com,23.210.121.143,"2a02:26f0:480:38c::2d03, 2a02:26f0:480:391::2d03","partner.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],partners.yatra.com,23.67.133.126,"2a02:26f0:3500:895::2d03, 2a02:26f0:3500:88e::2d03","partners.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],pay.yatra.com,"96.16.54.152, 96.16.54.145","2a02:26f0:d8::685e:64b0, 2a02:26f0:d8::685e:64a9","pay.yatra.com.edgekey.net, e103826.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],paynearby.yatra.com,72.247.70.98,"2600:1408:9000:79d::2d03, 2600:1408:9000:788::2d03","paynearby.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],plex.yatra.com,202.87.58.172,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],privy.yatra.com,23.221.240.169,"2a02:26f0:c900:284::2d03, 2a02:26f0:c900:29b::2d03","privy.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],quicksun.yatra.com,23.221.240.169,"2a02:26f0:c900:284::2d03, 2a02:26f0:c900:29b::2d03","quicksun.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],rail.yatra.com,23.38.33.130,,"www.yatra.com.edgekey.net, e11523.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],railtourpackages.yatra.com,"2.16.187.9, 2.16.187.106","2a02:26f0:3100::1735:2a72, 2a02:26f0:3100::1735:2a83","b2b.yatra.com.edgekey.net, e103826.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],rfs.mobile.yatra.com,,,,,NOERROR,,,,,
[x],secure.yatra.com,23.53.53.202,"2001:2030:21:1aa::2d03, 2001:2030:21:183::2d03","secure.yatra.com-v1.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],securerfs.yatra.com,88.221.63.144,"2a02:26f0:3500:895::2d03, 2a02:26f0:3500:88e::2d03","securerfs.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],seeglob.yatra.com,23.210.121.143,"2a02:26f0:7100:8a7::2d03, 2a02:26f0:7100:89c::2d03","seeglob.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],spice.yatra.com,104.102.41.107,"2a02:26f0:480:5a2::2d03, 2a02:26f0:480:5ad::2d03","spice.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],stagingapi.yatra.com,"95.101.111.172, 95.101.111.169","2a02:26f0:480:d::210:f14a, 2a02:26f0:480:d::210:f157","stagingapi.yatra.com.edgekey.net, e103826.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],tech.yatra.com,23.210.121.143,"2a02:26f0:480:391::2d03, 2a02:26f0:480:38c::2d03","tech.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],tss.yatra.com,88.221.63.144,"2a02:26f0:3500:895::2d03, 2a02:26f0:3500:88e::2d03","tss.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],uselocator.yatra.com,104.81.227.250,"2a02:26f0:d200:482::2d03, 2a02:26f0:d200:494::2d03","uselocator.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],vakrangee.yatra.com,23.210.121.143,"2a02:26f0:480:38c::2d03, 2a02:26f0:480:391::2d03","vakrangee.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],wecare.yatra.com,104.81.227.250,,"wecare.yatra.com.edgekey.net, e11523.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],www.tech.yatra.com,23.67.133.126,"2a02:26f0:3100:39d::2d03, 2a02:26f0:3100:38a::2d03","www.tech.yatra.com.edgekey.net, e11523.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,
[x],www.yatra.com,23.4.182.208,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],xchange.yatra.com,,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,,,,,
[x],yatra.com,23.53.53.202,,,"a1-233.akam.net, hostmaster.akamai.com",NOERROR,"alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com","google-site-verification=KPj_J_wqBpZlcAhmp9zyQsAD00MSWXvmsQXziBqHkqo, MS=ms52194906, v=spf1 a mx include:_spf.google.com include:spf.falconide.com ip4:50.23.107.198 ip4:202.87.58.235 ip4:202.87.58.236 ip4:202.87.58.78 include:67533b85.ppspf.net -all, MS=ms49031691, google-site-verification=dnduKd-cm1aZBsI6v1fo3nCzoG2KWnK4kLzETrXR2yw",,,"a22-65.akam.net, a1-233.akam.net, a28-66.akam.net, a5-67.akam.net, a2-64.akam.net, a9-64.akam.net"
