input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_subject_org_
*.hotjar.com:*,Hotjar: Website Heatmaps & Behavior Analytics Tools,200,288929,www.hotjar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2023-11-23T23:59:59Z,CN=*.hotjar.com,*.hotjar.com,hotjar.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,54638f1f3a40f685a2b7e2152ab03579,a25dec72ea3e5a283b6a53a564ea2ef61d08e33d461848a68334173dbe669213,True,ctls,www.hotjar.com,,443,https://hotjar.com:443,https,,text/html,GET,,/,-289595996,,webpack,611,False,,,https://www.hotjar.com/,
account.pubg.com,KRAFTON ID,200,1301782,accounts.krafton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-28T00:00:00Z,2023-08-29T23:59:59Z,"CN=*.krafton.com, O=KRAFTON\, Inc., L=Gangnam-gu, ST=Seoul, C=KR",*.krafton.com,krafton.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7069cb8a878b7bc24ffce11d4d463030,bb3e760fe627b7dbc441e464c42dc62499934ee85f4be9e5f0f1c427372f9ad3,True,ctls,accounts.krafton.com,cloudfront,443,https://account.pubg.com:443,https,,text/html,GET,18.66.112.59,/,-1075053423,18.66.112.126,Google Tag Manager,12312,False,True,,https://accounts.krafton.com/,"KRAFTON, Inc."
accounts.pubg.com,KRAFTON ID,200,1301782,accounts.krafton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-28T00:00:00Z,2023-08-29T23:59:59Z,"CN=*.krafton.com, O=KRAFTON\, Inc., L=Gangnam-gu, ST=Seoul, C=KR",*.krafton.com,krafton.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7069cb8a878b7bc24ffce11d4d463030,bb3e760fe627b7dbc441e464c42dc62499934ee85f4be9e5f0f1c427372f9ad3,True,ctls,accounts.krafton.com,cloudfront,443,https://accounts.pubg.com:443,https,,text/html,GET,18.66.112.126,/,-1075053423,18.66.112.59,Google Tag Manager,12312,False,True,,https://accounts.krafton.com/,"KRAFTON, Inc."
americas.pubgesports.com,PUBG Americas | LATAM,200,18529,americas.pubgesports.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-19T18:25:37Z,2023-06-17T18:25:36Z,CN=americas.pubgesports.com,americas.pubgesports.com,americas.pubgesports.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,011b57dae8992b0fa2d51be26945faec,26ca9176d9dd04882c805c2e9fa154af6f1d44fffc0f2c77e74f99b8c78e89bf,,ctls,americas.pubgesports.com,,443,https://americas.pubgesports.com:443,https,nginx,text/html,GET,3.130.163.252,/,-1840324437,18.219.160.149,WordPress,173,False,,,,
api.newstate.pubg.com,,404,89,api.newstate.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2023-07-21T23:59:59Z,CN=pubg.com,pubg.com,*.newstate.pubg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e881ebcbdc8711c0ae986d5d30d0c6e,881be1a794c61bb11a594053ebce94f4a0c26da1ccda7d86db040a637cadb591,True,ctls,api.newstate.pubg.com,cloudfront,443,https://api.newstate.pubg.com:443,https,,application/json,GET,143.204.89.2,/,-1269167696,143.204.89.118,Amazon Web Services,1,False,True,,,
api.pubg.com,,404,52,api.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=*.playbattlegrounds.com,*.playbattlegrounds.com,*.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a1a9b56f41db76bd08fe42191f331c44,aaec985f5aa4b99d982a1775c0f4d8478403c4728b11cbb76c128c83c5228509,True,ctls,api.pubg.com,cloudfront,443,https://api.pubg.com:443,https,,application/json,GET,18.165.122.3,/,-1630264793,2600:9000:2240:9600:13:32cd:8300:93a1,Amazon Web Services,1,False,True,,,
asia.battlegrounds.pubg.com,PUBG: BATTLEGROUNDS,200,931179,pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,True,ctls,pubg.com,,443,https://asia.battlegrounds.pubg.com:443,https,,text/html,GET,3.35.65.10,/,-1194387398,43.201.158.220,YouTube,116,False,,,https://pubg.com:443/en,
battlegrounds.pubg.com,PUBG: BATTLEGROUNDS,200,931179,pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=pubg.com,pubg.com,*.kr.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1a36dfdc36d1e3c3abfc535aa8e170d1,e7d97f60d8ce5df2f75a0635b13bfdc63b4d68e2b35d2f75863f860e6a7a4488,True,ctls,pubg.com,cloudfront,443,https://battlegrounds.pubg.com:443,https,,text/html,GET,18.66.97.50,/,-1194387398,18.66.97.84,YouTube,116,False,True,,https://pubg.com:443/en,
buy.pubg.com,Buy Now! PLAYERUNKNOWN'S BATTLEGROUNDS,200,5441,buy.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-21T00:00:00Z,2024-02-19T23:59:59Z,CN=*.pubg.com,*.pubg.com,*.pubg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d1ebfd2342c2b1d0720df31657c9662,dbf0c08c492183e9806823da64ffd08b738098b69a0b3a5bdd5c2e48e2bd042a,True,ctls,buy.pubg.com,cloudfront,443,https://buy.pubg.com:443,https,AmazonS3,text/html,GET,18.66.97.88,/,-1063359731,2600:9000:223c:9a00:17:9fc0:d700:93a1,Amazon Web Services,173,False,True,,,
careers.pubg.com,크래프톤 채용 공고,200,101684,krafton.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-10T00:00:00Z,2023-12-10T23:59:59Z,"CN=krafton.com, O=KRAFTON\, Inc., ST=Seoul, C=KR",krafton.com,bluehole.net,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,62c146ebfb9b67ccd305ecb1500ec4c8,8f831c4a8e61b8ea7ddd468a47a083f8001ab6f06aad6052ef6748cabb754313,True,ctls,krafton.com,cloudfront,443,https://careers.pubg.com:443,https,Apache,text/html,GET,99.84.146.54,/,,2600:9000:2453:e00:1f:5b4d:ff00:93a1,WordPress:5.9.2,1370,False,True,,https://krafton.com:443/careers/jobs/,"KRAFTON, Inc."
