new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,caa
[x],calendar.openmage.org,142.250.185.211,2a00:1450:4001:82a::2013,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,
[x],demo.openmage.org,185.145.13.131,,,"ns-cloud1.googledomains.com, dns-admin.google.com",NOERROR,,,,
[x],mail.openmage.org,142.250.181.243,2a00:1450:4001:830::2013,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,
[x],openmage.org,"185.199.110.153, 185.199.108.153, 185.199.109.153, 185.199.111.153",,,"ns-cloud1.googledomains.com, dns-admin.google.com",NOERROR,"aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-cloud2.googledomains.com, ns-cloud3.googledomains.com, ns-cloud4.googledomains.com, ns-cloud1.googledomains.com",v=spf1 include:_spf.google.com include:spf.mailjet.com -all,
[x],www.openmage.org,"185.199.110.153, 185.199.109.153, 185.199.108.153, 185.199.111.153","2606:50c0:8003::153, 2606:50c0:8001::153, 2606:50c0:8000::153, 2606:50c0:8002::153",openmage.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,"letsencrypt.org, digicert.com"
