new,host,a,soa,status_code,aaaa,cname,caa,txt,cdn,cdn-name,ns,mx
[x],collection-point.api.gymshark.com,"52.222.214.36, 52.222.214.48, 52.222.214.128, 52.222.214.113","ns-1737.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-1266.awsdns-30.org, ns-1737.awsdns-25.co.uk, ns-312.awsdns-39.com, ns-714.awsdns-25.net",
[x],collection-point.api.staging.gymshark.com,"143.204.215.79, 143.204.215.6, 143.204.215.17, 143.204.215.59","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],community.gymshark.com,"52.6.80.188, 54.198.84.103, 54.90.23.11, 18.208.237.247, 34.231.42.99","ns-1114.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1545.awsdns-01.co.uk, ns-314.awsdns-39.com, ns-672.awsdns-20.net, ns-1114.awsdns-11.org",
[x],community.staging.gymshark.com,"67.202.47.151, 54.159.247.48, 3.216.57.230, 52.86.35.25, 23.23.98.157","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],conditioning.develop.gymshark.com,"108.138.51.27, 108.138.51.10, 108.138.51.94, 108.138.51.65","ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],conditioning.gymshark.com,"108.138.17.10, 108.138.17.108, 108.138.17.51, 108.138.17.9","ns-1005.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-1005.awsdns-61.net, ns-1038.awsdns-01.org, ns-135.awsdns-16.com, ns-1623.awsdns-10.co.uk",
[x],conditioning.staging.gymshark.com,"13.224.189.26, 13.224.189.112, 13.224.189.80, 13.224.189.36","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],config.develop.gymshark.io,"65.9.66.64, 65.9.66.57, 65.9.66.19, 65.9.66.119","ns-1588.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],config.gymshark.io,"18.160.18.5, 18.160.18.89, 18.160.18.57, 18.160.18.7","ns-1052.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],config.staging.gymshark.io,"99.86.4.61, 99.86.4.66, 99.86.4.98, 99.86.4.17","ns-1588.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],contact.api.gymshark.io,"52.87.17.237, 3.218.17.101, 54.156.87.126","ns-1052.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],content.gymshark.com,"52.222.236.20, 52.222.236.12, 52.222.236.38, 52.222.236.47","ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],content.staging.gymshark.com,,"ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],contentful.central.gymshark.com,,"ns-1432.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],contentful.central.staging.gymshark.com,"13.32.99.117, 13.32.99.84, 13.32.99.126, 13.32.99.79","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],customer-context.api.gymshark.com,"18.154.63.96, 18.154.63.35, 18.154.63.128, 18.154.63.112","ns-1737.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],customer-context.api.staging.gymshark.com,"143.204.215.76, 143.204.215.115, 143.204.215.119, 143.204.215.9","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],customer.service.gymshark.com,"34.231.42.99, 52.6.80.188, 54.90.23.11, 54.198.84.103, 18.208.237.247","ns-893.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],database.tableau.gymshark.io,"54.227.42.228, 34.195.149.196, 54.211.198.208","ns-1052.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],de-en.gymshark.com,23.227.38.74,"ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,"gymshark-de.myshopify.com, shops.myshopify.com","letsencrypt.org, digicert.com, globalsign.com",,,,,
[x],de-headless.staging.gymshark.com,,,NOERROR,,,,,,,,
[x],de-support.gymshark.com,,"ns10.digicertdns.com, dns.digicertdns.com",NOERROR,,gymshark-dede.onelink-translations.com,,,,,,
[x],de.checkout.gymshark.com,23.227.38.74,"ns1.dnsimple.com, admin.dnsimple.com, dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,shops.myshopify.com,"globalsign.com, letsencrypt.org, digicert.com",,,,,
[x],de.gymshark.com,23.227.38.74,"ns1.dnsimple.com, admin.dnsimple.com, dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,shops.myshopify.com,"digicert.com, globalsign.com, letsencrypt.org",,,,,
[x],de.headless.staging.gymshark.com,,,NOERROR,,,,,,,,
[x],de.pwks.gymshark.io,67.202.9.217,"ns-1532.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],de.shop.gymshark.com,"108.157.4.71, 108.157.4.79, 108.157.4.27, 108.157.4.119","ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],de.shop.staging.gymshark.com,"13.225.78.124, 13.225.78.11, 13.225.78.125, 13.225.78.3","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
