input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_expired,cdn_name,cdn,webserver,tls_wildcard_certificate,final_url,csp_domains_,tls_mismatched,tls_emails_,location,tls_self_signed
1636society.harvard.edu,1636 Society,200,18747,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,1636society.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T20:50:26Z,2023-07-21T20:50:25Z,CN=1636society.harvard.edu,1636society.harvard.edu,,1636society.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afb6e27db693a768e3c9cca1dfa12b44,e4a07e50f8e4b49c7c97bf54cc2314899d39fcd2c0e34a63bce868a348a3aec3,ctls,1636society.harvard.edu,443,https://1636society.harvard.edu:443,https,text/html,GET,95.101.54.209,/,1951619327,2.16.202.122,Red Hat Gluster,169,False,,,,,,,,,,,
aadn.gsd.harvard.edu,African American Design Nexus,200,56226,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,141.193.213.0/24,aadn.gsd.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T13:26:14Z,2023-06-22T13:26:13Z,CN=aadn.gsd.harvard.edu,aadn.gsd.harvard.edu,,aadn.gsd.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0f034815cbbaf8d76657fd09a8fe6d29,5e9f98065e8b2bfb8fa3869accec17324cce0490444890cf5b245f4b74686fab,ctls,aadn.gsd.harvard.edu,443,https://aadn.gsd.harvard.edu:443,https,text/html,GET,141.193.213.21,/,-1263776065,141.193.213.20,WordPress,766,False,,,,cloudflare,,,,,,,
abel.harvard.edu,Harvard Mathematics Department : Home page,200,7253,AS1742,HARVARD-UNIV,US,128.103.200.0/24,abel.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-02T00:00:00Z,2023-08-02T23:59:59Z,"CN=abel.math.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",abel.math.harvard.edu,President and Fellows of Harvard College,people.math.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,7300e1c0b589fb74da1b6d5dfa197d92,742764e484fc1526d4e8801f423d2863fb4a98c4e3b78d365c7db20196b00867,ctls,abel.harvard.edu,443,https://abel.harvard.edu:443,https,text/html,GET,128.103.69.86,/,-366337701,128.103.69.86,Red Hat,173,False,,,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.4.16,,,,True,,,
ablconnect.harvard.edu,ablconnect,200,74549,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,ablconnect.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T13:24:39Z,2023-06-21T13:24:38Z,CN=ablconnect.harvard.edu,ablconnect.harvard.edu,,ablconnect.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7b0e79d639e0fde658611d1c15e32b24,bc44efa3f1b42e5596918d5e2a8f84cdeed1a7c5f3ee76e82e56d5303c943d0a,ctls,ablconnect.harvard.edu,443,https://ablconnect.harvard.edu:443,https,text/html,GET,2.16.202.67,/,-998503296,2.16.202.64,Red Hat Gluster,2082,False,,,,,,,,,,,
able.harvard.edu,ABLE*,200,20243,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,able.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T20:51:57Z,2023-07-21T20:51:56Z,CN=able.harvard.edu,able.harvard.edu,,able.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8e942e2e88df853eabd5a64710c84f5d,493e5a640f365e5bb0b3c489f6728b4fd589f2799fefce3e63734d197c381dda,ctls,able.harvard.edu,443,https://able.harvard.edu:443,https,text/html,GET,23.2.13.57,/,429038265,23.2.13.25,Red Hat Gluster,214,False,,,,,,,,,,,
ac-web.dce.harvard.edu,AC-WEB: Academic Computing,200,6244,AS1742,HARVARD-UNIV,US,140.247.128.0/17,ac-web.dce.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-24T00:00:00Z,2023-06-24T23:59:59Z,"CN=ac-web.dce.harvard.edu, OU=Division of Continuing Education, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",ac-web.dce.harvard.edu,President and Fellows of Harvard College,test-ac-web.dce.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,0d6827ff340b2f97eeed6481a318713a,909d3e8fbbba45932686002f3058eb0a2417b8896170c5e1cb2ade7ddd0a5318,ctls,ac-web.dce.harvard.edu,443,https://ac-web.dce.harvard.edu:443,https,text/html,GET,140.247.198.122,/,-421194272,140.247.198.122,Ubuntu,117,False,,,,Apache/2.4.41 (Ubuntu),,,,,,,
academicpositions.harvard.edu,Harvard Academic Positions | Home,200,20228,AS19551,AS19551,Unknown,45.60.60.0/24,academicpositions.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=edge-uc4.peopleadmin.com, O=Powerschool group llc, L=Austin, ST=Texas, C=US",edge-uc4.peopleadmin.com,Powerschool group llc,employment.citruscollege.edu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5c4e1767dc9227cefb8691e45b5da2e5,8ff28ce3af551dbcc96d18db190347c0f55bceb4719dfdf6b3079536ab52f347,ctls,academicpositions.harvard.edu,443,https://academicpositions.harvard.edu:443,https,text/html,GET,45.60.14.165,/,-1840324437,45.60.14.165,Ruby on Rails,367,False,,incapsula,True,Apache,,,,,,,
academicresourcecenter.harvard.edu,Academic Resource Center,200,106367,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,academicresourcecenter.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T13:12:36Z,2023-06-21T13:12:35Z,CN=academicresourcecenter.harvard.edu,academicresourcecenter.harvard.edu,,academicresourcecenter.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bf71e9f0b0e904ebb391bfde301b6193,7d2d7a89189481f9f218fb57a88e9d8edbf64decd3e8dd03b7776df9aa7110e3,ctls,academicresourcecenter.harvard.edu,443,https://academicresourcecenter.harvard.edu:443,https,text/html,GET,23.2.13.25,/,508666770,23.2.13.57,Red Hat Gluster,3123,False,,,,,,,,,,,
academy.mgh.harvard.edu,Source,200,23766,AS40831,PHS,US,170.223.0.0/16,academy.mgh.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-04-21T00:00:00Z,2023-04-21T23:59:59Z,"CN=academy.mgh.harvard.edu, OU=Affiliate - Partners Healthcare System, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",academy.mgh.harvard.edu,President and Fellows of Harvard College,stage-academy.mgh.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,632417b6b62c8dd32240e47122bb53f2,275b66a990b9a14f37700d119f1345b3580bd4ad18382f5b819520e1e4d98976,ctls,academy.mgh.harvard.edu,443,https://academy.mgh.harvard.edu:443,https,text/html,GET,170.223.156.228,/,-100644728,170.223.156.228,gunicorn:20.0.4,938,False,True,,,gunicorn/20.0.4,,,,,,,
access.harvard.edu,Error,404,139,AS14618,AMAZON-AES,US,34.192.0.0/12,access.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-30T23:59:59Z,"CN=access2.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",access2.lib.harvard.edu,President and Fellows of Harvard College,access.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f68a29eeed35a1d247e88763f9194d63,acdc670bb788b194f0099f4886708ceb9f307145a94c4c4900b8673ee1793cd4,ctls,access.harvard.edu,443,https://access.harvard.edu:443,https,text/html,GET,34.203.103.252,/,1593207841,3.224.117.222,Node.js,11,False,,,,,,,,True,,,
