new,host,a,soa,has_internal_ips,internal_ips,status_code,cname,ns,cdn,cdn-name,mx,txt,caa,aaaa
[x],1636society.harvard.edu,"23.48.23.194, 23.48.23.163","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],375.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],3dqi.mgh.harvard.edu,155.52.216.156,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,MGH3DQiLiverTRN.partners.org,,,,,,,
[x],_spf.harvard.edu,,"int-dns-2.harvard.edu, netmanager.harvard.edu",,,NOERROR,,"ext-dns-2.harvard.edu, ext-dns-1.harvard.edu",,,,v=spf1 include:_1._spf.harvard.edu include:_2._spf.harvard.edu include:_3._spf.harvard.edu include:_4._spf.harvard.edu include:_5._spf.harvard.edu include:_6._spf.harvard.edu include:_7._spf.harvard.edu include:_8._spf.harvard.edu ~all,,
[x],a.mgh.harvard.edu,132.183.158.163,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],aad.hms.harvard.edu,134.174.149.65,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,ordlvwlp01.med.harvard.edu,,,,,,,
[x],aadn.gsd.harvard.edu,"141.193.213.20, 141.193.213.21","darwin.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,pxsd1a1g5xgb.wpeproxy.com,,,,,,,
[x],abcd.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],abel.harvard.edu,128.103.69.86,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,math.harvard.edu,,,,,,,
[x],abilene.mgh.harvard.edu,132.183.161.22,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],ablconnect.harvard.edu,"104.126.119.113, 104.126.119.90","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],able.harvard.edu,"2.16.186.32, 2.16.186.42","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],abpm.mgh.harvard.edu,155.52.206.42,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,ccibcbis1.mgh.harvard.edu,,,,,,,
[x],abpm2.mgh.harvard.edu,170.223.178.73,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],abrahamlab.med.harvard.edu,107.180.41.87,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,,,,,,
[x],ac-web.dce.harvard.edu,140.247.198.122,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],academicpositions.harvard.edu,45.60.14.165,,,,NOERROR,"emp809.peopleadmin.com, wr5dslq.impervadns.net",,True,incapsula,,,,
[x],academicresourcecenter.harvard.edu,"104.126.119.113, 104.126.119.90","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],academy.mgh.harvard.edu,170.223.156.228,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],access-qa2.hz.lib.harvard.edu,3.224.154.93,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],access-qa2.lib.harvard.edu,3.224.154.93,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,access-qa2.hz.lib.harvard.edu,"ns-103.awsdns-12.com, ns-1275.awsdns-31.org, ns-1744.awsdns-26.co.uk, ns-953.awsdns-55.net",,,,,,
[x],access.dfci.harvard.edu,155.52.51.73,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],access.harvard.edu,"3.224.117.222, 35.168.109.162, 34.203.103.252","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"access.lib.harvard.edu, access2.hz.lib.harvard.edu",,,,,,,
[x],access.lib.harvard.edu,"3.224.117.222, 34.203.103.252, 35.168.109.162",,,,NOERROR,access2.hz.lib.harvard.edu,,,,,,,
[x],access.tch.harvard.edu,10.32.80.62,"bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",True,10.32.80.62,NOERROR,,,,,,,,
[x],access2.hz.lib.harvard.edu,"3.224.117.222, 34.203.103.252, 35.168.109.162","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],access2.lib.harvard.edu,"3.224.117.222, 34.203.103.252, 35.168.109.162","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,access2.hz.lib.harvard.edu,,,,,,,
[x],accessibility.harvard.edu,"23.76.204.161, 23.76.204.162","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],accessibility.law.harvard.edu,"52.86.196.75, 52.72.248.227, 52.86.201.135","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,"hls-harvard-accommodate.symplicity.com, us-east-cache2.symplicity.com, symp01-1665032452.us-east-1.elb.amazonaws.com",,,,,,,
[x],account.rc.fas.harvard.edu,140.247.151.65,"iliaddns.rc.fas.harvard.edu, rchelp.fas.harvard.edu",,,NOERROR,portal.rc.fas.harvard.edu,,,,,,,
