input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_issuer_org_,tls_subject_org_,tech_,csp_domains_,tls_wildcard_certificate,webserver,final_url
additiv.dev.fidentity.ch,Fidentity Error,403,1620,additiv.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-09T01:55:20Z,2023-07-08T01:55:19Z,CN=additiv.dev.fidentity.ch,additiv.dev.fidentity.ch,additiv.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,22ff25c00b01ffb1cb7cafd20e2e6fc5,2da00fca90b00069d37b3044359e33563c0f567a9cb251dc9d13c5d4515e5e6d,ctls,additiv.dev.fidentity.ch,443,https://additiv.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,734610259,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://additiv.dev.fidentity.ch/api/v1/demo-registration
admin-auth-container.loadtest.fidentity.ch,,404,19,admin-auth-container.loadtest.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-10T08:38:56Z,2024-05-09T08:38:56Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,21fbd7a204c7a33d46d554bc2abc1c7a.539b35598ea2b60f0153e8c71aa51054.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,1718f3fbed9171623a8b4c5dcee96b5d,48905c1b23fafb138cc444b96ebfb4bdafbbbc292dcec5690e4f28afac6bb1d6,ctls,admin-auth-container.loadtest.fidentity.ch,80,http://admin-auth-container.loadtest.fidentity.ch:80,http,text/plain,GET,194.182.164.157,/,-138391155,194.182.164.157,2,False,,,,,,,https://admin-auth-container.loadtest.fidentity.ch/
airlock.stage.fidentity.ch,404 Not Found,404,146,airlock.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-01-24T05:02:56Z,2024-01-24T05:02:56Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,59a2c448d08b555763cfd9cb1ec3efcf,70d0b5801808156335f1216fc1abae8b11d79a48c32f3f98b013adf83092b231,ctls,airlock.stage.fidentity.ch,443,https://airlock.stage.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,1494302000,194.88.197.87,8,False,Acme Co,Acme Co,HSTS,,,,
amag.fidentity.ch,fidentity,200,1181,amag.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,amag.fidentity.ch,443,https://amag.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,-1947186899,194.88.197.87,25,False,SwissSign AG,fidentity AG,HSTS,validator.swagger.io,True,,
atl-stg-arsap-02b.loadtest.fidentity.ch,,404,19,atl-stg-arsap-02b.loadtest.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-10T08:38:56Z,2024-05-09T08:38:56Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,c57ea257a78dc73b13f8ed5d0ae0b3c9.fd43ffe46501613f4fc0edcbd3d7cde5.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,d13ef06cd06cdf5ba2d9dbf9fdbf29b9,8edbbddb09d2b561ffbf920143a00e3b9e9df41627c30fa4b0f3a9b1e43a63da,ctls,atl-stg-arsap-02b.loadtest.fidentity.ch,443,https://atl-stg-arsap-02b.loadtest.fidentity.ch:443,https,text/plain,GET,194.182.164.157,/,-138391155,194.182.164.157,2,False,,,,,,,
backup.stage.fidentity.ch,401 Authorization Required,401,574,backup.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-05-08T20:52:11Z,2023-08-06T20:52:10Z,CN=backup.stage.fidentity.ch,backup.stage.fidentity.ch,backup.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,f1f1a27cf4973fb775a0892a9b651cfa,be51ff1b6b36d912b0e73e2264e9cc5170b051c6cddd915edeb1b0a92a6bd63a,ctls,backup.stage.fidentity.ch,443,https://backup.stage.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,1335698669,194.88.197.87,14,False,Let's Encrypt,,HSTS,,,,
bank-avera.stage.fidentity.ch,Fidentity Error,403,1620,bank-avera.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-28T12:44:35Z,2023-06-26T12:44:34Z,CN=bank-avera.stage.fidentity.ch,bank-avera.stage.fidentity.ch,bank-avera.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,58275c1b83b99c6e2e3c05b02622d667,84e122093ca777b49b7ccaaa478f33870ef570a63d4f1579c3114f441f0301ca,ctls,bank-avera.stage.fidentity.ch,80,http://bank-avera.stage.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,-1920943875,194.88.197.87,56,False,Let's Encrypt,,HSTS,https:,,,https://bank-avera.stage.fidentity.ch
bar.fidentity.ch,Fidentity Error,403,1620,bar.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,bar.fidentity.ch,443,https://bar.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,-2104525551,194.88.197.87,56,False,SwissSign AG,fidentity AG,HSTS,bar.app.fidentity.ch,True,,
bfi.fidentity.ch,Fidentity Error,403,1620,bfi.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,bfi.fidentity.ch,443,https://bfi.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,1249238188,194.88.197.87,56,False,SwissSign AG,fidentity AG,HSTS,https:,True,,
bugbountyhub.app.fidentity.ch,Fidentity Error,403,1620,bugbountyhub.app.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-16T03:09:35Z,2023-06-14T03:09:34Z,CN=bugbountyhub.app.fidentity.ch,bugbountyhub.app.fidentity.ch,bugbountyhub.app.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,dae9a8721617bd00ad6fedc3acfcc904,c54c397767c5301fea0e5ab9d46d8a071fd8d436acaabdd5ee781ea40b3ed47d,ctls,bugbountyhub.app.fidentity.ch,80,http://bugbountyhub.app.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,1392666647,194.88.197.87,56,False,Let's Encrypt,,HSTS,bugbountyhub.fidentity.ch,,,https://bugbountyhub.app.fidentity.ch
bugbountyhub.dev.fidentity.ch,Fidentity Error,403,1620,bugbountyhub.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-09T02:00:55Z,2023-07-08T02:00:54Z,CN=bugbountyhub.dev.fidentity.ch,bugbountyhub.dev.fidentity.ch,bugbountyhub.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,23d7f6ccb07c275309cebf79e4a2fab9,96cbb1fc5d03143b4c22c76befb49993688538c676f69cd9d1bbdc4550670ade,ctls,bugbountyhub.dev.fidentity.ch,443,https://bugbountyhub.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,1406166648,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://bugbountyhub.dev.fidentity.ch/api/v1/demo-registration
bugbountyhub.fidentity.ch,Fidentity Error,403,1620,bugbountyhub.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,bugbountyhub.fidentity.ch,80,http://bugbountyhub.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,1473060590,194.88.197.87,56,False,SwissSign AG,fidentity AG,HSTS,bugbountyhub.fidentity.ch,True,,https://bugbountyhub.fidentity.ch
cloud.app.fidentity.ch,404 Not Found,404,548,,,,,,,,,,,,,,,,,,,80,http://cloud.app.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,566218143,194.88.197.87,14,False,,,,,,,
compute.app.fidentity.ch,404 Not Found,404,548,compute.app.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-01-24T05:31:36Z,2024-01-24T05:31:36Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,43d0b32706719532be294434ca213df0,97d065cc0fb1cd048552d506504f996ccdd4451403fe070c15b6429b7e9c2086,ctls,compute.app.fidentity.ch,443,https://compute.app.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,566218143,194.88.197.87,14,False,Acme Co,Acme Co,HSTS,,,,
cryptomathic.dev.fidentity.ch,Fidentity Error,403,1620,cryptomathic.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-23T10:32:26Z,2023-06-21T10:32:25Z,CN=cryptomathic.dev.fidentity.ch,cryptomathic.dev.fidentity.ch,cryptomathic.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,81b4b3ea5bdf0df0e030730713e39b5a,280b513f57608a329f82e3e9158b042c79947dd53421f27bbd0e4e694deb4f2f,ctls,cryptomathic.dev.fidentity.ch,80,http://cryptomathic.dev.fidentity.ch:80,http,text/html,GET,194.182.166.97,/,-177481885,194.182.166.97,56,False,Let's Encrypt,,Nginx,https://cryptomathic.dev.fidentity.ch/api/v1/app/logger/csp,,nginx,https://cryptomathic.dev.fidentity.ch/api/v1/demo-registration
cv.dev.fidentity.ch,,403,9,cv.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-11T07:19:27Z,2023-07-10T07:19:26Z,CN=cv.dev.fidentity.ch,cv.dev.fidentity.ch,cv.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,73d36d53483d1b526ea0145e9dd4f033,36efc6a2b69b43d183eb44df2ffc3c67d1b46724802d4199d017bff79a0d0395,ctls,cv.dev.fidentity.ch,443,https://cv.dev.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-942874359,194.182.166.97,1,False,Let's Encrypt,,,,,,
debug-info.app.fidentity.ch,,200,688,debug-info.app.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-05-06T06:18:32Z,2023-08-04T06:18:31Z,CN=debug-info.app.fidentity.ch,debug-info.app.fidentity.ch,debug-info.app.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,c582af5f02038bf978bf6eeefb82750c,34758d68e538c191841da5c1b257ae250c9284682b7d9d8f32b75313d249c611,ctls,debug-info.app.fidentity.ch,80,http://debug-info.app.fidentity.ch:80,http,text/plain,GET,194.88.197.87,/,1350466922,194.88.197.87,21,False,Let's Encrypt,,HSTS,,,,https://debug-info.app.fidentity.ch
