new,host,a,soa,status_code,txt,cname,aaaa,mx,ns,caa
[x],155-9-171-95.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],access.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],additiv.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],additiv.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],additiv.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],admin-auth-container.loadtest.fidentity.ch,194.182.164.157,"ns1.dnsimple.com, admin.dnsimple.com, ns1.exoscale.ch",NOERROR,,,,,,
[x],airlock.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],airlock.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],amag-dev.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],amag-preview.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],amag-stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,amag.stage.fidentity.ch,,,,
[x],amag.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],amag.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,amag.app.fidentity.ch,,,,
[x],amag.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],apibiw-inspector.app.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],app.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],assets.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],atl-stg-arsap-02b.loadtest.fidentity.ch,194.182.164.157,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],atlas.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],autoconfig.fidentity.ch,,"ns1.cyon.ch, server0.cyon.ch",NOERROR,,maildiscovery.cyon.ch,,,,
[x],autodiscover.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],backup.app.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],backup.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],bank-avera.app.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],bank-avera.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],bank-avera.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],bar.app.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],bar.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,bar.app.fidentity.ch,,,,
[x],bar.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],beta.loadtest.fidentity.ch,194.182.164.157,"ns1.dnsimple.com, admin.dnsimple.com, ns1.exoscale.ch",NOERROR,,,,,,
[x],bfi.app.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],bfi.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],bfi.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,bfi.app.fidentity.ch,,,,
[x],bfi.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],bosa.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
