new,host,a,mx,soa,ns,txt,caa,status_code,cname,has_internal_ips,internal_ips,aaaa,cdn,cdn-name
,dev-elo-orb.elo.com.br,"172.19.36.26, 172.19.37.87, 172.19.39.170",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1019258736.us-east-2.elb.amazonaws.com,True,"172.19.36.26, 172.19.37.87, 172.19.39.170",,,
,dev-elometrics.elo.com.br,"172.19.39.170, 172.19.36.26, 172.19.37.87",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1019258736.us-east-2.elb.amazonaws.com,True,"172.19.39.170, 172.19.36.26, 172.19.37.87",,,
,dev-emissaolite-eks.elo.com.br,"3.133.10.171, 3.21.212.179, 3.136.250.59",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-dev-devingre-763af1b2cd-185035529.us-east-2.elb.amazonaws.com,,,,,
,dev-flex-management-panel-plataformaflex-eks.elo.com.br,"172.19.37.208, 172.19.36.184, 172.19.38.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-95073370.us-east-2.elb.amazonaws.com,True,"172.19.37.208, 172.19.36.184, 172.19.38.226",,,
,dev-flex-teamlib-plataformaflex-eks.elo.com.br,"172.19.36.184, 172.19.37.208, 172.19.38.226",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-95073370.us-east-2.elb.amazonaws.com,True,"172.19.36.184, 172.19.37.208, 172.19.38.226",,,
,dev-lyra-eks.elo.com.br,"18.189.163.223, 3.21.120.177, 3.136.211.71",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-dev-devingre-763af1b2cd-1193435942.us-east-2.elb.amazonaws.com,,,,,
,dev-plataformaflex-eks.elo.com.br,"18.219.254.57, 52.95.251.218, 3.19.111.34",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-dev-devingre-763af1b2cd-2079999098.us-east-2.elb.amazonaws.com,,,,,
,dev-tokenization-eks.elo.com.br,"3.15.69.176, 3.136.240.5, 3.139.161.57",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-dev-devingre-763af1b2cd-1212387014.us-east-2.elb.amazonaws.com,,,,,
,dev.elo.com.br,"104.18.2.31, 104.18.3.31",,"ns1.cloudflare.net, dns.cloudflare.com",,,,NOERROR,dev.elo.com.br.cdn.cloudflare.net,,,"2606:4700::6812:31f, 2606:4700::6812:21f",True,cloudflare
,elo-orb.elo.com.br,"52.67.71.171, 54.94.161.248, 54.94.186.24",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,7ed22154-prd-apisprdportal-cd66-1914696574.sa-east-1.elb.amazonaws.com,,,,,
,elo.com.br,"54.94.104.40, 18.229.185.43, 54.94.233.46",elo-com-br.mail.protection.outlook.com,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com","ns-1479.awsdns-56.org, ns-1854.awsdns-39.co.uk, ns-415.awsdns-51.com, ns-513.awsdns-00.net","google-site-verification=b2DbGvcUOJMICvwoNetuQLQLGrRrcUCJTwTc-W717KU, ms=ms41862700, v=spf1 include:service-now.com include:spf.protection.outlook.com include:spf.mandrillapp.com ip4:200.185.61.197/32 ip4:23.251.225.132/32 ip4:23.251.225.133/32 ip4:200.219.213.46/32 ip4:200.219.197.46/32 ip4:8.242.57.190/32 -all, workplace-domain-verification=GMNdutzJGwtrRRuikbqJSkVZPq3w3t, atlassian-domain-verification=acVm7RU/LCJasQXz8/RQTlfxAXndmeQ6HpIJIoBxt5jOqvUpC9eY6bOQRIN8wj/5",";, amazon.com, amazonaws.com, amazontrust.com, awstrust.com, globalsign.com, pki.goog",NOERROR,,,,,,
,elonegocios.elo.com.br,3.0.65.144,,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,,,
,fenix.elo.com.br,172.26.87.34,,"ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,True,172.26.87.34,,,
,gtm.elo.com.br,"54.94.233.46, 54.94.104.40, 18.229.185.43",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-prod-siteelo-33cc6a20ff-1205880040.sa-east-1.elb.amazonaws.com,,,,,
,hml-api-eks.elo.com.br,"3.14.179.140, 18.116.250.74, 3.12.211.129",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-hml-hmlingre-2dfe656980-2083681724.us-east-2.elb.amazonaws.com,,,,,
,hml-carteiras-digitais-eks.elo.com.br,,,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-hml-hmlingre-2dfe656980-1994030044.us-east-2.elb.amazonaws.com,,,,,
,hml-ecw-eks.elo.com.br,"3.14.221.100, 3.20.138.104, 52.14.55.65",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-hml-hmlingre-2dfe656980-483608046.us-east-2.elb.amazonaws.com,,,,,
