new,host,a,soa,status_code,aaaa,cname,ns,mx,txt,caa,cdn,cdn-name,has_internal_ips,internal_ips
[x],14.unibet.fr,54.144.128.85,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],15.unibet.fr,54.144.128.85,,NOERROR,,,,,,,,,,
[x],32red.com,"104.16.185.79, 104.17.116.43","cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"cloe.ns.cloudflare.com, paul.ns.cloudflare.com",32red-com.mail.protection.outlook.com,"MS=ms10965557, facebook-domain-verification=gprd4scrrgex10dm3n0nq4k3ug2cul, 055f5c2e-6d83-4230-8264-9ffc09dd879f, bb6e2dce-ed85-4a0e-b83f-6f6bca5ea9ed, c7cafff5-6147-4f79-93aa-c94d997e04b8, v=spf1 mx ip4:212.188.185.254 ip4:185.9.103.162 ip4:85.184.101.25 ip4:85.184.103.62 a include:eu._netblocks.mimecast.com include:spf.protection.outlook.com include:rnmk.com include:sp.unibet.com -all, google-site-verification=_Cwcy4ry3gq95QGpX08smQ-RD8AaFTTaDYH6A6RadH8, google-site-verification=wJXCmw28KSYPCIG9xJSGbNi0GiPQXo8C9CIEg97Mb9s","letsencrypt.org, pki.goog; cansignhttpexchanges=yes, trustwave.com, digicert.com; cansignhttpexchanges=yes, comodoca.com",True,cloudflare,,
[x],a1s-cdn.unibet.com,85.184.96.5,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,ads.unibet.com,,,,,,,,
[x],a1s.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,ads.unibet.com,,,,,,,,
[x],a49cdc89.gib1.unibet.com,,,NOERROR,,,,,,,,,,
[x],accounts8gameassists.32red.com,185.9.103.154,"cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],adfs.unibet.com,192.121.202.12,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],admin.az.unibet.com,140.228.97.67,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],admin.ia.unibet.com,192.16.81.133,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],admin.il.unibet.com,192.16.89.116,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],admin.in.unibet.com,192.16.80.133,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],admin.pa.unibet.com,50.229.39.212,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],admin.va.unibet.com,130.254.51.133,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],ads-cdn.unibet.com,85.184.96.5,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,ads.unibet.com,,,,,,,,
[x],ads.unibet.com,85.184.96.5,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],adserving-tmp.unibet.com,192.121.200.193,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],adserving.unibet.com,"104.110.240.179, 104.110.240.99","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:fe00::686e:f0b3, 2a02:26f0:fe00::686e:f063","kindred.cdn.netrefer.com, ads-media5.netrefer.edgekey.net, e89901.dscb.akamaiedge.net",,,,,,,,
[x],advertiser.unibet.fr,,,NOERROR,,,,,,,,,,
[x],advisor.unibet.fr,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],af.unibet.fr,"13.107.237.45, 13.107.238.45","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",NOERROR,"2620:1ec:29:1::45, 2620:1ec:48:1::45","unibet-fr.admin.netrefer.com, fd-core-fd-prod-01-westeurope-hxakeja9dkepbkhf.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,,,,,,,
[x],affiliateadmin.32red.com,"104.16.185.79, 104.17.116.43","cloe.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,True,cloudflare,,
[x],affiliateadmin.unibet.com,192.121.200.194,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,"sto.excedodns.se, dns-ext2.northdev.net, world.excedodns.org, dns-ext1.northdev.net, global.excedodns.com, emea.excedodns.eu",,,,,,,
[x],affiliates-tmp.unibet.com,192.121.200.194,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],affiliates.unibet.com,192.121.200.194,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],affiliates.unibet.fr,"13.107.253.45, 13.107.226.45","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45","unibet-fr.affiliates.netrefer.com, fd-core-fd-prod-01-westeurope-hxakeja9dkepbkhf.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,,,,,,,
[x],affiliation.unibet.fr,85.184.96.42,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],agriculture.unibet.fr,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,,
[x],aide.unibet.fr,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],amo-dba.aws.unibet.com,,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api-dev.kindredext.net,85.184.97.2,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api-qa1.kindredext.net,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api-qa1.ottokasino.com,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-qa1.ottokasino.com,,,,,,,,
[x],api-qa1.unibet.com,85.184.97.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-qa1.unibet.com,,,,,,,,
[x],api-si1.ottokasino.com,85.184.97.4,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,www-si1.ottokasino.com,"world.excedodns.org, sto.excedodns.se, global.excedodns.com, emea.excedodns.eu, dns-ext2.northdev.net, dns-ext1.northdev.net",,,,,,,
[x],api-si1.unibet.com,85.184.97.4,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api.az.unibet.com,140.228.97.66,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,,,,,,,,,
[x],api.bingo.com,85.184.96.0,"dns-ext1.northdev.net, domain\.names.unibet.com",NOERROR,,"www.bingo.com, bingo.com","sto.excedodns.se, emea.excedodns.eu, world.excedodns.org, global.excedodns.com, dns-ext1.northdev.net, dns-ext2.northdev.net",bingo-com.mail.protection.outlook.com,"google-site-verification=m0BCAxF9TtZ565Wgss1bKa9_GDvNIyKea6Kqvbi5bng, S/ui88PEDmFfuuY4Sl7RL8JweTg5nII9g7y5Z3m56n1h7KjbtVQw+Gn3ggQwjRThi8993sjd+7fw/9B3QNOMqQ==, v=spf1 mx ip4:66.150.108.0/24 ip4:64.74.103.0/24 ip4:63.251.34.0/24 ip4:66.150.108.0/24 ip4:69.25.247.0/24 include:sp.unibet.com include:spf.protection.outlook.com include:spf.mandrillapp.com include:custhelp.com -all, MS=ms44757756, 0d1cc225-fdd7-49de-8b9a-fff714f84ffd, 19b382b3-055c-4563-91aa-346dd1158e66, d738c231-2e90-4d58-a56f-eda6e327f304, facebook-domain-verification=lppn3kjki78nyfi5uxnva8ypo1ngn4, google-site-verification=UfpTilZr6xyExWkLOpx2b2XpG2w0VVElJfpodhG5m_E","letsencrypt.org, trustwave.com",,,,
