new,host,a,soa,status_code,aaaa,cname,ns,has_internal_ips,internal_ips,cdn,cdn-name,ptr,txt,mx,caa
[x],6eholidays.makemytrip.com,"62.115.252.19, 80.239.137.144","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::50ef:8990, 2001:2030:21::3e73:fc13","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],ab.makemytrip.com,"62.115.252.19, 80.239.137.144","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::50ef:8990, 2001:2030:21::3e73:fc13","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],acme-se.makemytrip.com,"23.53.42.195, 23.53.42.147","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],acme.makemytrip.com,"23.53.42.147, 23.53.42.195","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],adorch.makemytrip.com,,"n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],adserver.makemytrip.com,"23.53.42.147, 23.53.42.195","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],advertising.makemytrip.com,"2.18.29.160, 2.18.29.208","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],affiliate.makemytrip.com,"95.101.74.149, 95.101.74.142","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a8e, 2a02:26f0:c900:9::5f65:4a95","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],affiliateintlapi.makemytrip.com,"95.101.74.149, 95.101.74.142","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a8e, 2a02:26f0:c900:9::5f65:4a95","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],air-api.makemytrip.com,"104.126.116.43, 104.126.116.33","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1408:7400::17de:4f10, 2600:1408:7400::17de:4f5a","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],air.makemytrip.com,"23.12.145.143, 23.12.145.130","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1408:7400::17de:4f5a, 2600:1408:7400::17de:4f10","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],airtel.makemytrip.com,"13.126.1.111, 13.127.63.123","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,"m.makemytrip.com, mmt-301-1242032409.ap-south-1.elb.amazonaws.com",,,,,,,,,
[x],amazon-affiliate-beta.makemytrip.com,"2.16.187.154, 2.16.187.58","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19d, 2a02:26f0:480:c::210:f19c","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],amazon-affiliate.makemytrip.com,"95.101.74.149, 95.101.74.142","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a95, 2a02:26f0:c900:9::5f65:4a8e","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],api.makemytrip.com,"95.101.74.149, 95.101.74.142","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a95, 2a02:26f0:c900:9::5f65:4a8e","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],apple-test.makemytrip.com,115.114.54.100,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],applinks.makemytrip.com,"13.56.72.192, 54.153.86.152, 52.52.216.11, 54.177.162.174, 52.52.6.53, 54.183.120.48, 13.56.24.14, 13.56.2.175","ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,custom.bnc.lt,,,,,,,,,"digicert.com, entrust.net, letsencrypt.org"
[x],apps.makemytrip.com,"13.126.1.111, 13.127.63.123","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,"m.makemytrip.com, mmt-301-1242032409.ap-south-1.elb.amazonaws.com",,,,,,,,,
[x],argus.makemytrip.com,"2.16.241.156, 2.16.241.157","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:fe00::686e:f042, 2a02:26f0:fe00::686e:f0b9","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],av.makemytrip.com,125.20.38.91,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],aw2.makemytrip.com,122.15.80.203,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],awl.makemytrip.com,"202.54.232.141, 122.15.80.205, 14.142.226.62, 125.20.33.150","awl.makemytrip.com, administrator.awl.makemytrip.com",NOERROR,,,"lpairn.makemytrip.com, lpvsn.makemytrip.com",,,,,,,,
[x],b2bmktg.makemytrip.com,115.114.53.64,"pdns1.ultradns.net, domainregister.makemytrip.com",NOERROR,,,,,,,,,,,
[x],bb.makemytrip.com,"13.127.63.123, 13.126.1.111","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,"m.makemytrip.com, mmt-301-1242032409.ap-south-1.elb.amazonaws.com",,,,,,,,,
[x],beta-test.makemytrip.com,"95.101.74.142, 95.101.74.149","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a95, 2a02:26f0:c900:9::5f65:4a8e","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],bots.makemytrip.com,"95.101.74.142, 95.101.74.149","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a95, 2a02:26f0:c900:9::5f65:4a8e","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
[x],bts.makemytrip.com,"125.20.38.125, 202.54.232.156","bts.makemytrip.com, administrator.bts.makemytrip.com",NOERROR,,,,,,,,,,,
[x],bus-service.makemytrip.com,"23.3.88.211, 23.3.88.177","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::1735:2ac3, 2a02:26f0:3100::1735:2a93","wildcard-snionly.makemytrip.com.edgekey.net, e38444.dscj.akamaiedge.net",,,,,,,,,
