input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,csp_domains_,cdn_name,cdn,final_url
aggregator.mcdelivery.co.in,Runtime Error,500,3420,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,aggregator.mcdelivery.co.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-25T09:02:09Z,2023-08-23T12:56:06Z,"CN=*.mcdelivery.co.in, O=HARDCASTLE RESTAURANTS PRIVATE LIMITED, L=Mumbai, ST=Maharashtra, C=IN",*.mcdelivery.co.in,HARDCASTLE RESTAURANTS PRIVATE LIMITED,mcdelivery.co.in,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ae19043408077ccafda72f953db7abbf,e15649e1570349f871c8d0a9d80f514f15c5cb02ff3bcf09e493e08aab968c88,ctls,aggregator.mcdelivery.co.in,443,https://aggregator.mcdelivery.co.in:443,https,Microsoft-IIS/8.5,text/html,GET,115.112.224.205,/,1772087922,115.112.224.205,Windows Server,81,False,,True,,,,
aggregator.uat.mcdelivery.co.in,Not Found,404,315,AS9498,AS9498,Unknown,182.76.136.0/24,aggregator.uat.mcdelivery.co.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2022-07-25T09:02:09Z,2023-08-23T12:56:06Z,"CN=*.mcdelivery.co.in, O=HARDCASTLE RESTAURANTS PRIVATE LIMITED, L=Mumbai, ST=Maharashtra, C=IN",*.mcdelivery.co.in,HARDCASTLE RESTAURANTS PRIVATE LIMITED,mcdelivery.co.in,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ae19043408077ccafda72f953db7abbf,e15649e1570349f871c8d0a9d80f514f15c5cb02ff3bcf09e493e08aab968c88,ctls,aggregator.uat.mcdelivery.co.in,443,https://aggregator.uat.mcdelivery.co.in:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,182.76.136.180,/,225052475,182.76.136.180,Microsoft HTTPAPI:2.0,7,False,True,True,,,,
backoffice.mcdelivery.co.in,McDonalds Admin Login,200,16707,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,backoffice.mcdelivery.co.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-25T09:02:09Z,2023-08-23T12:56:06Z,"CN=*.mcdelivery.co.in, O=HARDCASTLE RESTAURANTS PRIVATE LIMITED, L=Mumbai, ST=Maharashtra, C=IN",*.mcdelivery.co.in,HARDCASTLE RESTAURANTS PRIVATE LIMITED,mcdelivery.co.in,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ae19043408077ccafda72f953db7abbf,e15649e1570349f871c8d0a9d80f514f15c5cb02ff3bcf09e493e08aab968c88,ctls,backoffice.mcdelivery.co.in,443,https://backoffice.mcdelivery.co.in:443,https,Microsoft-IIS/8.5,text/html,GET,115.112.224.203,/,1631801191,115.112.224.203,Windows Server,363,False,,True,,,,
backoffice.uat.mcdelivery.co.in,McDonalds Admin Login,200,16643,AS9498,AS9498,Unknown,182.76.136.0/24,,,,,,,,,,,,,,,,,,,,80,http://backoffice.uat.mcdelivery.co.in:80,http,,text/html,GET,182.76.136.180,/,1631801191,182.76.136.180,Microsoft ASP.NET:4.0.30319,363,False,,,,,,
be.mcdelivery.co.in,,401,403,AS16509,AS16509,Unknown,13.232.0.0/13,be.mcdelivery.co.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2024-03-22T23:59:59Z,CN=be.mcdelivery.co.in,be.mcdelivery.co.in,,be.mcdelivery.co.in,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c9e76f74876f4dde0de26d3e9299361,54226cc46f39c25c516af869776a9745908fa9157954d935fc8086f22a89aca5,ctls,be.mcdelivery.co.in,443,https://be.mcdelivery.co.in:443,https,,application/json,GET,13.234.159.2,/,-1840324437,52.66.23.86,Basic,1,False,,,,,,
https://coke2home.com,Coke2home: Buy Coca-Cola Company Products Online,200,122549,AS16509,AS16509,Unknown,52.16.0.0/14,www.coke2home.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-16T00:00:00Z,2024-04-13T23:59:59Z,CN=coke2home.com,coke2home.com,,www.coke2home.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,469e200825f18d56f781283e961317d1,7100536abc7d900321142dfbf12da615a30d10da5be6e0ab7a3db395c1e71bb8,ctls,www.coke2home.com,443,https://coke2home.com:443,https,Apache,text/html,GET,52.14.144.171,/,-780928015,52.14.144.171,jQuery,1485,False,,,,,,https://www.coke2home.com/
https://microapps.google.com,Error 404 (Not Found)!!1,404,1638,AS15169,GOOGLE,US,142.250.0.0/15,microapps.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,microapps.google.com,443,https://microapps.google.com:443,https,ESF,text/html,GET,142.250.185.142,/,873962860,2a00:1450:4001:810::200e,HTTP/3,1,False,,True,,,,
images.mcdelivery.co.in,"Image and Video Upload, Storage, Optimization and CDN",200,187988,AS40009,BITGRAVITY,US,64.185.184.0/22,cloudinary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-30T06:40:39Z,2023-07-01T06:40:39Z,"CN=*.cloudinary.com, O=Cloudinary Ltd, L=Petah Tikva, C=IL",*.cloudinary.com,Cloudinary Ltd,cloudinary.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",146caf00ba403a1bab2fac7ddfa58ef4,fe666d3026e433ccf661f700859054f564a8b0b36854760f8bf59c6c2c28fd00,ctls,cloudinary.com,443,https://images.mcdelivery.co.in:443,https,cloudflare,text/html,GET,64.185.181.238,/,-624805968,64.185.181.238,Yoast SEO:19.9,1739,False,,True,api.lever.co,,,https://cloudinary.com
js.mcdelivery.co.in,"Image and Video Upload, Storage, Optimization and CDN",200,187988,AS40009,BITGRAVITY,US,64.185.184.0/22,cloudinary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-30T06:40:39Z,2023-07-01T06:40:39Z,"CN=*.cloudinary.com, O=Cloudinary Ltd, L=Petah Tikva, C=IL",*.cloudinary.com,Cloudinary Ltd,cloudinary.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",146caf00ba403a1bab2fac7ddfa58ef4,fe666d3026e433ccf661f700859054f564a8b0b36854760f8bf59c6c2c28fd00,ctls,cloudinary.com,443,https://js.mcdelivery.co.in:443,https,cloudflare,text/html,GET,64.185.181.238,/,-624805968,64.185.181.238,Yoast SEO:19.9,1739,False,,True,mocky.com,,,https://cloudinary.com
locateme.mcdelivery.co.in,,200,5239,AS15169,GOOGLE,US,216.239.56.0/22,locateme.mcdelivery.co.in,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2018-09-07T15:47:04Z,2020-10-08T12:46:01Z,"CN=locateme.mcdelivery.co.in, O=Hardcastle Restaurants Private Limited, OU=IT, L=Mumbai, ST=Maharashtra, C=IN",locateme.mcdelivery.co.in,Hardcastle Restaurants Private Limited,locateme.mcdelivery.co.in,"CN=GlobalSign Organization Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G2,GlobalSign nv-sa,14e58728b0a9517c487a89fb7fad55ac,034cc6b3ef1b105ba0f9b53d001ca608e97d8514790d04a0d7639b38a3182b29,ctls,locateme.mcdelivery.co.in,443,https://locateme.mcdelivery.co.in:443,https,Google Frontend,text/html,GET,216.239.32.21,/,1952407579,2001:4860:4802:34::15,Ionicons,100,False,,,,,,
