new,host,cname,mx,soa,ns,txt,status_code,a,cdn,cdn-name,aaaa,caa
,admin.corp.cuvva.co,,,"ns-1876.awsdns-42.co.uk, awsdns-hostmaster.amazon.com","ns-1453.awsdns-53.org, ns-1876.awsdns-42.co.uk, ns-218.awsdns-27.com, ns-585.awsdns-09.net",,NOERROR,"216.137.44.25, 216.137.44.73, 216.137.44.34, 216.137.44.77",True,cloudfront,"2600:9000:2117:f200:1d:6265:b680:93a1, 2600:9000:2117:b200:1d:6265:b680:93a1, 2600:9000:2117:7600:1d:6265:b680:93a1, 2600:9000:2117:5200:1d:6265:b680:93a1, 2600:9000:2117:bc00:1d:6265:b680:93a1, 2600:9000:2117:9200:1d:6265:b680:93a1, 2600:9000:2117:f400:1d:6265:b680:93a1, 2600:9000:2117:1a00:1d:6265:b680:93a1",
,alerts.cuvva.com,,smtp.sparkpostmail.com,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
,blog.cuvva.com,,,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,"13.32.99.75, 13.32.99.40, 13.32.99.119, 13.32.99.66",True,cloudfront,"2600:9000:2251:e800:1d:6265:b680:93a1, 2600:9000:2251:8a00:1d:6265:b680:93a1, 2600:9000:2251:9000:1d:6265:b680:93a1, 2600:9000:2251:d200:1d:6265:b680:93a1, 2600:9000:2251:7c00:1d:6265:b680:93a1, 2600:9000:2251:f600:1d:6265:b680:93a1, 2600:9000:2251:9400:1d:6265:b680:93a1, 2600:9000:2251:8e00:1d:6265:b680:93a1",
,bounces.cuvva.com,sparkpostmail.com,smtp.sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com","ns-304.awsdns-38.com, ns-775.awsdns-32.net, ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk","v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs",NOERROR,,,,,
,community.cuvva.co,,,"ns-1876.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"13.226.153.20, 13.226.153.47, 13.226.153.32, 13.226.153.87",True,cloudfront,"2600:9000:2182:9800:1d:6265:b680:93a1, 2600:9000:2182:8200:1d:6265:b680:93a1, 2600:9000:2182:6000:1d:6265:b680:93a1, 2600:9000:2182:4c00:1d:6265:b680:93a1, 2600:9000:2182:f400:1d:6265:b680:93a1, 2600:9000:2182:a600:1d:6265:b680:93a1, 2600:9000:2182:e00:1d:6265:b680:93a1, 2600:9000:2182:c800:1d:6265:b680:93a1",
,cuvva.co,,,,,,NOERROR,"13.32.99.119, 13.32.99.75, 13.32.99.40, 13.32.99.66",True,cloudfront,"2600:9000:2251:f400:1d:6265:b680:93a1, 2600:9000:2251:3400:1d:6265:b680:93a1, 2600:9000:2251:6600:1d:6265:b680:93a1, 2600:9000:2251:5e00:1d:6265:b680:93a1, 2600:9000:2251:5200:1d:6265:b680:93a1, 2600:9000:2251:a00:1d:6265:b680:93a1, 2600:9000:2251:1600:1d:6265:b680:93a1, 2600:9000:2251:a600:1d:6265:b680:93a1",
,feedback.cuvva.com,cname.canny.io,,"ns-669.awsdns-19.net, awsdns-hostmaster.amazon.com","ns-1321.awsdns-37.org, ns-1655.awsdns-14.co.uk, ns-252.awsdns-31.com, ns-669.awsdns-19.net",,NOERROR,44.214.112.154,,,2600:1f18:421f:6301:493d:b059:8519:ba82,
,magic.cuvva.com,,,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,
,mails.cuvva.com,,smtp.sparkpostmail.com,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
,o986.lp-info.cuvva.com,,,"ns-125.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,149.72.143.169,,,,
