input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,tech_,lines,failed,cdn,final_url,chain_status_codes_,csp_domains_,tls_mismatched,tls_subject_org_
admin.corp.cuvva.co,Cuvva,200,5971,ops.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,ops.cuvva.com,cloudfront,443,https://admin.corp.cuvva.co:443,https,AmazonS3,text/html,GET,13.32.99.75,/,1338178039,HSTS,83,False,True,https://ops.cuvva.com/,200,,,
api.prod.cuv-prod.app,,200,67,api.prod.cuv-prod.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-12-20T23:59:59Z,CN=*.g.cuv-prod.app,*.g.cuv-prod.app,*.partner.cuvva.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46b23fab3634122ad7cee467bc063d31,a8e228f7eba556ede4c8a63bf5686753461a08ff8e4b920846ec5d187f5dec06,True,ctls,api.prod.cuv-prod.app,cloudfront,443,https://api.prod.cuv-prod.app:443,https,cuvva-service-proxy/dev,,GET,52.222.214.43,/,1686036678,HSTS,1,False,True,,,,True,
blog.cuvva.co,"The blog: news, insurance insights and behind the scenes | Cuvva",200,4205509,www.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,www.cuvva.com,cloudfront,443,https://blog.cuvva.co:443,https,AmazonS3,text/html,GET,65.9.86.65,/,-2055659139,Typekit,397,False,True,https://www.cuvva.com/news,200,https://www.google.com,,
blog.cuvva.com,"The blog: news, insurance insights and behind the scenes | Cuvva",200,4205509,www.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,www.cuvva.com,cloudfront,443,https://blog.cuvva.com:443,https,AmazonS3,text/html,GET,13.32.99.75,/,-2055659139,Typekit,397,False,True,https://www.cuvva.com/news,200,https://app.link/,,
content.cuvva.com,,403,243,content.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,content.cuvva.com,cloudfront,443,https://content.cuvva.com:443,https,AmazonS3,application/xml,GET,52.222.236.47,/,-1112315256,Amazon Web Services,2,False,True,,,,,
cuvva.co,The car insurance app | Cuvva,200,4173355,www.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,www.cuvva.com,cloudfront,443,https://cuvva.co:443,https,AmazonS3,text/html,GET,13.32.99.66,/,1939129230,Typekit,500,False,True,https://www.cuvva.com/,200,https://content.cuvva.com,,
cuvva.com,The car insurance app | Cuvva,200,4173355,www.cuvva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-02T23:59:59Z,CN=cuvva.com,cuvva.com,*.cuvva.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,46b390a43740dd617611a78fd573ced1,8c5e8cb140a989fcfe6bc9266b409c5252f2cc5aa98e6e9d4054bfd5a924b39f,True,ctls,www.cuvva.com,cloudfront,443,https://cuvva.com:443,https,AmazonS3,text/html,GET,13.32.99.119,/,1939129230,Typekit,500,False,True,https://www.cuvva.com/,200,https://websdk.appsflyer.com/,,
feedback.cuvva.com,Cuvva Feedback,200,26658,cuvva.canny.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2023-10-24T23:59:59Z,CN=canny.io,canny.io,*.canny.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4325a2e84c4d69a23bba2deb30760ce6,ef88421f4c93ec3cfbc269d75b3eb5a160b64941574a3a2b40e4b4dfb74b44bb,True,ctls,cuvva.canny.io,,443,https://feedback.cuvva.com:443,https,,text/html,GET,44.214.112.154,/,-1195517263,React,2,False,,https://cuvva.canny.io/,200,https://tools.luckyorange.com,,
https://api.stripe.com,,404,361,api.stripe.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2023-07-27T23:59:59Z,"CN=api.stripe.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api.stripe.com,api.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,ddd6b7df91a0d8e45c143cb6251c753d,2ceb66853097cf594fcedadfe3373535fdb7ba5a0d328bcd34ab20075a0d3873,,ctls,api.stripe.com,,443,https://api.stripe.com:443,https,nginx,application/json,GET,34.241.202.139,/,-2122229022,Nginx,7,False,,,,,,"Stripe, Inc"
https://cdnjs.cloudflare.com/ajax/libs/popper.js/,,404,18,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8789a4791c80fe9fc769847a7ba6e4b5,9454c62828b954228efbbb6b7e3865ae64ba54e5a4ccdd89936d068e2ac94dd3,True,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443/ajax/libs/popper.js/,https,cloudflare,text/plain,GET,104.17.24.14,/ajax/libs/popper.js/,2023033722,HTTP/3,1,False,True,,,,,"Cloudflare, Inc."
