new,host,cname,mx,soa,txt,status_code,a,cdn,cdn-name,aaaa
[x],app-eu.worklytics.co,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,142.250.185.211,,,2a00:1450:4001:80b::2013
[x],app.worklytics.co,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,142.250.203.211,,,2a00:1450:401b:810::2013
[x],calendar.worklytics.co,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,142.250.181.243,,,2a00:1450:4001:811::2013
[x],drive.worklytics.co,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,172.217.20.83,,,2a00:1450:400a:802::2013
[x],intl.worklytics.co,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,142.250.65.243,,,2607:f8b0:4006:816::2013
[x],mail.worklytics.co,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,142.251.16.121,,,2607:f8b0:4004:c09::79
[x],o1.send.worklytics.co,,,"ns-cloud-e1.googledomains.com, dns-admin.google.com",,NOERROR,168.245.43.43,,,
[x],send.worklytics.co,u1745227.wl228.sendgrid.net,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",v=spf1 ip4:168.245.43.43 -all,NOERROR,,,,
[x],www.worklytics.co,"proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com",,"ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",,NOERROR,"34.251.201.224, 54.194.170.100, 34.253.101.190",,,
[x],www2.worklytics.co,,,,,NOERROR,,,,
[x],zendesk1.worklytics.co,mail1.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,"162.159.128.7, 162.159.138.6",True,cloudflare,
[x],zendesk2.worklytics.co,mail2.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,"162.159.128.7, 162.159.138.6",True,cloudflare,
[x],zendesk3.worklytics.co,mail3.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,"162.159.128.7, 162.159.138.6",True,cloudflare,
