input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,tls_expired,cdn
api.lat-lon.com,The resource cannot be found.,,1911,api.lat-lon.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-10T00:00:00Z,CN=*.lat-lon.com,*.lat-lon.com,,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,ctls,api.lat-lon.com,443,https://api.lat-lon.com:443,https,,text/html,GET,34.120.184.100,Microsoft ASP.NET:4.0.30319,43,,True
api.mobicorp.com,,,9,api.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,api.mobicorp.com,443,https://api.mobicorp.com:443,https,,text/html,GET,34.148.189.141,,1,,True
app-con-q9.test.geotabinc.com,Sign in - Google Accounts,,595126,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://app-con-q9.test.geotabinc.com:443,https,ESF,text/html,GET,34.117.195.214,HTTP/3,46,,True
autodiscover.bsmwireless.com,Sign in to Outlook,,199457,login.microsoftonline.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,login.microsoftonline.com,80,http://autodiscover.bsmwireless.com:80,http,,text/html,GET,40.99.149.104,HSTS,174,,
autodiscover.lat-lon.com,Sign in to Outlook,,200923,login.microsoftonline.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,login.microsoftonline.com,80,http://autodiscover.lat-lon.com:80,http,,text/html,GET,52.98.242.248,HSTS,173,,
autodiscover.webtechwireless.com,Sign in to Outlook,,201014,login.microsoftonline.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,login.microsoftonline.com,80,http://autodiscover.webtechwireless.com:80,http,,text/html,GET,40.99.157.24,HSTS,173,,
bsmtechnologies.com,BSM Technologies - A Geotab Company | Geotab,,216040,www.geotab.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,"CN=*.geotab.com, O=GEOTAB INC., L=Las Vegas, ST=Nevada, C=US",*.geotab.com,GEOTAB INC.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.geotab.com,443,https://bsmtechnologies.com:443,https,,text/html,GET,34.149.0.149,React,132,,True
cartrackpl.custom.intendia.com,,,324,cartrackpl.custom.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T15:36:21Z,CN=flota.buscaman.com,flota.buscaman.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,cartrackpl.custom.intendia.com,443,https://cartrackpl.custom.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
cartrackpt.custom.intendia.com,,,324,cartrackpt.custom.intendia.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T15:36:21Z,CN=flota.buscaman.com,flota.buscaman.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,cartrackpt.custom.intendia.com,443,https://cartrackpt.custom.intendia.com:443,https,Apache,text/html,GET,34.107.117.60,Apache,6,,True
compliance.mobicorp.com,Missing cookie,,2005,idp.mobicorp.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-11-02T00:00:00Z,CN=*.mobicorp.com,*.mobicorp.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,idp.mobicorp.com,443,https://compliance.mobicorp.com:443,https,,text/html,GET,34.138.0.45,PHP:5.4.16,43,,True
