input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_
ablink.postmates.com,404 Not Found,404,564,ablink.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,ablink.postmates.com,,443,https://ablink.postmates.com:443,https,nginx,text/html,GET,167.89.123.124,/,1506877856,,167.89.123.54,Nginx,14,False,,True,
about.postmates.com,"Postmates: Food Delivery, Groceries, Alcohol - Anything from Anywhere",200,324871,postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,postmates.com,google,443,https://about.postmates.com:443,https,ufe,text/html,GET,34.98.127.226,/,-738705486,https://postmates.com/,34.98.127.226,HTTP/3,211,False,True,,https://www.shakeshack.com
api-stage.postmates.com,Page Not Found - Uber,404,2783,api-stage.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,api-stage.postmates.com,,443,https://api-stage.postmates.com:443,https,ufe,text/html,GET,104.36.192.148,/,1303786269,,104.36.192.148,Envoy,109,False,,,
api.postmates.com,Page Not Found - Uber,404,2783,api.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,api.postmates.com,,443,https://api.postmates.com:443,https,ufe,text/html,GET,104.36.192.148,/,1303786269,,104.36.192.148,Envoy,109,False,,,
beta.postmates.com,"Postmates: Food Delivery, Groceries, Alcohol - Anything from Anywhere",200,297510,beta.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,beta.postmates.com,google,443,https://beta.postmates.com:443,https,ufe,text/html,GET,34.98.127.226,/,-738705486,,34.98.127.226,HTTP/3,211,False,True,,https://sc-static.net
blog.postmates.com,Postmates Blog,200,75144,postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,postmates.com,google,443,https://blog.postmates.com:443,https,ufe,text/html,GET,34.98.127.226,/,566218143,https://postmates.com/blog/,34.98.127.226,Yoast SEO:20.3,634,False,True,,https://*.wistia.net
brand.postmates.com,Login - Uber,200,26274,brand.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-20T00:00:00Z,2024-02-19T23:59:59Z,CN=brand.postmates.com,brand.postmates.com,,brand.postmates.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dec35dcc83b2c55381fff62e5687d655,f21f3e70b7c4d4590d44e6e0247a2aaaf2f8a15eee623ebfc339bf0039fd6719,,ctls,brand.postmates.com,,443,https://brand.postmates.com:443,https,frontify,text/html,GET,34.200.96.170,/,-891788644,https://brand.postmates.com/auth/?referer=%2F,34.236.39.139,Sqreen,188,False,,,
careers.postmates.com,,406,14,www.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,www.uber.com,google,443,https://careers.postmates.com:443,https,ufe,text/plain,GET,34.98.127.226,/,611515849,https://www.uber.com/us/en/careers/teams/eats/,34.98.127.226,HTTP/3,1,False,True,,
click.postmates.com,404 Not Found,404,564,click.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,click.postmates.com,,443,https://click.postmates.com:443,https,nginx,text/html,GET,167.89.123.124,/,1506877856,,167.89.118.52,Nginx,14,False,,True,
developer.postmates.com,,404,,developer.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,developer.postmates.com,google,443,https://developer.postmates.com:443,https,ufe,,GET,34.98.127.226,/,-1840324437,,34.98.127.226,HTTP/3,1,False,True,,
