new,host,a,soa,status_code,cname,mx,txt,cdn,cdn-name,has_internal_ips,internal_ips,ns,aaaa
[x],acc.demo.walla.co.il,"10.30.10.226, 10.30.12.94, 10.30.11.26","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.10.226, 10.30.12.94, 10.30.11.26",,
[x],mazaltov.origin.walla.co.il,"63.34.181.76, 34.248.173.221, 54.72.113.181","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],mssql.demo.walla.co.il,"10.30.12.94, 10.30.10.226, 10.30.11.26","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.12.94, 10.30.10.226, 10.30.11.26",,
[x],plus.walla.co.il,"52.222.214.117, 52.222.214.84, 52.222.214.71, 52.222.214.2","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
[x],private.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],tech.demo.walla.co.il,"10.30.11.26, 10.30.12.94, 10.30.10.226","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.11.26, 10.30.12.94, 10.30.10.226",,
[x],vod-origin.walla.co.il,"34.248.173.221, 63.34.181.76, 54.72.113.181","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],wp.demo.walla.co.il,"10.30.11.26, 10.30.12.94, 10.30.10.226","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.30.11.26, 10.30.12.94, 10.30.10.226",,
,1-edge-chat.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,103.walla.co.il,"18.66.112.49, 18.66.112.59, 18.66.112.8, 18.66.112.43","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,155-9-210-81.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,70israel.walla.co.il,"65.9.55.72, 65.9.55.85, 65.9.55.57, 65.9.55.8","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,a.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,"google-site-verification=lfn3xxrwzpvqwmco374pcqweanqtat, v=spf1 a mx include:spfa.walla.co.il include:spfb.walla.co.il include:spfc.walla.co.il include:spfd.walla.co.il include:mymarketing.co.il include:activetrail.com ~all",,,,,,
,ab.walla.co.il,"108.138.217.21, 108.138.217.20, 108.138.217.106, 108.138.217.32","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,"ns-104.awsdns-13.com, ns-1086.awsdns-07.org, ns-1595.awsdns-07.co.uk, ns-992.awsdns-60.net",
,actimelgood.walla.co.il,"13.224.189.65, 13.224.189.105, 13.224.189.16, 13.224.189.119","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,adamtopmodel.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,admin.forums.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,"google-site-verification=lfn3xxrwzpvqwmco374pcqweanqtat, v=spf1 a mx include:spfa.walla.co.il include:spfb.walla.co.il include:spfc.walla.co.il include:spfd.walla.co.il include:mymarketing.co.il include:activetrail.com ~all",,,,,,
,admin.walla.co.il,"18.160.10.124, 18.160.10.62, 18.160.10.33, 18.160.10.109, 205.251.192.73, 205.251.195.241, 205.251.197.114, 205.251.199.99","ns-1394.awsdns-46.org, awsdns-hostmaster.amazon.com",NOERROR,d4s21cbyddbv2.cloudfront.net,,,True,cloudfront,,,"ns-1394.awsdns-46.org, ns-1891.awsdns-44.co.uk, ns-73.awsdns-09.com, ns-1009.awsdns-62.net","2600:9000:250a:4c00:e:7288:9380:93a1, 2600:9000:250a:9400:e:7288:9380:93a1, 2600:9000:250a:b800:e:7288:9380:93a1, 2600:9000:250a:1800:e:7288:9380:93a1, 2600:9000:250a:6a00:e:7288:9380:93a1, 2600:9000:250a:1a00:e:7288:9380:93a1, 2600:9000:250a:a200:e:7288:9380:93a1, 2600:9000:250a:c600:e:7288:9380:93a1"
,admin2.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,"google-site-verification=lfn3xxrwzpvqwmco374pcqweanqtat, v=spf1 a mx include:spfa.walla.co.il include:spfb.walla.co.il include:spfc.walla.co.il include:spfd.walla.co.il include:mymarketing.co.il include:activetrail.com ~all",,,,,,
,adminv2.walla.co.il,"13.227.219.82, 13.227.219.20, 13.227.219.118, 13.227.219.4","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,afrikanna.walla.co.il,"108.138.217.20, 108.138.217.106, 108.138.217.21, 108.138.217.32","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,altwoman.walla.co.il,"65.9.55.85, 65.9.55.72, 65.9.55.21, 65.9.55.56","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,animals.walla.co.il,"52.222.214.2, 52.222.214.71, 52.222.214.84, 52.222.214.117","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,api-friends.walla.co.il,,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,friends-api-lb-71226840.eu-west-1.elb.amazonaws.com,,,,,,,,
,api.mazaltov.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,api.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,api2-mail.walla.co.il,"108.138.17.69, 108.138.17.94, 108.138.17.122, 108.138.17.21","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,
,app.mazaltov.walla.co.il,213.8.166.57,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,mazaltov.walla.co.il,"alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, m6iak2a5ig7bsc7xagj7xvlhyzbmnpqrqyav5zqmy7d5k5ykkdoq.mx-verification.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com",,,,,,,
,app84.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,apps.walla.co.il,"18.154.227.47, 18.154.227.96, 18.154.227.40, 18.154.227.50","ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,google-site-verification=P4AUcmyRJcv_GdjAEy3aux5hlb6n4lHqFhvkHhg-a6Q,True,cloudfront,,,,
,arcdb.walla.co.il,,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,"google-site-verification=lfn3xxrwzpvqwmco374pcqweanqtat, v=spf1 a mx include:spfa.walla.co.il include:spfb.walla.co.il include:spfc.walla.co.il include:spfd.walla.co.il include:mymarketing.co.il include:activetrail.com ~all",,,,,,
,assets2.school.walla.co.il,80.178.173.126,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
