new,host,soa,status_code,a,txt,aaaa,cname,cdn,cdn-name,ns,has_internal_ips,internal_ips
[x],account.metafi.codefi.network,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.4.111, 104.18.5.111",,"2606:4700::6812:56f, 2606:4700::6812:46f",,True,cloudflare,,,
[x],account.metaswap.codefi.network,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229",,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,True,cloudflare,,,
[x],act-384.activate.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],activate-api.codefi.network,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,d3dc9e6du50b1x.cloudfront.net,,,,,
[x],activate-dev.codefi.network,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.22.13.141, 172.67.4.26, 104.22.12.141",,"2606:4700:10::6816:d8d, 2606:4700:10::6816:c8d, 2606:4700:10::ac43:41a",activate-dev.codefi.network.cdn.cloudflare.net,True,cloudflare,,,
[x],activate.codefi.network,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"172.67.4.26, 104.22.13.141, 104.22.12.141",,"2606:4700:10::6816:d8d, 2606:4700:10::ac43:41a, 2606:4700:10::6816:c8d",activate.codefi.network.cdn.cloudflare.net,True,cloudflare,,,
[x],addressbook.doc-mgmt-api-1-4-4-ephemeral-test-1.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.138.93, 15.236.195.246, 15.236.198.50","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/doc-mgmt-api-1-4-4-ephemeral-test/doc-mgmt-api-1-addressbook",,,,,,,
[x],addressbook.doc-mgmt-api-1-4-4-ephemeral-test-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],addressbook.doc-mgmt-api-144-ephemeral-test-1.codefi.network,,NOERROR,"15.236.198.50, 15.236.195.246, 15.236.138.93",,,,,,,,
[x],addressbook.doc-mgmt-api-144-ephemeral-test-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.198.50, 15.236.195.246, 15.236.138.93","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/doc-mgmt-api-144-ephemeral-test/doc-mgmt-api-2-addressbook",,,,,,,
[x],addressbook.doc-mgmt-api-1964-skaffold-1.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/doc-mgmt-api-1964-skaffold/doc-mgmt-api-1-addressbook",,,,,,,
[x],addressbook.doc-mgmt-api-1964-skaffold-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],addressbook.doc-mgmt-api-2162-sas-expiry-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.198.50, 15.236.195.246, 15.236.138.93","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/doc-mgmt-api-2162-sas-expiry/doc-mgmt-api-2-addressbook",,,,,,,
[x],addressbook.doc-mgmt-api-ca-1622-kafka-1.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/doc-mgmt-api-ca-1622-kafka/doc-mgmt-api-1-addressbook",,,,,"ns-1178.awsdns-19.org, ns-1678.awsdns-17.co.uk, ns-353.awsdns-44.com, ns-702.awsdns-23.net",,
[x],addressbook.doc-mgmt-api-ca-1622-kafka-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],addressbook.doc-mgmt-api-ca-2180-incoming-id-1.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.195.246, 15.236.138.93, 15.236.198.50","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/doc-mgmt-api-ca-2180-incoming-id/doc-mgmt-api-1-addressbook",,,,,,,
[x],addressbook.doc-mgmt-api-ca-2180-incoming-id-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.198.50, 15.236.195.246, 15.236.138.93",,,,,,,,
[x],addressbook.doc-mgmt-api-ca-2182-download-1.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.198.50, 15.236.138.93, 15.236.195.246",,,,,,,,
[x],addressbook.doc-mgmt-api-ca-2182-download-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.138.93, 15.236.195.246, 15.236.198.50",,,,,,,,
[x],addressbook.doc-mgmt-api-credentials-seed-1.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.138.93, 15.236.198.50, 15.236.195.246",,,,,,,,
[x],addressbook.doc-mgmt-api-credentials-seed-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.195.246, 15.236.198.50, 15.236.138.93",,,,,,,,
[x],addressbook.doc-mgmt-api-test-e2e-mr-1.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.195.246, 15.236.198.50, 15.236.138.93",,,,,,,,
[x],addressbook.doc-mgmt-api-test-e2e-mr-2.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,"15.236.195.246, 15.236.198.50, 15.236.138.93","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/doc-mgmt-api-test-e2e-mr/doc-mgmt-api-2-addressbook",,,,,,,
[x],addressbook.messaging-1964-skaffold-1.codefi.network,"ns-353.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
