input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,tls_subject_org_,final_url,cdn_name,cdn,tls_self_signed
websocket-api.codefi.network,,404,63,websocket-api.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=webhook-api.codefi.network,webhook-api.codefi.network,websocket-api.codefi.network,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6607bc39246171829cec1cc7da26bdbf,1e0c557cb6a0289d7d8552f22465abb84c662a058d99c55901eda4df6f1dde9e,,ctls,websocket-api.codefi.network,80,http://websocket-api.codefi.network:80,http,,application/json,GET,13.39.191.204,/,-1793755213,52.47.145.204,1,False,Node.js,,,https://websocket-api.codefi.network:443/,,,
www.defibridge-dev.codefi.network,401 Authorization Required,401,582,defibridge-dev.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-15T04:08:41Z,2023-06-13T04:08:40Z,CN=www.defibridge-dev.codefi.network,www.defibridge-dev.codefi.network,www.defibridge-dev.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,443cb654cab2ec6c72245965b8e78566,c24e61b88fc42c1d086c7c1f88a5221279734c698e28311a70e42132e576ff96,,ctls,defibridge-dev.codefi.network,80,http://www.defibridge-dev.codefi.network:80,http,nginx/1.17.10,text/html,GET,13.36.142.62,/,-388061307,13.37.172.42,14,False,Nginx:1.17.10,,,https://defibridge-dev.codefi.network/,,,
www.defibridge-pl-1056.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.defibridge-pl-1056.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,,,,,
www.defibridge-pl-1100.codefi.network,,404,21,www.defibridge-pl-1100.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.defibridge-pl-1100.codefi.network,443,https://www.defibridge-pl-1100.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.defibridge-pl-363.codefi.network,,404,21,www.defibridge-pl-363.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.defibridge-pl-363.codefi.network,443,https://www.defibridge-pl-363.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.defibridge-pl-375.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.defibridge-pl-375.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.36.142.62,/,-1669793162,13.37.172.42,1,False,Nginx:1.17.10,,,,,,
www.defibridge-pl-377.codefi.network,,404,21,www.defibridge-pl-377.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.defibridge-pl-377.codefi.network,443,https://www.defibridge-pl-377.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.36.142.62,/,-1669793162,13.37.17.240,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.defibridge-pl-381.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.defibridge-pl-381.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,,,,,
www.defibridge-pl-558.codefi.network,,404,21,www.defibridge-pl-558.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.defibridge-pl-558.codefi.network,443,https://www.defibridge-pl-558.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.37.17.240,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.defibridge-pl-830.codefi.network,Defi Bridge,200,3632,defibridge-pl-830.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-04-05T07:15:20Z,2023-07-04T07:15:19Z,CN=defibridge-pl-830.codefi.network,defibridge-pl-830.codefi.network,www.defibridge-pl-830.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26db11626174efb2ddd674ce88295ebb,59b3b021adc4fc60232247e094d30d9151b43f8f85140f3d870d28d977bc9449,,ctls,defibridge-pl-830.codefi.network,80,http://www.defibridge-pl-830.codefi.network:80,http,nginx/1.17.10,text/html,GET,13.37.172.42,/,883937076,13.37.17.240,1,False,Nginx:1.17.10,outlook.live.com,,https://defibridge-pl-830.codefi.network/,,,
www.defibridge-pl-904.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.defibridge-pl-904.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.36.142.62,/,-1669793162,13.37.17.240,1,False,Nginx:1.17.10,,,,,,
www.defibridge-pl-944.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.defibridge-pl-944.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.37.17.240,1,False,Nginx:1.17.10,,,,,,
www.defibridge-pl-947.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.defibridge-pl-947.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,,,,,
www.storage-dev.codefi.network,401 Authorization Required,401,180,storage-dev.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-15T04:08:41Z,2023-06-13T04:08:40Z,CN=www.storage-dev.codefi.network,www.storage-dev.codefi.network,www.storage-dev.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1b501c2e9c155afdc7a740c896f27b41,d8fe2f6c53d9b0be3b6eea645da059439a0769bb90d08ea4f12aea02336888c6,,ctls,storage-dev.codefi.network,80,http://www.storage-dev.codefi.network:80,http,nginx/1.17.10,text/html,GET,13.37.172.42,/,-1910267375,13.37.17.240,8,False,Nginx:1.17.10,,,https://storage-dev.codefi.network/,,,
www.storage-pl-000.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.storage-pl-000.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.37.17.240,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,,,,,
www.storage-pl-1001.codefi.network,,404,21,www.storage-pl-1001.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.storage-pl-1001.codefi.network,443,https://www.storage-pl-1001.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.37.17.240,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.storage-pl-1035.codefi.network,401 Authorization Required,401,180,storage-pl-1035.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-04-30T03:27:41Z,2023-07-29T03:27:40Z,CN=www.storage-pl-1035.codefi.network,www.storage-pl-1035.codefi.network,www.storage-pl-1035.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,003ea47a6678c3075ecd8f411278adb8,ff3d60aef4901ccf9b1b0e14c7689e94181260f182c543b427b225a6ca091311,,ctls,storage-pl-1035.codefi.network,80,http://www.storage-pl-1035.codefi.network:80,http,nginx/1.17.10,text/html,GET,13.37.17.240,/,-1910267375,13.37.172.42,8,False,Nginx:1.17.10,,,https://storage-pl-1035.codefi.network/,,,
www.storage-pl-1038.codefi.network,,404,21,www.storage-pl-1038.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.storage-pl-1038.codefi.network,443,https://www.storage-pl-1038.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.37.17.240,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.storage-pl-1046.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.storage-pl-1046.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.36.142.62,/,-1669793162,13.37.172.42,1,False,Nginx:1.17.10,,,,,,
www.storage-pl-1048.codefi.network,,404,21,www.storage-pl-1048.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.storage-pl-1048.codefi.network,443,https://www.storage-pl-1048.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.36.142.62,/,-1669793162,13.37.17.240,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.storage-pl-123.codefi.network,,404,21,www.storage-pl-123.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.storage-pl-123.codefi.network,443,https://www.storage-pl-123.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.37.172.42,/,-1669793162,13.36.142.62,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.storage-pl-351.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.storage-pl-351.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.36.142.62,/,-1669793162,13.37.17.240,1,False,Nginx:1.17.10,,,,,,
www.storage-pl-377.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.storage-pl-377.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.36.142.62,/,-1669793162,13.37.17.240,1,False,Nginx:1.17.10,,,,,,
www.storage-pl-392.codefi.network,401 Authorization Required,401,582,storage-pl-392.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-29T13:59:11Z,2023-06-27T13:59:10Z,CN=storage-pl-392.codefi.network,storage-pl-392.codefi.network,www.storage-pl-392.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,524f875c44d14d23b2c32d431ec49c0c,e90e5b80a77f7b1934c970c16f8348150f917caa7ac396a85d5a434df744a421,,ctls,storage-pl-392.codefi.network,80,http://www.storage-pl-392.codefi.network:80,http,nginx/1.17.10,text/html,GET,13.37.172.42,/,-388061307,13.36.142.62,14,False,Nginx:1.17.10,,,https://storage-pl-392.codefi.network/,,,
www.storage-pl-944.codefi.network,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://www.storage-pl-944.codefi.network:80,http,nginx/1.17.10,text/plain,GET,13.37.17.240,/,-1669793162,13.37.172.42,1,False,Nginx:1.17.10,,,,,,
www.storage-pl-945.codefi.network,,404,21,www.storage-pl-945.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-04-30T21:52:26Z,2024-04-29T21:52:26Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,979fb8dfccfcca97908bb540277e0af5,8ecf2759d9ee01f49cf8b712dfbdf7bdecd345273f0d2632c0fbf297550b01f8,,ctls,www.storage-pl-945.codefi.network,443,https://www.storage-pl-945.codefi.network:443,https,nginx/1.17.10,text/plain,GET,13.37.17.240,/,-1669793162,13.37.172.42,1,False,Nginx:1.17.10,,Acme Co,,,,True
www.storage.codefi.network,Attention Required! | Cloudflare,403,4518,www.storage.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-09-24T00:00:00Z,2023-09-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",bbcd06f8ac750ad6445a489520c46309,60d486406b19964eb4c7bcdc326b5fddfa107fe235d9a94a753eaa27828a9b5f,,ctls,www.storage.codefi.network,443,https://www.storage.codefi.network:443,https,cloudflare,text/html,GET,172.67.4.26,/,-1174546182,2606:4700:10::6816:d8d,94,False,Cloudflare,,"Cloudflare, Inc.",,cloudflare,True,
