input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,tls_mismatched,tls_expired
117.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131975,117.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,117.standvirtual.com,cloudfront,443,https://117.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.7,/,-1009942231,https://117.standvirtual.com/inventory,18.66.97.92,React,29,False,True,,,,
119scatech.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,185744,119scatech.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,119scatech.standvirtual.com,cloudfront,443,https://119scatech.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.92,/,-1283880972,https://119scatech.standvirtual.com/inventory,18.66.97.110,React,29,False,True,,,,
1512328.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131979,1512328.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,1512328.standvirtual.com,cloudfront,443,https://1512328.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.110,/,-1932211343,https://1512328.standvirtual.com/inventory,18.66.97.62,React,29,False,True,,,,
155-9-207-99.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,185747,155-9-207-99.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,155-9-207-99.standvirtual.com,cloudfront,443,https://155-9-207-99.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.92,/,-2114020195,https://155-9-207-99.standvirtual.com/inventory,18.66.97.7,React,29,False,True,,,,
155-9-208-47.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,185747,155-9-208-47.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,155-9-208-47.standvirtual.com,cloudfront,443,https://155-9-208-47.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.92,/,88059390,https://155-9-208-47.standvirtual.com/inventory,18.66.97.110,React,29,False,True,,,,
155-9-209-5.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131982,155-9-209-5.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,155-9-209-5.standvirtual.com,cloudfront,443,https://155-9-209-5.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.110,/,2058349189,https://155-9-209-5.standvirtual.com/inventory,18.66.97.7,React,29,False,True,,,,
155-9-243-78.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131984,155-9-243-78.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,155-9-243-78.standvirtual.com,cloudfront,443,https://155-9-243-78.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.92,/,1433062819,https://155-9-243-78.standvirtual.com/inventory,18.66.97.110,React,29,False,True,,,,
1612332.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131978,1612332.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,1612332.standvirtual.com,cloudfront,443,https://1612332.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.7,/,654857990,https://1612332.standvirtual.com/inventory,18.66.97.110,React,29,False,True,,,,
17-121-112-247.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,185749,17-121-112-247.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,17-121-112-247.standvirtual.com,cloudfront,443,https://17-121-112-247.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.110,/,2033936422,https://17-121-112-247.standvirtual.com/inventory,18.66.97.7,React,29,False,True,,,,
17-121-113-106.standvirtual.com,Comprar e vender carros usados | Standvirtual,200,131986,17-121-113-106.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-30T23:59:59Z,CN=*.standvirtual.com,*.standvirtual.com,standvirtual.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80ed859a6f96e63f8ebd52f3d9cd805d,1823c1a46226745f83110cada9ca40719fe762dd0ef5f95b828e29a210b6ed14,True,ctls,17-121-113-106.standvirtual.com,cloudfront,443,https://17-121-113-106.standvirtual.com:443,https,openresty/1.21.4.1,text/html,GET,18.66.97.7,/,685482164,https://17-121-113-106.standvirtual.com/inventory,18.66.97.110,React,29,False,True,,,,
