input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,tech_,cdn_name,cdn,csp_domains_,final_url,tls_self_signed,tls_mismatched,tls_subject_org_
debashreedutta.stores.instamojo.com,Debashree Dutta,200,237913,debashreedutta.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,debashreedutta.myinstamojo.com,443,https://debashreedutta.stores.instamojo.com:443,https,text/html,GET,13.234.141.177,/,-269232423,65.2.88.241,39,False,nginx,React,,,*.instamojo.com,https://debashreedutta.myinstamojo.com/,,,
design.mjc.instamojo.com,Storybook,200,1251,,,,,,,,,,,,,,,,,,,80,http://design.mjc.instamojo.com:80,http,text/html,GET,52.219.62.18,/,1574384512,52.219.62.18,31,False,AmazonS3,Amazon Web Services,,,,,,,
devdevalaya.stores.instamojo.com,देव देवालय सेवा संसथान जन कल्याण चैरिटेबल ट्रस्ट,200,224254,devdevalaya.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,devdevalaya.myinstamojo.com,443,https://devdevalaya.stores.instamojo.com:443,https,text/html,GET,13.234.141.177,/,-269232423,65.2.88.241,39,False,nginx,React,,,*.instamojo.com,https://devdevalaya.myinstamojo.com/,,,
developers.instamojo.com,Mojo Developers Program,200,37321,developers.instamojo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-29T23:59:59Z,CN=*.instamojo.com,*.instamojo.com,instamojo.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,09cf20cb6576b429c3f0fa2e3555bd36,8dcbcbef93bf1f4eb6a1c6a68aeaedf1a9570441831cc2ff03854411db5b117f,True,ctls,developers.instamojo.com,443,https://developers.instamojo.com:443,https,text/html,GET,104.20.94.103,/,,2606:4700:10::6814:5d67,696,False,cloudflare,ZURB Foundation,cloudflare,True,,,,,
ebooksstoree.stores.instamojo.com,Ebooks Store,200,226235,ebooksstoree.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,ebooksstoree.myinstamojo.com,80,http://ebooksstoree.stores.instamojo.com:80,http,text/html,GET,13.234.141.177,/,-269232423,65.2.88.241,39,False,nginx,React,,,*.instamojo.com,https://ebooksstoree.myinstamojo.com/,,,
editorijtrd.stores.instamojo.com,editorijtrd,200,207439,editorijtrd.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,editorijtrd.myinstamojo.com,80,http://editorijtrd.stores.instamojo.com:80,http,text/html,GET,13.234.141.177,/,-269232423,65.2.88.241,54,False,nginx,React,,,*.instamojo.com,https://editorijtrd.myinstamojo.com/,,,
edu.instamojo.com,Origin DNS error | edu.instamojo.com | Cloudflare,530,6204,edu.instamojo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-29T23:59:59Z,CN=*.instamojo.com,*.instamojo.com,instamojo.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,09cf20cb6576b429c3f0fa2e3555bd36,8dcbcbef93bf1f4eb6a1c6a68aeaedf1a9570441831cc2ff03854411db5b117f,True,ctls,edu.instamojo.com,443,https://edu.instamojo.com:443,https,text/html,GET,104.18.26.189,/,118067351,2606:4700::6812:1abd,93,False,cloudflare,Cloudflare,cloudflare,True,,,,,
edukronline.stores.instamojo.com,Edukr Online,200,228841,edukronline.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,edukronline.myinstamojo.com,80,http://edukronline.stores.instamojo.com:80,http,text/html,GET,13.234.141.177,/,-269232423,65.2.88.241,39,False,nginx,React,,,*.instamojo.com,https://edukronline.myinstamojo.com/,,,
efundu1.stores.instamojo.com,Efundu,200,213700,efundu1.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,efundu1.myinstamojo.com,80,http://efundu1.stores.instamojo.com:80,http,text/html,GET,65.2.88.241,/,-269232423,13.234.141.177,54,False,nginx,React,,,*.instamojo.com,https://efundu1.myinstamojo.com/,,,
ega.stores.instamojo.com,ega,200,205688,ega.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,ega.myinstamojo.com,80,http://ega.stores.instamojo.com:80,http,text/html,GET,65.2.88.241,/,-269232423,13.234.141.177,54,False,nginx,React,,,*.instamojo.com,https://ega.myinstamojo.com/,,,
