new,host,a,soa,status_code,ns,aaaa,cname,caa,cdn,cdn-name,txt,mx,ptr
[x],24x7.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],2flatbrush1.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],7747980234.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aadoodles07.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],abhishekanand592.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],achieversrule.stores.instamojo.com,,"ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],admin.instamojo.com,"13.126.76.31, 52.66.161.44","ns-1526.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aero360.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],affairscloud.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1333.awsdns-38.org, ns-1911.awsdns-46.co.uk, ns-337.awsdns-42.com, ns-794.awsdns-35.net",,,,,,,,
[x],ajeet13.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ajitdigitalhub.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ajoybasu59.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],altyod.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],amit-kt156.stores.mjc0.instamojo.com,"65.0.200.65, 52.66.105.124","ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],amulyapustaka.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],analyseindia.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],anentrepreneurlive.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ankitbatra94.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],apidocs.instamojo.com,"52.66.161.44, 13.126.76.31","ns-1526.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],architecturelive.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arshmaanonline.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1333.awsdns-38.org, ns-1911.awsdns-46.co.uk, ns-337.awsdns-42.com, ns-794.awsdns-35.net",,,,,,,,
[x],artbyrachna.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],artriva.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],artworkshops1.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],arunatakawale.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],askdishaa.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],askislampedia.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aspirantworld.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],assamstudycentre.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],avi2017.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ayateshifa.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],banglaguide.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],beamsha.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bedguide1.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bedguide98.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],behempindia.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],behtarlife.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bemoneyaware.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],benning-150-226-172-21.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bhadraiasacademy88.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bhasaa.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bikes4sale.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],biobritte2018.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],blackboxokhla.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1333.awsdns-38.org, ns-1911.awsdns-46.co.uk, ns-337.awsdns-42.com, ns-794.awsdns-35.net",,,,,,,,
[x],blog.instamojo.com,"13.126.76.31, 52.66.161.44","ns-1526.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],bloggerwala7.stores.instamojo.com,"13.234.141.177, 65.2.88.241","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],blueberryhome.stores.instamojo.com,"65.2.88.241, 13.234.141.177","ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
