new,host,a,aaaa,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,cname,ns,txt,mx,caa
[x],_spf1.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],advantagelearning.ivanti.com,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","brett.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"ivanti.thoughtindustries.com, www.thoughtindustriesproxy.com",,,,
[x],afeenroll.ivanti.com,13.92.62.233,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,azure,,,,,,,
[x],am.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],androidenterprisemanagement-staging.ivanti.com,"34.206.159.137, 3.220.14.55",,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,gemmenterprisecreator-staging-1487923537.us-east-1.elb.amazonaws.com,,,,
[x],anglo.csa.ivanti.com,52.62.208.53,,"ns-528.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],apns-request-signing.ivanti.com,"13.32.99.49, 13.32.99.9, 13.32.99.20, 13.32.99.16",,"ns-108.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,d1wso3znjwbgj6.cloudfront.net,"ns-108.awsdns-13.com, ns-1216.awsdns-24.org, ns-1657.awsdns-15.co.uk, ns-888.awsdns-47.net",,,
[x],app-insider.ivanti.com,"13.32.99.35, 13.32.99.25, 13.32.99.5, 13.32.99.109","2600:9000:2251:7c00:1d:871e:bec0:93a1, 2600:9000:2251:9c00:1d:871e:bec0:93a1, 2600:9000:2251:ac00:1d:871e:bec0:93a1, 2600:9000:2251:a00:1d:871e:bec0:93a1, 2600:9000:2251:8c00:1d:871e:bec0:93a1, 2600:9000:2251:4800:1d:871e:bec0:93a1, 2600:9000:2251:2400:1d:871e:bec0:93a1, 2600:9000:2251:b000:1d:871e:bec0:93a1","ns-1547.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"insider.ivanti.com.cdn.jiveon.com, vanity-us1-cf.jiveon.com, d8kctal5ybcor.cloudfront.net","ns-1298.awsdns-34.org, ns-582.awsdns-08.net, ns-1547.awsdns-01.co.uk, ns-222.awsdns-27.com",,,
[x],app-theinsider.ivanti.com,,,"cruz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],app.info.ivanti.com,140.86.220.9,,"ns1.p201.dns.oraclecloud.net, hostmaster.t.en25.com",NOERROR,True,oracle,,,"s1800677.t.en25.com, p03k.t.en25.com",,,,
[x],application.ivanti.com,"18.160.41.81, 18.160.41.49, 18.160.41.21, 18.160.41.118, 205.251.193.128, 205.251.194.111, 205.251.196.206, 205.251.198.146","2600:9000:24f2:ce00:1c:a9b7:d840:93a1, 2600:9000:24f2:1200:1c:a9b7:d840:93a1, 2600:9000:24f2:9400:1c:a9b7:d840:93a1, 2600:9000:24f2:4e00:1c:a9b7:d840:93a1, 2600:9000:24f2:a000:1c:a9b7:d840:93a1, 2600:9000:24f2:c800:1c:a9b7:d840:93a1, 2600:9000:24f2:aa00:1c:a9b7:d840:93a1, 2600:9000:24f2:fa00:1c:a9b7:d840:93a1","ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,d39unyxgrrk5ep.cloudfront.net,"ns-1682.awsdns-18.co.uk, ns-623.awsdns-13.net, ns-384.awsdns-48.com, ns-1230.awsdns-25.org",,,
