new,host,a,aaaa,cname,soa,txt,status_code,cdn,cdn-name
[x],rgs.test.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
[x],www1.cbs.nl,185.104.29.106,2a06:2ec0:1::135,isi.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,adc.cbs.nl,87.213.43.213,,,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,adc2.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,adc3.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,adc6.cbs.nl,87.213.43.235,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,afasmail.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,antwoord.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,beo.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,beta.cbs.nl,185.104.29.106,,isi.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,blaisesupport.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,capi.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,carrier.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,claircitydata.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,classificaties.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,cn.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,content1.cbs.nl,87.213.43.215,,adc7.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,contentadapter.cbs.nl,51.144.98.86,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,True,azure
,datasets.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,dev.cerberus.cbs.nl,,,cbs-cerberus-dev.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,
,dossierportal.cbs.nl,51.144.98.86,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,True,azure
,ebms.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,egain-com.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,geodata.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,helpmee.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,highcharts-acc.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,True,azure
,isi.cbs.nl,185.104.29.106,2a06:2ec0:1::135,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,iv3-controle-api.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,iv3-controle.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,iv3statline.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,jeugdstatline.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,livecharts.cbs.nl,,2a01:7e00::f03c:91ff:fee2:c9f5,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,mail.dev.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,mailrelayh3.cbs.nl,87.213.43.216,2001:67c:14b0:180d::15,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,micollab.cbs.nl,87.213.43.206,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,mkbstatline.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,mlzstatline.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,mvstat.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,odata.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,odata4.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,onderhoud.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,overzicht.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,proxy.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,qbes.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,redactie-acc.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,True,azure
,rgs.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,sbi.acceptatie.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,seg.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,ssh.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,statline.cbs.nl,,2001:67c:14b0:1816::243,adc3.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,surveys.cbs.nl,,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,test-ccb.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,True,azure
,test.ebms.cbs.nl,87.213.43.238,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,tunnel.cbs.nl,87.213.43.215,,adc7.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,uag.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,veiligleveren.cbs.nl,,,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,webext.cbs.nl,87.213.43.243,2001:67c:14b0:1816::243,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,werkpleksso.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,www.ihg.cbs.nl,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"dnsa4.cbs.nl, postmaster.cbs.nl",v=spf1 mx -all,NOERROR,,
,www.jeugdmonitor.cbs.nl,78.31.115.174,2001:7b8:634:4600::174,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
,zombie.cbs.nl,,,,"dnsa4.cbs.nl, postmaster.cbs.nl",,NOERROR,,
