input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,tech_,tls_mismatched,tls_wildcard_certificate,final_url,csp_domains_,cdn_name,cdn
*.politie.nl,Home | politie.nl,200,36558,www.politie.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T09:42:21Z,2023-08-09T09:52:00Z,"CN=www.politie.nl, O=politie, organizationIdentifier=NTRNL-57096317, L='s-Gravenhage, ST=Zuid-Holland, C=NL, serialNumber=57096317, businessCategory=Government Entity, jurisdictionCountry=NL, organizationIdentifier=NTRNL-57096317, businessCategory=Government Entity, jurisdictionCountry=NL",www.politie.nl,politie,aangifte.politie.nl,"CN=QuoVadis Qualified Web ICA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Qualified Web ICA G2,QuoVadis Trustlink B.V.,09d7d050ef8180b7995566e185a91af6,756abd5e489122fe1bb507f4284f9d524b23aeba08447b34c95f737d46c5b792,ctls,www.politie.nl,443,https://politie.nl:443,https,text/html,GET,62.112.247.206,/,-1208894914,2a00:1558:b033:4000::1:0,869,False,,HSTS,,,https://www.politie.nl/,www.youtube.com/iframe_api,,
adc3.cbs.nl,,503,62,adc3.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-05T08:42:17Z,2024-01-05T08:37:00Z,"CN=*.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.cbs.nl,Centraal Bureau voor de Statistiek,cbs.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,465a197366fbc312787b0b844e8a100f,17a54fb4403f3b1c90c9e3d6c4fd90fbfbb0ae3b22faea635ceebd03bfbadb2c,ctls,adc3.cbs.nl,443,https://adc3.cbs.nl:443,https,,GET,87.213.43.243,/,107704025,2001:67c:14b0:1816::243,1,False,,,,True,,,,
antwoord.cbs.nl,Centraal Bureau voor de Statistiek,200,10902,antwoord.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-05T10:56:39Z,2024-01-05T10:51:00Z,"CN=antwoord.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",antwoord.cbs.nl,Centraal Bureau voor de Statistiek,antwoord.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,ffa64f4bfa565f91f9fa20ee7b187cdc,06dcaf46b5c9ce12aded0f34c669c3241806e53da1d068816616e99889e49ca5,ctls,antwoord.cbs.nl,80,http://antwoord.cbs.nl:80,http,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,186,False,,HSTS,,,https://antwoord.cbs.nl/,,,
beta.cbs.nl,,200,44,beta.cbs.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-10T23:59:59Z,CN=*.zxcs.nl,*.zxcs.nl,,zxcs.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,68222378f81dc5852fdbeda10697ac26,85cc23d59d3a1ad5b19bf0e06d4284dd294f564fb8a238854d15f2cecf352318,ctls,beta.cbs.nl,443,https://beta.cbs.nl:443,https,text/html,GET,185.104.29.106,/,-1812417198,2a06:2ec0:1::135,2,False,Apache/2,Apache:2,True,True,,,,
blaisesupport.cbs.nl,Jira Service Management,200,200050,blaisecbs.atlassian.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-07T00:00:00Z,2023-12-07T23:59:59Z,"CN=*.atlassian.net, O=Atlassian\, Inc., L=San Francisco, ST=California, C=US",*.atlassian.net,"Atlassian, Inc.",atlassian.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf580a615a18a6386f0995fe7cff01e5,e5e8d632c0b86f5bd5ef9a0d55c58ba1fd7776f6bb7c35ca23d85d23281ce58f,ctls,blaisecbs.atlassian.net,80,http://blaisesupport.cbs.nl:80,http,application/octet-stream,GET,87.213.43.244,/,,2001:67c:14b0:1816::244,10,False,AtlassianEdge,HSTS,,True,https://blaisecbs.atlassian.net/servicedesk/customer/user/login?destination=portals,*.atlassian.net,,
classificaties.cbs.nl,CBS classificaties en begrippen,200,10180,classificaties.cbs.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-05T10:22:08Z,2024-01-05T10:17:00Z,"CN=taxonomie.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",taxonomie.cbs.nl,Centraal Bureau voor de Statistiek,taxonomie.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,78005f0b9e6430077d832e96cdf3ca0a,1086f0f3ee5382e6573e5722968b264a4c96aaa5e17c5a27e90ede4f9633b74f,ctls,classificaties.cbs.nl,443,https://classificaties.cbs.nl:443,https,text/html,GET,185.34.136.30,/,-496406714,185.34.136.30,177,False,Apache,Bootstrap,True,,https://classificaties.cbs.nl/nl/,,,
contentadapter.cbs.nl,401 Authorization Required,401,172,contentadapter.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-14T09:15:08Z,2023-07-13T09:15:07Z,CN=contentadapter.cbs.nl,contentadapter.cbs.nl,,contentadapter.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a9e80bff7f1b66679d5bbfa59eebd501,a0976462e40f4cf7504ab358f97b644bdb8acde613cf9ccf508c56a675a88986,ctls,contentadapter.cbs.nl,80,http://contentadapter.cbs.nl:80,http,text/html,GET,51.144.98.86,/,-1710455754,51.144.98.86,8,False,nginx,Nginx,,,https://contentadapter.cbs.nl/,,azure,True
dev.cerberus.cbs.nl,CerBeruS,200,2366,dev.cerberus.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-05T10:43:41Z,2024-01-05T10:38:00Z,"CN=dev.cerberus.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",dev.cerberus.cbs.nl,Centraal Bureau voor de Statistiek,dev.cerberus.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,f41234e197672355ab7baa451ba4a9d6,3543e6c51f2378a9742a316897975b3b0ac871c88b373b046a539ded4319b5d2,ctls,dev.cerberus.cbs.nl,443,https://dev.cerberus.cbs.nl:443,https,text/html,GET,20.71.35.184,/,-253321811,20.71.35.184,45,False,,,,,,,,
helpmee.cbs.nl,Centraal Bureau voor de Statistiek,200,10902,helpmee.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T07:39:51Z,2024-04-24T07:34:00Z,"CN=doemee.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",doemee.cbs.nl,Centraal Bureau voor de Statistiek,denkmee.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,77dbf55580118b0645118d3c3520737f,846fee09ab15aa9d1ea40ce54b21e7010e590751a471f71a315125680ddc10f1,ctls,helpmee.cbs.nl,443,https://helpmee.cbs.nl:443,https,text/html,GET,87.213.43.244,/,,2001:67c:14b0:1816::244,186,False,Microsoft-IIS/8.5,Windows Server,,,,,,
iv3statline.cbs.nl,CBS Statline,200,7842,iv3statline.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-05T10:33:29Z,2024-01-05T10:28:00Z,"CN=iv3statline.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",iv3statline.cbs.nl,Centraal Bureau voor de Statistiek,iv3statline.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,b970b674cdbf9479d8982ed89a32316c,f384b8baa217341334a415c933ea784ce239684cb04da9cf6bcd89215bb698bd,ctls,iv3statline.cbs.nl,443,https://iv3statline.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,100,False,Webserver,NVD3,,,,*.politie.nl,,
