new,host,a,soa,txt,status_code,aaaa,cname,ns,has_internal_ips,internal_ips,mx
[x],amocrm.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],and.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],android-b1.dev.jivosite.com,178.170.197.19,"ns1.edgedns.ru, support.edgecenter.ru",,NOERROR,,,,,,
[x],android2.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],androidsdk.dev.jivosite.com,46.243.143.132,"ns1.edgedns.ru, support.edgecenter.ru",,NOERROR,,,,,,
[x],ansible.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],ansigitl.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],api-eu1.jivosite.com,,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],api-unit-1.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],api-ya.jivosite.com,,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],api.editor.dev.jivosite.com,94.139.253.14,"ns1.edgedns.ru, support.edgecenter.ru",,NOERROR,,,,,,
[x],api.jivosite.com,78.41.109.90,"ns.ngenix.net, noc.ngenix.net, ns1.edgedns.ru, support.edgecenter.ru",,NOERROR,,"s43380.cdn.ngenix.net, api1.jivosite.com",,,,
[x],api1.jivosite.com,"57.128.74.66, 57.128.74.69, 57.128.74.67, 57.128.74.65","ns1.edgedns.ru, support.edgecenter.ru",,NOERROR,,,,,,
[x],apidep.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],apidep1.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],apidep2.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],apidep3.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],apidep5.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",,NOERROR,,,,,,
[x],apidep6.dev.jivosite.com,46.243.227.92,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],app.i2.dev.jivosite.com,178.170.196.207,"ns1.edgedns.ru, support.edgecenter.ru",,NOERROR,,,,,,
[x],app.jivosite.com,5.101.37.37,"ns1.edgecdn.world, support.edgecenter.world",,NOERROR,2a13:1ec0::1037,cl-5bf28185.edgecdn.world,"ns2.edgecdn.world, ns1.edgecdn.world",,,
[x],app2.jivosite.com,,"ns1.edgedns.ru, support.edgecenter.ru",v=spf1 -all,NOERROR,,,,,,
[x],app3.jivosite.com,5.101.37.37,"ns1.edgecdn.world, support.edgecenter.world",,NOERROR,2a13:1ec0::1037,cl-5bf28185.edgecdn.world,"ns2.edgecdn.world, ns1.edgecdn.world",,,
[x],app3.yk.dev.jivosite.com,37.230.195.241,"ns1.edgedns.ru, support.edgecenter.ru",,NOERROR,,,,,,
