input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,cdn_name,cdn
code3.jivosite.com,403 Forbidden,403,146,,code3.jivosite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T11:57:19Z,2023-06-04T10:59:38Z,CN=*.jivosite.com,*.jivosite.com,jivosite.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d85de3ebf48682402e112daeb3812fba,df6ca4ef8d2922f70ab1c2825a6f9b7c3e923333557e62264752b9bbc0059daa,True,ctls,code3.jivosite.com,443,https://code3.jivosite.com:443,https,nginx,text/html,GET,5.101.37.37,/,-56845221,2a13:1ec0::1037,Nginx,8,False,,,
email.jivosite.com,,404,,,email.jivosite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T11:57:19Z,2023-06-04T10:59:38Z,CN=*.jivosite.com,*.jivosite.com,jivosite.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d85de3ebf48682402e112daeb3812fba,df6ca4ef8d2922f70ab1c2825a6f9b7c3e923333557e62264752b9bbc0059daa,True,ctls,email.jivosite.com,80,http://email.jivosite.com:80,http,nginx,,GET,78.41.109.21,/,2115503941,78.41.109.21,Nginx,1,False,https://email.jivosite.com/,,
https://duda.co,Duda - The Professional Website Builder You Can Call Your Own,200,151100,,www.duda.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T11:40:19Z,2023-06-23T11:40:18Z,CN=duda.co,duda.co,dudaone.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,84e603ef3d61fff78ec0d403e5f55454,cf1f3f1209dce628e83a60c542c92058bcd87be5dabf640060deb366ce4cc6d8,True,ctls,www.duda.co,443,https://duda.co:443,https,nginx,text/html,GET,52.222.236.53,/,1247196835,52.222.236.26,ZURB Foundation,1610,False,https://www.duda.co/,cloudfront,True
https://editor-sandbox.duda.co,Login to your Duda account,200,49551,editor-sandbox.duda.co,editor-sandbox.duda.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T11:40:19Z,2023-06-23T11:40:18Z,CN=duda.co,duda.co,dudaone.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,84e603ef3d61fff78ec0d403e5f55454,cf1f3f1209dce628e83a60c542c92058bcd87be5dabf640060deb366ce4cc6d8,True,ctls,editor-sandbox.duda.co,443,https://editor-sandbox.duda.co:443,https,nginx,text/html,GET,54.243.193.134,/,729790055,54.81.54.54,Nginx,503,False,https://editor-sandbox.duda.co/login,,
https://oms.test.starfish24.com,Starfish24,200,14170,,oms.test.starfish24.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T05:57:22Z,2023-07-26T05:57:21Z,CN=oms.test.starfish24.com,oms.test.starfish24.com,oms.test.starfish24.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0e8b55eb3db58822207cffc7aa919027,d2d6c30415b5a5325c9c9cdfcd3ded7102b28c801c4ddfad6be4b810cad65591,,ctls,oms.test.starfish24.com,443,https://oms.test.starfish24.com:443,https,,text/html,GET,84.201.157.16,/,-2039228422,84.201.157.16,HSTS,91,False,,,
media-sber1.jivosite.com,,200,1532,,media-sber1.jivosite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T11:57:19Z,2023-06-04T10:59:38Z,CN=*.jivosite.com,*.jivosite.com,jivosite.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d85de3ebf48682402e112daeb3812fba,df6ca4ef8d2922f70ab1c2825a6f9b7c3e923333557e62264752b9bbc0059daa,True,ctls,media-sber1.jivosite.com,443,https://media-sber1.jivosite.com:443,https,nginx,text/plain,GET,57.128.74.67,/,-1840324437,57.128.74.69,Nginx,125,False,,,
media.dev.jivosite.com,,200,1444,,media.dev.jivosite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T14:13:34Z,2023-07-24T14:13:33Z,CN=media.dev.jivosite.com,media.dev.jivosite.com,media.dev.jivosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,413e6a95ac529a93268cd28650d2a045,67c72ad58d25b84d611715fb12b8f85b354908dd0b0e702d08364c8f626ca87e,True,ctls,media.dev.jivosite.com,443,https://media.dev.jivosite.com:443,https,media/2.6,text/plain,GET,45.9.27.31,/,-1840324437,45.9.27.31,,114,False,,,
node-sber1-az1-2.jivosite.com,Jivo API,200,720,,node-sber1-az1-2.jivosite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T11:57:19Z,2023-06-04T10:59:38Z,CN=*.jivosite.com,*.jivosite.com,jivosite.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d85de3ebf48682402e112daeb3812fba,df6ca4ef8d2922f70ab1c2825a6f9b7c3e923333557e62264752b9bbc0059daa,True,ctls,node-sber1-az1-2.jivosite.com,443,https://node-sber1-az1-2.jivosite.com:443,https,nginx,text/html,GET,57.128.74.67,/,-365454357,57.128.74.67,Nginx,33,False,,,
node-sber1-az2-2.jivosite.com,Jivo API,200,720,,node-sber1-az2-2.jivosite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T11:57:19Z,2023-06-04T10:59:38Z,CN=*.jivosite.com,*.jivosite.com,jivosite.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d85de3ebf48682402e112daeb3812fba,df6ca4ef8d2922f70ab1c2825a6f9b7c3e923333557e62264752b9bbc0059daa,True,ctls,node-sber1-az2-2.jivosite.com,443,https://node-sber1-az2-2.jivosite.com:443,https,nginx,text/html,GET,57.128.74.67,/,-365454357,57.128.74.67,Nginx,33,False,,,
node-sber1-az3-3.jivosite.com,Jivo API,200,720,,node-sber1-az3-3.jivosite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T11:57:19Z,2023-06-04T10:59:38Z,CN=*.jivosite.com,*.jivosite.com,jivosite.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d85de3ebf48682402e112daeb3812fba,df6ca4ef8d2922f70ab1c2825a6f9b7c3e923333557e62264752b9bbc0059daa,True,ctls,node-sber1-az3-3.jivosite.com,443,https://node-sber1-az3-3.jivosite.com:443,https,nginx,text/html,GET,57.128.74.69,/,-365454357,57.128.74.69,Nginx,33,False,,,
