input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,csp_domains_,cdn_name,cdn,tls_expired
157.booking.ouigo-prod.cloud.sqills.com,,404,14,AS16509,AS16509,Unknown,18.200.0.0/14,157.booking.ouigo-prod.cloud.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2023-11-25T23:59:59Z,CN=*.ouigo-prod.cloud.sqills.com,*.ouigo-prod.cloud.sqills.com,*.ouigo-prod.cloud.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2df58892101f7722df7d5a6347d834a0,91e2c551afd3f9d2f780ec30b199a7874e6c63435491edc4c875ffa8f34dbdd0,True,ctls,157.booking.ouigo-prod.cloud.sqills.com,443,https://157.booking.ouigo-prod.cloud.sqills.com:443,https,awselb/2.0,text/plain,GET,18.196.138.115,/,997500400,52.58.203.27,,1,False,,,,,
accept.prod.sqills.com,404 Not Found,404,548,AS20847,PREVIDER-AS,NL,84.241.158.0/24,,,,,,,,,,,,,,,,,,,,80,http://accept.prod.sqills.com:80,http,nginx,text/html,GET,84.241.158.135,/,566218143,84.241.158.135,Nginx,14,False,,,,,
admin.ouigo-acc.sqills.com,S3 Passenger back-office loading...,200,228,AS16509,AS16509,Unknown,3.64.0.0/12,admin.ouigo-acc.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-10T23:59:59Z,CN=*.ouigo-acc.cloud.sqills.com,*.ouigo-acc.cloud.sqills.com,*.ouigo-acc.cloud.sqills.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,002738095e40619d0c29c1b69a514c9b,60833d28fa1a571d11a26a2ec79937ba77b3fa1893050ab3bc69cdf07b68920b,True,ctls,admin.ouigo-acc.sqills.com,443,https://admin.ouigo-acc.sqills.com:443,https,nginx,text/html,GET,3.69.57.190,/,997500400,18.158.147.225,Nginx,10,False,,,,,
admin.sqills-integration-dev-test.cloud.sqills.com,S3 Passenger back-office loading...,200,228,AS16509,AS16509,Unknown,3.64.0.0/12,admin.sqills-integration-dev-test.cloud.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2023-07-14T23:59:59Z,CN=*.sqills-integration-dev-test.cloud.sqills.com,*.sqills-integration-dev-test.cloud.sqills.com,*.sqills-integration-dev-test.cloud.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,040f3141249818ee364ee96e538b70b6,8947050b8f3d8e83d550fe9ecdb7eae4b049997c22d6eb3687169b671c52ad0d,True,ctls,admin.sqills-integration-dev-test.cloud.sqills.com,443,https://admin.sqills-integration-dev-test.cloud.sqills.com:443,https,nginx,text/html,GET,3.64.141.11,/,997500400,18.193.207.143,Nginx,10,False,,,,,
alt-booking.ouigo-acc.sqills.com,,404,14,AS16509,AMAZON-02,US,18.160.192.0/24,,,,,,,,,,,,,,,,,,,,80,http://alt-booking.ouigo-acc.sqills.com:80,http,awselb/2.0,text/plain,GET,18.158.147.225,/,997500400,3.69.57.190,,1,False,,,,,
api.ouibus-prod.cloud.sqills.com,,404,14,AS16509,AS16509,Unknown,54.94.0.0/15,api.ouibus-prod.cloud.sqills.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-21T00:00:00Z,2024-05-19T23:59:59Z,CN=*.ouibus-prod.cloud.sqills.com,*.ouibus-prod.cloud.sqills.com,*.ouibus-prod.cloud.sqills.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5b3db529bb6c29f5cd1f751111b0afe8,150e058aa53ee498672cae781e55357bce28f808886c421a2a615d4cf812f66e,True,ctls,api.ouibus-prod.cloud.sqills.com,443,https://api.ouibus-prod.cloud.sqills.com:443,https,awselb/2.0,text/plain,GET,54.93.213.179,/,997500400,3.73.25.23,,1,False,,,,,
api.ouigo-acc.cloud.sqills.com,,404,14,AS16509,AS16509,Unknown,3.64.0.0/12,,,,,,,,,,,,,,,,,,,,80,http://api.ouigo-acc.cloud.sqills.com:80,http,awselb/2.0,text/plain,GET,3.69.57.190,/,997500400,18.158.147.225,,1,False,,,,,
api.ouigo-acc.sqills.com,,404,14,AS16509,AMAZON-02,US,18.160.192.0/24,,,,,,,,,,,,,,,,,,,,80,http://api.ouigo-acc.sqills.com:80,http,awselb/2.0,text/plain,GET,18.158.147.225,/,997500400,3.69.57.190,,1,False,,,,,
app.accept.sqills.com,404 Not Found,404,548,AS20847,PREVIDER-AS,NL,84.241.158.0/24,app.accept.sqills.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-29T00:00:00Z,2023-09-26T23:59:59Z,CN=*.accept.sqills.com,*.accept.sqills.com,accept.sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,24b575ce23cfad60d23d00565bbc902e,92b75b2bce5febc6b21996e8c5287347242194e2ac2f887eec21a65f4c1c31e2,True,ctls,app.accept.sqills.com,443,https://app.accept.sqills.com:443,https,nginx,text/html,GET,84.241.158.138,/,566218143,84.241.158.138,Nginx,14,False,,,,,
arriva-aap.mock.test.sqills.com,404 Not Found,404,146,AS20847,PREVIDER-AS,NL,84.241.158.0/24,arriva-aap.mock.test.sqills.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-01-12T00:00:00Z,2024-02-05T23:59:59Z,CN=*.test.sqills.com,*.test.sqills.com,test.sqills.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3375b0465f4cf1bfe0b54b5284458140,91b9df573b798d8fb5cd9cb23bcda79f7145fd841a62f430e6af0429c73804dd,True,ctls,arriva-aap.mock.test.sqills.com,443,https://arriva-aap.mock.test.sqills.com:443,https,nginx,text/html,GET,84.241.158.137,/,1494302000,84.241.158.137,Nginx,8,False,,,,,
