input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,final_url,webserver
academy.blend.com,Blend Academy,200,112883,https://*.blend.com,academy.blend.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2024-04-20T23:59:59Z,CN=academy.blend.com,academy.blend.com,,academy.blend.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8a8a6b417f3028dd50065904107df003,eb0c2b0e3411140c2b4714309720e98756e39763bacb3a6df6e4a7390596645a,ctls,academy.blend.com,80,http://academy.blend.com:80,http,text/html,GET,18.66.147.100,/,-1840324437,18.66.147.56,Ruby on Rails,311,False,,,cloudfront,True,https://academy.blend.com/trainings,nginx
academybank.blendlabs.com,Not Found,404,12379,,academybank.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,academybank.blendlabs.com,443,https://academybank.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
affiliatedbank.blendlabs.com,Not Found,404,12379,,affiliatedbank.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,affiliatedbank.blendlabs.com,443,https://affiliatedbank.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
affinityfcu.beta.blendlabs.com,,200,123738,https://cdn.plaid.com/link/,affinityfcu.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,affinityfcu.beta.blendlabs.com,443,https://affinityfcu.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,-1511647099,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
afifinancial.blendlabs.com,,200,79237,wss://faye.blendlabs.com,afifinancial.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T19:57:46Z,2023-07-07T19:57:45Z,CN=afifinancial.blendlabs.com,afifinancial.blendlabs.com,,afifinancial.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a42416a27be3ad7be0299f293b28f598,ddcecad553389d1e620e84988c280e5f6754651ee8b9f7595bc5227f0dd6393b,ctls,afifinancial.blendlabs.com,443,https://afifinancial.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,477133321,172.65.242.70,Plaid,33,False,,,cloudflare,True,,
alcova.beta.blendlabs.com,,200,116842,https://maps.googleapis.com,alcova.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,alcova.beta.blendlabs.com,80,http://alcova.beta.blendlabs.com:80,http,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,https://alcova.beta.blendlabs.com/,
alending.blendlabs.com,,200,79213,fonts.googleapis.com,alending.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T07:38:43Z,2023-07-08T07:38:42Z,CN=alending.blendlabs.com,alending.blendlabs.com,,alending.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1f579081cafca043706f8bd365e59e2d,33ebf9d806ae63c223589a10a2ea9d93a60936c670bc8a372e8e7f9bc74d1d29,ctls,alending.blendlabs.com,80,http://alending.blendlabs.com:80,http,text/html,GET,172.65.242.70,/,477133321,172.65.242.70,Plaid,33,False,,,cloudflare,True,https://alending.blendlabs.com/,
alerus.beta.blendlabs.com,,200,121610,https://blend-backend-beta-lending.s3.amazonaws.com,alerus.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,alerus.beta.blendlabs.com,443,https://alerus.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
alerus.blendlabs.com,Not Found,404,12379,,alerus.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T05:22:53Z,2023-06-12T05:22:52Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f770d1da4586f3bb62c8ffdb459d395b,f5ba7c0d7a042b47d8ae5fc21da3d00efbe713a7106d9b0ccb48e42536c2934e,ctls,alerus.blendlabs.com,443,https://alerus.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,,161,False,True,True,cloudflare,True,,
allentate.beta.blendlabs.com,,200,117396,https://cdn.plaid.com/link/v2/stable/link-initialize.js,allentate.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.beta.blendlabs.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",*.beta.blendlabs.com,"Blend Labs, Inc.",*.beta.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e71f23d488ac51f9c07fa2b98029547d,690bb3a2e4cb2203f0a050a502a1b6643c85cb85ff96f9428ef97bdd9ef44711,ctls,allentate.beta.blendlabs.com,443,https://allentate.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,Plaid,33,False,,True,cloudflare,True,,
