input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url
fwdkim1.mobikwik.com,ERROR: The request could not be satisfied,403,915,AS16509,AS16509,Unknown,13.225.96.0/21,,,,,,,,,,,,,,,,,,,,cloudfront,80,http://fwdkim1.mobikwik.com:80,http,CloudFront,text/html,GET,13.225.78.59,/,1296012012,13.225.78.40,Amazon Web Services,20,False,True,,
gold.mobikwik.com,404 Not Found,404,146,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,gold.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,gold.mobikwik.com,cloudflare,443,https://gold.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,116323821,104.18.22.34,HSTS,8,False,True,,
imap.mobikwik.com,403 Forbidden,403,209,AS29873,BIZLAND-SD,US,66.96.160.0/24,imap.mobikwik.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.bizland.com,*.bizland.com,,bizland.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,213715ab966970804e4dce4fa3ea7472,3ae26e21a402c4ca7097bfd1e6ba2f0d6a7dbc0ae58f96bfaddd96f64b1cce8e,True,ctls,imap.mobikwik.com,,443,https://imap.mobikwik.com:443,https,Apache/2,text/html,GET,66.96.160.128,/,-1840324437,66.96.160.128,Apache:2,10,False,,True,
investor-relations.mobikwik.com,Investor Relation,200,33335,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,investor-relations.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,investor-relations.mobikwik.com,cloudflare,443,https://investor-relations.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,-1125207812,104.18.22.34,WordPress:6.2,195,False,True,,
lending.mobikwik.com,404 Not Found,404,548,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,lending.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,lending.mobikwik.com,cloudflare,80,http://lending.mobikwik.com:80,http,cloudflare,text/html,GET,104.18.22.34,/,566218143,104.18.23.34,HSTS,14,False,True,,https://lending.mobikwik.com:443/
lendingenach.mobikwik.com,404 Not Found,404,548,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,lendingenach.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,lendingenach.mobikwik.com,cloudflare,443,https://lendingenach.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,566218143,104.18.22.34,HSTS,14,False,True,,
magic.mobikwik.com,Magic Dashboard,200,1235,AS16509,AS16509,Unknown,3.112.0.0/14,magic.mobikwik.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,magic.mobikwik.com,,443,https://magic.mobikwik.com:443,https,nginx,text/html,GET,3.110.242.220,/,792394440,3.6.223.99,Nginx,27,False,,,
mail.mobikwik.com,Netfirms  Login,200,30301,AS29873,BIZLAND-SD,US,66.96.160.0/24,www1.netfirms.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.netfirms.com,*.netfirms.com,,netfirms.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,9685261560cfe0af6f5eb0a4d4d4b0d2,b8f810dc482e96aea15468800f3a93019b6ac7badce11e63ada782936f8c2373,True,ctls,www1.netfirms.com,,80,http://mail.mobikwik.com:80,http,Apache,text/html,GET,66.96.160.128,/,-366337701,66.96.160.128,Google Tag Manager,674,False,,,https://www1.netfirms.com/secure/login.html?st=1683708928&showWebmailTab=1
mbkredash.mobikwik.com,502 Bad Gateway,502,575,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,mbkredash.mobikwik.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.mobikwik.com, O=One Mobikwik Systems Limited, L=GURGAON, ST=HARYANA, C=IN",*.mobikwik.com,One Mobikwik Systems Limited,mobikwik.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,2f57ffcbe9da09f127a7cf257c9ae027,5307da46a5af3128c4de0eed5abdc59ec7d39e609621f1aee71c30d36d1c1a65,True,ctls,mbkredash.mobikwik.com,cloudflare,443,https://mbkredash.mobikwik.com:443,https,cloudflare,text/html,GET,104.18.23.34,/,-1188714512,104.18.22.34,HSTS,14,False,True,,
merchants.mobikwik.com,redt3.cheetahmail.com OK,200,139,AS3356,LEVEL3,US,8.64.0.0/10,merchants.mobikwik.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-27T00:00:00Z,2023-07-19T23:59:59Z,"CN=*.chtah.com, O=Cheetah Digital\, Inc., L=New York, ST=New York, C=US",*.chtah.com,"Cheetah Digital, Inc.",chtah.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ad3b83afa9995c72de079778b309a725,2b0820380e6aef7176e741ad06e2bf5a7f47ce5eaafce28aa5a48ea2a4c9ace3,True,ctls,merchants.mobikwik.com,,443,https://merchants.mobikwik.com:443,https,Apache,text/html,GET,8.33.184.254,/,-1064755455,8.23.247.244,HSTS,9,False,,True,
