input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn
blog.zen.ly,zenly blog,,129474,blog.zen.ly,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-29T00:00:00Z,CN=blog.zen.ly,blog.zen.ly,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,blog.zen.ly,443,https://blog.zen.ly:443,https,openresty,text/html,GET,52.4.145.119,PayPal,237,
community.zen.ly,Security check,,7552,community.zen.ly,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T00:14:52Z,CN=community.zen.ly,community.zen.ly,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,community.zen.ly,443,https://community.zen.ly:443,https,cloudflare,text/html,GET,104.18.248.37,Cloudflare,103,True
jira.znly.co,Anmelden – Google Konten,,116652,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://jira.znly.co:443,https,GSE,text/html,GET,35.244.249.183,OpenGSE,1973,True
www.zen.ly,,,2935,www.zen.ly,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T22:34:55Z,CN=www.zenly.com,www.zenly.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ctls,www.zen.ly,443,https://www.zen.ly:443,https,UploadServer,text/html,GET,34.120.54.238,HTTP/3,83,True
zen.ly,,,2935,zen.ly,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T22:34:55Z,CN=www.zenly.com,www.zenly.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ctls,zen.ly,443,https://zen.ly:443,https,UploadServer,text/html,GET,34.120.54.238,HTTP/3,83,True
