new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,ns,txt
[x],autoconfig.codeigniter.com,198.54.122.136,,"edns.registrar-servers.com, support.namecheap.com",NOERROR,,,privateemail.com,"mx1.privateemail.com, mx2.privateemail.com","edns4.ultradns.biz, edns4.ultradns.com, edns4.ultradns.net, edns4.ultradns.org","google-site-verification=PfY0lyNaWDFXDYY1LJnJVtqDTuwBAKPfPu0brQdnUYA, google-site-verification=U7HaXt95Ldm2wLdsiC78Pe9SJzW65QiA2Hdo63hdjAI, v=spf1 include:spf.privateemail.com ip4:199.193.7.33/32 -all"
[x],autodiscover.codeigniter.com,"198.54.122.136, 204.74.66.4",2001:502:f3ff::204,"edns.registrar-servers.com, support.namecheap.com",NOERROR,,,privateemail.com,"mx1.privateemail.com, mx2.privateemail.com","edns4.ultradns.com, edns4.ultradns.biz, edns4.ultradns.org, edns4.ultradns.net","v=spf1 include:spf.privateemail.com ip4:199.193.7.33/32 -all, google-site-verification=PfY0lyNaWDFXDYY1LJnJVtqDTuwBAKPfPu0brQdnUYA, google-site-verification=U7HaXt95Ldm2wLdsiC78Pe9SJzW65QiA2Hdo63hdjAI"
[x],codeigniter.com,"188.114.97.3, 188.114.96.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","albert.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"mx2.privateemail.com, mx1.privateemail.com","albert.ns.cloudflare.com, coco.ns.cloudflare.com",v=spf1 mx a include:spf.privateemail.com ~all
[x],forum.codeigniter.com,"104.21.35.74, 172.67.215.181","2a06:98c1:3121::4, 2a06:98c1:3120::4","albert.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],mail.codeigniter.com,198.54.122.136,,"edns.registrar-servers.com, support.namecheap.com",NOERROR,,,privateemail.com,"mx1.privateemail.com, mx2.privateemail.com","edns4.ultradns.com, edns4.ultradns.net, edns4.ultradns.org, edns4.ultradns.biz","google-site-verification=PfY0lyNaWDFXDYY1LJnJVtqDTuwBAKPfPu0brQdnUYA, google-site-verification=U7HaXt95Ldm2wLdsiC78Pe9SJzW65QiA2Hdo63hdjAI, v=spf1 include:spf.privateemail.com ip4:199.193.7.33/32 -all"
[x],www.codeigniter.com,"188.114.97.3, 188.114.96.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","albert.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,v=spf1 -all
