new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa,mx
,sit.hdlmv.ext.here.com,"34.203.89.167, 44.210.193.145","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-239.awsdns-29.com, ns-967.awsdns-56.net, ns-1466.awsdns-55.org, ns-1609.awsdns-09.co.uk",,,,,,,
,sit.hybrid.api.here.com,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,"version.sit.us-east-1.dv.ds.data.here.com, mdd-sit-ext-1585212931.us-east-1.elb.amazonaws.com",,,,,,,,
,sit.route.hereapi.com,,"ns-1062.awsdns-04.org, awsdns-hostmaster.amazon.com",NOERROR,,"sit.route.hereapi.com.a1971.p01.hereglb.com, us-west-2.sit.route.hereapi.com","ns-1062.awsdns-04.org, ns-974.awsdns-57.net, ns-399.awsdns-49.com, ns-1882.awsdns-43.co.uk",,,,,,,
,sit.stream.eu-west-1.scbe.api.here.com,"18.64.119.88, 18.64.119.73, 18.64.119.68, 18.64.119.74","ns-1047.awsdns-02.org, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,sit.stream.us-east-1.scbe.api.here.com,"13.249.39.43, 13.249.39.36, 13.249.39.8, 13.249.39.51","ns-1766.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,sit.us-east-1.access.api.here.com,,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sit.us-east-1.scbe.api.here.com,"54.146.240.200, 52.205.149.147, 44.194.156.190","ns-1766.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sit.us-west-2.account.here.com,"54.200.96.3, 34.211.15.222, 44.224.129.188","ns-1451.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sit.us-west-2.scbe.api.here.com,"44.233.178.102, 44.240.90.217, 35.161.54.180","ns-131.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sit.vector.hereapi.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,d1c0rpobv6bp00.cloudfront.net,,,,,,,,
,sldaproxy.core.in.here.com,,,NOERROR,,,,,,,,,,
,smartsheet.here.com,,"ns-919.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,,sso.smartsheet.com,"ns-1242.awsdns-27.org, ns-919.awsdns-50.net, ns-1588.awsdns-06.co.uk, ns-490.awsdns-61.com",,,,,,,
,solution.aws.in.here.com,,,NOERROR,,,,,,,,,,
,spf-ml.here.com,,"us-qas99-colo-ucs01ib.as1248.net, hostmaster.here.com",NOERROR,,,,,,v=spf1 ip4:216.245.20.34 ip4:216.245.20.220 ip4:216.245.51.34 ip4:64.233.160.26 ip4:64.233.177.26 ip4:209.85.144.26 ip4:74.125.141.26 ip4:64.233.190.26 ip4:64.233.190.25 ip4:66.54.64.102 a:b.spf.service-now.com -all,,,,
,sphere.comcast.com,"96.104.67.124, 96.104.67.158, 96.104.67.136","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,internal-sphere-prod-472106290.us-east-1.elb.amazonaws.com,,,,,,,,
,splunk.ext.here.com,,"ns-901.awsdns-48.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1205.awsdns-22.org, ns-1919.awsdns-47.co.uk, ns-20.awsdns-02.com, ns-901.awsdns-48.net",,,,,,,
,splunk.metrics.platform.sit.here.com,"10.104.97.163, 10.104.104.117, 10.104.100.176","ns-1207.awsdns-22.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"heritage=external-dns,external-dns/owner=sit-1-aws-eu-west-1.k8s.in.here.com,external-dns/resource=service/here-olp-api-gateway-sit/splunk-auth-gw-1628795754218-sentry",True,"10.104.97.163, 10.104.104.117, 10.104.100.176",,
,splunkforwarder.3dearthcore.here.com,54.144.128.85,,NOERROR,,,,,,,,,,
,splunkforwarder.da.here.com,,,NOERROR,,,,,,,,,,
,splunkforwarder.had-metadata-service.here.com,,,NOERROR,,,,,,,,,,
,splunkforwarder.rddc.here.com,,,NOERROR,,,,,,,,,,
,splunkusers.audi.aee.here.com,,,NOERROR,,,,,,,,,,
,spot.account.here.com,"3.230.116.86, 18.211.231.203","ns-89.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sps.cc.data.here.com,"34.250.63.120, 54.216.209.177, 34.243.113.97","ns-205.awsdns-25.com, awsdns-hostmaster.amazon.com",NOERROR,"2a05:d018:361:aa01:72b5:549e:917d:55eb, 2a05:d018:361:aa00:446d:ab66:24eb:f6ab, 2a05:d018:361:aa02:f7f:d2f8:40b6:8b27",,"ns-1487.awsdns-57.org, ns-1904.awsdns-46.co.uk, ns-205.awsdns-25.com, ns-594.awsdns-10.net",,,,,,,
,sps.cit.data.here.com,"52.49.221.140, 34.255.125.105, 205.251.192.98, 205.251.195.189, 205.251.197.66, 205.251.198.218","ns-1754.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2a05:d018:361:aa00:f333:a209:bed1:39a8, 2a05:d018:361:aa02:c04f:2002:4998:f15c",,"ns-1346.awsdns-40.org, ns-1754.awsdns-27.co.uk, ns-98.awsdns-12.com, ns-957.awsdns-55.net",,,,,,,
,sps.data.here.com,"54.216.209.177, 34.243.113.97, 34.250.63.120","ns-1200.awsdns-22.org, awsdns-hostmaster.amazon.com",NOERROR,"2a05:d018:361:aa01:72b5:549e:917d:55eb, 2a05:d018:361:aa02:f7f:d2f8:40b6:8b27, 2a05:d018:361:aa00:446d:ab66:24eb:f6ab",,"ns-1200.awsdns-22.org, ns-1620.awsdns-10.co.uk, ns-350.awsdns-43.com, ns-967.awsdns-56.net",,,,,,,
,sps.nxt.data.here.com,,"ns-1039.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1039.awsdns-01.org, ns-1858.awsdns-40.co.uk, ns-440.awsdns-55.com, ns-683.awsdns-21.net",,,,,,,
,sps.sit.data.here.com,,"ns-592.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1463.awsdns-54.org, ns-1683.awsdns-18.co.uk, ns-382.awsdns-47.com, ns-592.awsdns-10.net",,,,,,,
,sso2.it.here.com,66.54.70.138,"gb-lon99-colo-ucs01ib.as1248.net, hostmaster.here.com",NOERROR,,,,,,,,,,
,sso3.it.here.com,66.54.70.140,"gb-lon99-colo-ucs01ib.as1248.net, hostmaster.here.com, us-qas99-colo-ucs01ib.as1248.net",NOERROR,,,,,,,,,,
,ssow.it.here.com,131.228.152.62,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,ssow.it.here.com.a857.p01.hereglb.com,,,,,,,,
,st-probewssoap.traffic.data.here.com,,"gb-lon99-colo-ucs01ib.as1248.net, hostmaster.here.com",NOERROR,,ast-probewssoap.traffic.data.here.com,,,,,,,,
,st.p.account.here.com,"50.112.23.115, 50.112.95.17","ns-1664.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,us-west-2.st.p.account.here.com,,,,,,,,
,star.mobilitygraph.sit.hereapi.com,54.144.128.85,,NOERROR,,,,,,,,,,
,static-70-205.ptr.here.com,,,NOERROR,,,,,,,,,,
