new,host,a,soa,status_code,aaaa,mx,cdn,cdn-name,txt,cname,ns,caa,has_internal_ips,internal_ips
[x],0.access.tyo.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],a.backend.sjc.training.fireeye.com,199.16.198.82,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],access.alliances.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],access.ash.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],access.dev.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],access.ork.selabs.fireeye.com,162.159.246.125,,NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],access.ork.training.fireeye.com,82.141.193.22,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],access.sandbox.xfire.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],access.sfo.selabs.fireeye.com,162.159.246.125,,NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],access.tyo.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],access.workbench.xfire.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],access.xfire.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],admin.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],admindocs.a.sjc.training.fireeye.com,199.16.198.82,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],advanced-ctfd.a.sjc.training.fireeye.com,199.16.198.82,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],af-south-1.cloudvisory.apps.fireeye.com,"13.246.79.13, 13.245.208.122",,NOERROR,,,,,,,"ns-1041.awsdns-02.org, ns-1589.awsdns-06.co.uk, ns-318.awsdns-39.com, ns-785.awsdns-34.net",,,
[x],af.access.dxb.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],ahajsandbox.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ahatest.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aidb-stage.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aidb.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],airflow.k8s-etp-dev01.cloud.apps.fireeye.com,,"ns-856.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=Z0234678POZWNSZ4AICO,external-dns/resource=ingress/etp-detection-apps-dev01/airflow-flower",,,,,
[x],airflow.k8s-etp-prd09.cloud.apps.fireeye.com,"3.232.62.82, 34.204.163.199, 34.194.171.37","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],aiws-dev1.fireeye.com,199.16.198.145,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aiws-dev2.fireeye.com,199.16.198.142,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aiws-dev3.fireeye.com,199.16.198.107,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aiws-dev4.fireeye.com,199.16.198.108,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aiws-dev5.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aiws-stage.fireeye.com,136.179.56.100,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],aiws.fireeye.com,136.179.56.101,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],alaska.access.ork.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],alliances.selabs.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
[x],ambassadors.fireeye.com,161.129.72.21,"ns-1637.awsdns-12.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,fireeye.voicestorm.com,,,,
[x],amer-rewards.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],ap.feconnect.fireeye.com,"35.73.33.227, 13.230.175.249, 54.150.191.126","ns-809.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=athena-prd03-external-dns,external-dns/resource=service/nginx-ingress/nginx-ingress-controller",,"ns-1123.awsdns-12.org, ns-1585.awsdns-06.co.uk, ns-208.awsdns-26.com, ns-809.awsdns-37.net",,,
[x],ap.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api-dev.intelligence.fireeye.com,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api-dev.services.fireeye.com,"13.32.121.50, 13.32.121.48, 13.32.121.38, 13.32.121.119","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],api-docs-feiam-qa00.iam.apps.fireeye.com,"35.82.162.170, 35.163.4.215","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,feiam-qa00-gateway-elb-648618198.us-west-2.elb.amazonaws.com,,,,
[x],api-docs.ap.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],api-docs.ca.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
[x],api-docs.eu.fireeye.com,162.159.246.125,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2606:4700:300b::a29f:f67d,,True,cloudflare,,,,,,
