new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,ns,mx,has_internal_ips,internal_ips,caa
[x],api.bentley.com,13.90.115.75,"prod-bentleyapim-trafficmanager.trafficmanager.net, prod-api-eus-apim-01.azure-api.net, apimgmttmquyczo9u2uix8w5dy85j1xqxlvtzlhayx94joxoua.trafficmanager.net, prod-api-eus-apim-01-eastus-01.regional.azure-api.net, apimgmthsogrqd9us2y7ltxlcy6l0k8cfim8mhb43ijrjgurnk.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.openground.bentley.com,40.87.107.231,"openground-api.trafficmanager.net, api.eastus.openground.bentley.com","ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
[x],api.uksouth-sandbox.openground.bentley.com,51.132.158.111,,"ns1-01.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,,
[x],api.uksouth.openground.bentley.com,20.77.79.154,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/openground/gateway-nginx\""",,,,,,
[x],apps.bentley.com,,"static.bentley.com, prdeus2opsvn03lb02.eastus2.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],appsnet.bentley.com,64.90.235.11,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],appsnet2.bentley.com,64.90.235.11,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],archive-uks.pwdm.bentley.com,51.143.191.44,"prod-pwdmarchivemanager-uks.azurewebsites.net, waws-prod-ln1-017.sip.azurewebsites.windows.net, waws-prod-ln1-017.uksouth.cloudapp.azure.com","ns1-01.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],archive-uks.qa-pwdm.bentley.com,51.140.59.233,"qa-pwdmarchivemanager-uks.azurewebsites.net, waws-prod-ln1-013.sip.azurewebsites.windows.net, waws-prod-ln1-013.uksouth.cloudapp.azure.com","ns1-01.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],archive.qa-pwdm.bentley.com,51.140.59.233,"qa-pwdmarchive-trafficmanager.trafficmanager.net, archive-uks.qa-pwdm.bentley.com, qa-pwdmarchivemanager-uks.azurewebsites.net, waws-prod-ln1-013.sip.azurewebsites.windows.net, waws-prod-ln1-013.uksouth.cloudapp.azure.com","ns1-01.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],as.opencitiesplanner.bentley.com,13.67.54.57,,"ns1-08.azure-dns.com, dnsadmin.bentley.com",NOERROR,True,azure,,,,,,,
[x],au.opencitiesplanner.bentley.com,13.73.206.132,,"ns1-08.azure-dns.com, dnsadmin.bentley.com",NOERROR,True,azure,,,,,,,
[x],aubri1fwlco01.bentley.com,203.35.201.106,,"ns1-07.azure-dns.com, dnsadmin.bentley.com",NOERROR,,,,,,,,,
[x],aue.aw-cs.bentley.com,,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,"ns4-04.azure-dns.info, ns1-04.azure-dns.com, ns2-04.azure-dns.net, ns3-04.azure-dns.org",,,,
[x],autodiscover.bentley.com,"40.99.157.56, 40.99.157.24, 52.97.189.72, 40.99.149.184, 40.99.157.8, 40.99.157.40, 40.99.149.152, 40.99.149.136","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,"2603:1026:c0d:c31::8, 2603:1026:c0d:82d::8, 2603:1026:c0d:802::8, 2603:1026:c0d:c1e::8",,,,,
[x],autodiscover.info.bentley.com,"40.99.210.8, 40.99.218.152, 40.99.211.8, 40.99.211.24","autodiscover.outlook.com, atod-g2.tm-4.office.com","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
[x],bcsf.bentley.com,23.101.136.63,bc-shared-prod-eus-sfc-01.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],bcsm-dnsapi.bentley.com,52.247.52.219,bcsmdnsapi.eastus2.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
