input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_expired,tls_subject_org_
*.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",,221649,www.mapbox.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,CN=www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,www.mapbox.com,443,https://mapbox.com:443,https,,text/html,GET,151.101.64.143,Webflow,2187,True,,
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",,887442,mixpanel.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,CN=*.mixpanel.com,*.mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,mixpanel.com,443,https://mixpanel.com:443,https,nginx,text/html,GET,34.96.97.101,Nginx,1,True,,
*.tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",,221649,www.mapbox.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,CN=www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,www.mapbox.com,443,https://tiles.mapbox.com:443,https,,text/html,GET,146.75.120.143,Webflow,2187,True,,
app.pendo.io,pendo.io,,3122,app.pendo.io,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T23:31:07Z,CN=pendo.io,pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,ctls,app.pendo.io,443,https://app.pendo.io:443,https,Google Frontend,text/html,GET,34.107.204.85,HTTP/3,1,True,,
auth0-test-heroku.playground.xvtest.net,Application Error,,506,auth0-test-heroku.playground.xvtest.net,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T00:00:00Z,CN=auth0-test-heroku.playground.xvtest.net,auth0-test-heroku.playground.xvtest.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,auth0-test-heroku.playground.xvtest.net,443,https://auth0-test-heroku.playground.xvtest.net:443,https,Cowboy,text/html,GET,18.66.122.99,Cowboy,26,True,,
benjamind-1.pmgr.playground.xvtest.net,,,9,benjamind-1.pmgr.playground.xvtest.net,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,CN=benjamind-1.pmgr.playground.xvtest.net,benjamind-1.pmgr.playground.xvtest.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,benjamind-1.pmgr.playground.xvtest.net,443,https://benjamind-1.pmgr.playground.xvtest.net:443,https,awselb/2.0,text/plain,GET,34.242.52.247,,1,,,
brand.xvservice.net,Password Protection,,3551,brand.xvservice.net,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T09:20:09Z,CN=brand.xvservice.net,brand.xvservice.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,brand.xvservice.net,443,https://brand.xvservice.net:443,https,Netlify,text/html,GET,3.72.140.173,Netlify,134,,,
builds.client.xvservice.net,polymoon - Sign In,,21833,polymoon.okta.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,polymoon.okta.com,443,https://builds.client.xvservice.net:443,https,nginx,text/html,GET,18.66.147.14,Nginx,499,True,,"Okta, Inc."
builds.dev.client.xvservice.net,polymoon - Sign In,,21788,polymoon.okta.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,polymoon.okta.com,443,https://builds.dev.client.xvservice.net:443,https,nginx,text/html,GET,18.66.122.20,Nginx,499,True,,"Okta, Inc."
cdn.pendo.io,,,300,cdn.pendo.io,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,CN=cdn.pendo.io,cdn.pendo.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,cdn.pendo.io,443,https://cdn.pendo.io:443,https,UploadServer,application/xml,GET,18.66.112.44,Amazon Web Services,1,True,,
