new,host,a,soa,status_code,ns,cdn,cdn-name,txt,cname,mx,caa,aaaa,has_internal_ips,internal_ips
,auth0-test.playground.xvtest.net,"52.222.214.69, 52.222.214.62, 52.222.214.66, 52.222.214.111","ns-1533.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1533.awsdns-63.org, ns-1984.awsdns-56.co.uk, ns-911.awsdns-49.net, ns-93.awsdns-11.com",True,cloudfront,,,,,,,
,backend-staging.xvtest.net,,"ns-1920.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1250.awsdns-28.org, ns-155.awsdns-19.com, ns-1920.awsdns-48.co.uk, ns-560.awsdns-06.net",,,,,,,,,
,backend.brian.staging.backend-staging.xvtest.net,"34.193.251.209, 3.227.195.46, 34.225.17.95",,NOERROR,,,,,,,,,,
,backend.qa.staging.backend-staging.xvtest.net,"34.193.251.209, 34.225.17.95, 3.227.195.46",,NOERROR,,,,,,,,,,
,backend.test.staging.backend-staging.xvtest.net,"34.193.251.209, 3.227.195.46, 34.225.17.95",,NOERROR,,,,,,,,,,
,backend.yakubu.staging.backend-staging.xvtest.net,"3.227.195.46, 34.225.17.95, 34.193.251.209",,NOERROR,,,,,,,,,,
,be-okta.brian.staging.backend-staging.xvtest.net,"34.192.49.234, 3.209.209.167, 52.2.27.115",,NOERROR,,,,,,,,,,
,be-okta.qa.staging.backend-staging.xvtest.net,"52.2.27.115, 3.209.209.167, 34.192.49.234",,NOERROR,,,,,,,,,,
,be-okta.yakubu.staging.backend-staging.xvtest.net,"52.2.27.115, 3.209.209.167, 34.192.49.234",,NOERROR,,,,,,,,,,
,benjamind-1.pmgr.playground.xvtest.net,"34.242.52.247, 34.254.119.243","ns-314.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1362.awsdns-42.org, ns-1848.awsdns-39.co.uk, ns-314.awsdns-39.com, ns-725.awsdns-26.net",,,,,,,,,
,beta.apis-staging.xvtest.net,,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,billing.api.expressvpn.com,"3.227.146.27, 52.87.32.75, 3.93.99.133",,NOERROR,,,,,,,,,,
,billing.qa.staging.backend-staging.xvtest.net,"3.220.146.75, 18.208.72.18, 54.198.79.36",,NOERROR,,,,,,,,,,
,billing.test.staging.backend-staging.xvtest.net,"54.198.79.36, 18.208.72.18, 3.220.146.75",,NOERROR,,,,,,,,,,
,billing.yakubu.staging.backend-staging.xvtest.net,"3.220.146.75, 18.208.72.18, 54.198.79.36",,NOERROR,,,,,,,,,,
,blog.expressvpn.com,52.76.157.133,"ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1198.awsdns-21.org, ns-1588.awsdns-06.co.uk, ns-373.awsdns-46.com, ns-910.awsdns-49.net",,,v=spf1 a mx include:relay.mailchannels.net  -all,,,,,,
,brand.xvservice.net,"34.141.55.250, 35.156.224.161","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,True,google,,xv-brand-guidelines.netlify.app,,,"2a05:d014:275:cb00::c8, 2a05:d014:275:cb02::c8",,
,builds.client.xvservice.net,"18.66.147.55, 18.66.147.41, 18.66.147.37, 18.66.147.14","ns-683.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-322.awsdns-40.com, ns-683.awsdns-21.net, ns-1136.awsdns-14.org, ns-1586.awsdns-06.co.uk",True,cloudfront,,,,,,,
,builds.dev.client.xvservice.net,"13.249.9.123, 13.249.9.124, 13.249.9.80, 13.249.9.9","ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1407.awsdns-47.org, ns-1552.awsdns-02.co.uk, ns-294.awsdns-36.com, ns-914.awsdns-50.net",True,cloudfront,,,,,,,
,clicks.expressvpn.com,,"ns-620.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1182.awsdns-19.org, ns-95.awsdns-11.com, ns-1852.awsdns-39.co.uk, ns-620.awsdns-13.net",,,,,,,,,
,client.xvservice.net,,"ns-574.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-371.awsdns-46.com, ns-574.awsdns-07.net, ns-1141.awsdns-14.org, ns-2041.awsdns-63.co.uk",,,,,,,,,
,dennis.apis-staging.xvtest.net,,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,desktop.updates.expressvpn.com,"52.222.236.110, 52.222.236.111, 52.222.236.41, 52.222.236.91","ns-1381.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-102.awsdns-12.com, ns-1018.awsdns-63.net, ns-1381.awsdns-44.org, ns-1948.awsdns-51.co.uk",True,cloudfront,,,,,,,
