new,host,a,soa,status_code,ns,cdn,cdn-name,txt,cname,mx,caa,aaaa,has_internal_ips,internal_ips
,testing-marco.apis-staging.xvtest.net,"54.208.9.61, 35.171.233.227, 3.219.199.237, 54.196.100.161, 54.91.88.51, 18.215.54.196","ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,testing-remus.apis-staging.xvtest.net,"54.91.88.51, 3.219.199.237, 54.208.9.61, 18.215.54.196, 54.196.100.161, 35.171.233.227","ns-1504.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1974.awsdns-54.co.uk, ns-268.awsdns-33.com, ns-755.awsdns-30.net, ns-1504.awsdns-60.org",,,,,,,,,
,updates.expressvpn.com,"143.204.215.45, 143.204.215.10, 143.204.215.47, 143.204.215.82","ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1101.awsdns-09.org, ns-433.awsdns-54.com, ns-1930.awsdns-49.co.uk, ns-949.awsdns-54.net",True,cloudfront,,,,,,,
,us-east-02.mirror.sys.xvservice.net,45.144.112.11,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,us-west-01.mirror.sys.xvservice.net,138.199.9.65,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,v2-1.apis-staging.xvtest.net,"3.94.219.68, 34.194.253.10, 3.95.104.143, 3.95.115.99, 3.208.147.52, 35.153.86.240","ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,v2-2.apis-staging.xvtest.net,"18.215.54.196, 54.208.9.61, 35.171.233.227, 54.196.100.161, 3.219.199.237, 54.91.88.51","ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1096.awsdns-09.org, ns-1624.awsdns-11.co.uk, ns-305.awsdns-38.com, ns-778.awsdns-33.net",,,,,,,,,
,vector.dev.iat.it.xvservice.net,,"ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1273.awsdns-31.org, ns-1718.awsdns-22.co.uk, ns-62.awsdns-07.com, ns-938.awsdns-53.net",,,,,,,,,
,vector.prd.iat.it.xvservice.net,"52.74.150.165, 205.251.193.78, 205.251.195.159, 205.251.197.89, 205.251.198.31","ns-927.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-927.awsdns-51.net, ns-1369.awsdns-43.org, ns-1567.awsdns-03.co.uk, ns-334.awsdns-41.com",,,,,,,,,
,vector.siem.dev.sec.xvservice.net,"18.141.249.253, 52.76.64.156","ns-1443.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,wap-subscriptions.dev.iat.it.xvservice.net,54.254.40.56,"ns-526.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-28.awsdns-03.com, ns-526.awsdns-01.net, ns-1099.awsdns-09.org, ns-1606.awsdns-08.co.uk",,,,,,,,,
,web-frontend-phraseapp.frontend-qa.xvtest.net,"52.85.151.41, 52.85.151.16, 52.85.151.98, 52.85.151.80","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,web-frontend-pr-10167.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-10483.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-10503.frontend-qa.xvtest.net,"99.86.4.129, 99.86.4.15, 99.86.4.84, 99.86.4.74","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,web-frontend-pr-10610.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-10673.frontend-qa.xvtest.net,54.144.128.85,,NOERROR,,,,,,,,,,
,web-frontend-pr-10758.frontend-qa.xvtest.net,"108.138.51.3, 108.138.51.67, 108.138.51.88, 108.138.51.122","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,web-frontend-pr-10767.frontend-qa.xvtest.net,"52.222.236.73, 52.222.236.13, 52.222.236.71, 52.222.236.42","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,web-frontend-pr-10789.frontend-qa.xvtest.net,"13.32.121.98, 13.32.121.22, 13.32.121.99, 13.32.121.52","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,web-frontend-pr-8506.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-8545.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-8555.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-8698.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-8706.frontend-qa.xvtest.net,54.144.128.85,,NOERROR,,,,,,,,,,
,web-frontend-pr-8765.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-8775.frontend-qa.xvtest.net,54.144.128.85,,NOERROR,,,,,,,,,,
,web-frontend-pr-8806.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-8906.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-9010.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-9051.frontend-qa.xvtest.net,54.144.128.85,,NOERROR,,,,,,,,,,
,web-frontend-pr-9088.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-9122.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-9178.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-9203.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-9372.frontend-qa.xvtest.net,54.144.128.85,,NOERROR,,,,,,,,,,
,web-frontend-pr-9456.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,web-frontend-pr-9613.frontend-qa.xvtest.net,54.144.128.85,,NOERROR,,,,,,,,,,
,web-frontend-pr-9624.frontend-qa.xvtest.net,"18.65.39.65, 18.65.39.111, 18.65.39.74, 18.65.39.36","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,web-frontend-staging-origin.frontend-qa.xvtest.net,"18.140.229.90, 54.255.118.73, 13.214.97.143","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,dns-target.xv-web-frontend-qa.frontend-qa.xvtest.net,,,,,
,web-frontend-staging.frontend-qa.xvtest.net,"143.204.231.118, 143.204.231.17, 143.204.231.121, 143.204.231.93","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1522.awsdns-62.org, ns-1965.awsdns-53.co.uk, ns-336.awsdns-42.com, ns-660.awsdns-18.net",True,cloudfront,,,,,,,
,web-staging.xvtest.net,,"ns-214.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1032.awsdns-01.org, ns-1747.awsdns-26.co.uk, ns-214.awsdns-26.com, ns-548.awsdns-04.net",,,,,,,,,
,www.111.v2-staging-dennis.xvtest.net,,,NOERROR,,,,,,,,,,
,www.expressvpn.com,"18.155.129.106, 18.155.129.11, 18.155.129.22, 18.155.129.46","ns-373.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1198.awsdns-21.org, ns-1588.awsdns-06.co.uk, ns-373.awsdns-46.com, ns-910.awsdns-49.net",True,cloudfront,"4bdp2b205bnfnai6i964m4j21v, 952j0cucmm2tnop7m0rfmv0ob7, MS=CA708C6EE02E5E499077C92080358CF4AA5F960C, amazonses:7hE6umGQIGBX3IrBU6H2sxzZyCeSkd7nsMNV8Of1Q1Q=, apple-domain-verification=Cx02Ai34ywq70gy0, atlassian-domain-verification=AsiGSJlMQ6GNhZSMVSyt+gEq2IClyv/rDtsdXhzMmSZIiDuo0RRTWrhkye/IRN9D, detectify-verification=629b6aa9d9f5ef48fb059a96e9cc55c5, docusign=fa13fa75-779c-4173-87fa-7888b7ce5456, dropbox-domain-verification=kr4spe9bdmt2, facebook-domain-verification=wbyftwhf94cwk8xls3wpwkk6c6nqsu, google-site-verification=HxtidXba6pXy-uq8j6OTcB7B3AmtBKLtf6dv6T7mMMY, j3aa808kb9ckme44jkvp0iq7uo, v=spf1 mx include:sendgrid.net include:_spf.google.com include:servers.mcsv.net include:amazonses.com include:mail.zendesk.com -all",expressvpn.com,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","amazon.com, amazonaws.com, amazontrust.com, awstrust.com, godaddy.com",,,
,www.fe-singapore-1.web-staging.xvtest.net,"52.222.139.5, 52.222.139.48, 52.222.139.23, 52.222.139.121","ns-214.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,fe-singapore-1.web-staging.xvtest.net,,,,,
,www.fe-singapore-2.web-staging.xvtest.net,"108.138.7.80, 108.138.7.106, 108.138.7.17, 108.138.7.117","ns-214.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,fe-singapore-2.web-staging.xvtest.net,,,,,
,www.fe-singapore-3.web-staging.xvtest.net,"18.155.129.126, 18.155.129.103, 18.155.129.51, 18.155.129.72","ns-214.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1032.awsdns-01.org, ns-1747.awsdns-26.co.uk, ns-214.awsdns-26.com, ns-548.awsdns-04.net",True,cloudfront,,fe-singapore-3.web-staging.xvtest.net,,,,,
,www.testing-marco.apis-staging.xvtest.net,"35.171.233.227, 54.208.9.61, 54.196.100.161, 18.215.54.196, 3.219.199.237, 54.91.88.51","ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,testing-marco.apis-staging.xvtest.net,,,,,
,www.testing-remus.apis-staging.xvtest.net,"54.196.100.161, 54.208.9.61, 54.91.88.51, 35.171.233.227, 18.215.54.196, 3.219.199.237","ns-1504.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1504.awsdns-60.org, ns-1974.awsdns-54.co.uk, ns-268.awsdns-33.com, ns-755.awsdns-30.net",,,,testing-remus.apis-staging.xvtest.net,,,,,
,www.web-frontend-phraseapp.frontend-qa.xvtest.net,"13.225.78.53, 13.225.78.73, 13.225.78.6, 13.225.78.121","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,web-frontend-phraseapp.frontend-qa.xvtest.net,,,,,
,www.web-frontend-pr-10503.frontend-qa.xvtest.net,"99.86.4.74, 99.86.4.129, 99.86.4.84, 99.86.4.15","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,web-frontend-pr-10503.frontend-qa.xvtest.net,,,,,
,www.web-frontend-pr-10683.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,www.web-frontend-pr-10758.frontend-qa.xvtest.net,"18.66.248.22, 18.66.248.74, 18.66.248.42, 18.66.248.8","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,web-frontend-pr-10758.frontend-qa.xvtest.net,,,,,
,www.web-frontend-pr-10767.frontend-qa.xvtest.net,"52.222.236.13, 52.222.236.42, 52.222.236.71, 52.222.236.73","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,web-frontend-pr-10767.frontend-qa.xvtest.net,,,,,
,www.web-frontend-pr-10789.frontend-qa.xvtest.net,"13.32.121.99, 13.32.121.98, 13.32.121.52, 13.32.121.22","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,web-frontend-pr-10789.frontend-qa.xvtest.net,,,,,
,www.web-frontend-pr-10798.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,www.web-frontend-pr-9038.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,www.web-frontend-pr-9085.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,www.web-frontend-pr-9128.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,www.web-frontend-pr-9221.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,www.web-frontend-pr-9298.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,www.web-frontend-pr-9432.frontend-qa.xvtest.net,,,NOERROR,,,,,,,,,,
,www.web-frontend-staging.frontend-qa.xvtest.net,"108.157.214.106, 108.157.214.109, 108.157.214.58, 108.157.214.72","ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,web-frontend-staging.frontend-qa.xvtest.net,,,,,
,www.xvpnltd.dev.iat.it.xvservice.net,"108.138.51.63, 108.138.51.56, 108.138.51.35, 108.138.51.68","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,xv-okta-scim-grafana-grafana.gatekeeper.dev.iat.it.xvservice.net,"18.141.48.142, 13.251.145.157","ns-194.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,xv-okta-scim-rollbar-rollbar.gatekeeper.dev.iat.it.xvservice.net,"13.251.123.146, 18.138.1.15","ns-194.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,xvpnltd.dev.iat.it.xvservice.net,"13.224.189.79, 13.224.189.4, 13.224.189.85, 13.224.189.68","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1370.awsdns-43.org, ns-1836.awsdns-37.co.uk, ns-270.awsdns-33.com, ns-749.awsdns-29.net",True,cloudfront,,,,,,,
,xvservice.net,"205.251.192.14, 205.251.194.63, 205.251.197.95, 205.251.199.127","ns-14.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1919.awsdns-47.co.uk, ns-575.awsdns-07.net, ns-14.awsdns-01.com, ns-1375.awsdns-43.org",,,"hi2ubk4al44fm31gs2bjns3pj, 1pnmnor2sfaj9demjh39us390r, v=spf1 mx a include:sendgrid.net include:_spf.google.com -all",,,,,,
