new,host,a,soa,status_code,cdn,cdn-name,cname,ns,aaaa,txt,mx,caa
[x],0-19.edge.secproxy-dev.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-2015.tomcat.vellum-stg.sc-corp.net,35.190.22.64,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
[x],0-advance.lexis.com.library.jenkins.vellum-stg.sc-corp.net,35.190.22.64,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
[x],0-april.germany.reset.test-automation.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-auth.germany.test-automation.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-backend.php.test-automation.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,"ns-1038.awsdns-01.org, ns-150.awsdns-18.com, ns-1852.awsdns-39.co.uk, ns-924.awsdns-51.net",,,,
[x],0-billing.skins.test-automation.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-bucket.tr.tomcat.vellum-stg.sc-corp.net,35.190.22.64,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,,"ns-1038.awsdns-01.org, ns-150.awsdns-18.com, ns-1852.awsdns-39.co.uk, ns-924.awsdns-51.net",,,,
[x],0-confluence.tr.testing.secproxy-dev.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-direct.kor.test-automation.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-edge.testing1.oceania.secproxy-dev.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-fw.euw.pc.secproxy-dev.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-global.germany.secproxy-dev.sc-corp.net,35.190.16.123,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,snapcrackleproxy.sc-corp.net,,,,,
[x],0-i.edge.drop.vellum-stg.sc-corp.net,35.190.22.64,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
[x],0-merch.box.vellum-stg.sc-corp.net,35.190.22.64,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
[x],0-migrate.php.vellum-stg.sc-corp.net,35.190.22.64,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
