new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,txt
,connected-content-backend.just-data.io,34.77.177.36,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
,connected-content-backend.qa.just-data.io,146.148.7.164,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
,connected-content.just-data.io,"104.18.26.140, 104.18.27.140",connected-content.just-data.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,connected-content.qa.just-data.io,"104.18.11.214, 104.18.10.214",connected-content.qa.just-data.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,data-scoop.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,data-scoop.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,deliveryconfigurationapi.justeat-int.com,"104.18.30.28, 104.18.31.28",deliveryconfigurationapi.justeat-int.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,deliverymanagement.justeat-int.com,"104.18.30.28, 104.18.31.28",deliverymanagement.justeat-int.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,dev.just-data.io,10.151.196.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.8,"ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e2.googledomains.com","_globalsign-domain-verification=blIBK-zGJsRDzROWCD0tx9hnr1jB4CJ299HQr_anI2, _globalsign-domain-verification=D-QWbI3Kfq01-Gy9GeSmvwbMwGAYOkvTXta6XhUXP0"
,dr-ie-partnerapi.just-eat.io,"104.18.28.208, 104.18.29.208",dr-ie-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,dr-uk-partnerapi.just-eat.io,"104.18.29.208, 104.18.28.208",dr-uk-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,es-partnerapi.just-eat.io,"104.18.28.208, 104.18.29.208",es-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,fat.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,genesis.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,genesis.preprod.just-data.io,10.106.112.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.106.112.8,,
,gimme-data.infra.just-data.io,10.119.68.63,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.119.68.63,,
,gimme.infra-dev.just-data.io,10.117.196.44,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.117.196.44,,
,gimme.infra.just-data.io,10.119.68.63,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.119.68.63,,
,gke-ingress.infra-dev.just-data.io,10.117.196.69,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.117.196.69,,
,grafana.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,grafana.infra-dev.just-data.io,10.117.196.44,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.117.196.44,,
,grafana.infra.just-data.io,10.119.68.63,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.119.68.63,,
,grafana.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,grafana.ml-dev.just-data.io,10.176.224.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.176.224.8,,
,grafana.preprod.just-data.io,10.106.112.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.106.112.8,,
,grafana.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,i18n.api.just-eat.io,"104.18.29.208, 104.18.28.208",i18n.api.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,ie-partnerapi.just-eat.io,"104.18.28.208, 104.18.29.208",ie-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,infra.just-data.io,35.244.202.138,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,"ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b1.googledomains.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/misc/je-goals-ingress"
,it-invoicingmanagement.justeat-int.com,"104.18.30.28, 104.18.31.28",it-invoicingmanagement.justeat-int.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,it-partnerapi.just-eat.io,"104.18.29.208, 104.18.28.208",it-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,jenkins-new.infra.just-data.io,10.119.68.63,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.119.68.63,,
,jenkins.infra-dev.just-data.io,10.117.196.44,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.117.196.44,,
