new,host,a,soa,status_code,cdn,cdn-name,cname,ns,mx,txt,aaaa,has_internal_ips,internal_ips,caa
[x],abritel.fr,199.247.90.18,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,"dns1.p09.nsone.net, dns2.p09.nsone.net, dns3.p09.nsone.net, dns4.p09.nsone.net, pdns1.ultradns.net, pdns2.ultradns.net, pdns3.ultradns.org, pdns4.ultradns.org, pdns5.ultradns.info, pdns6.ultradns.co.uk","mx1a.expedia.com, mx1b.expedia.com, mailcorp.expedia.com","MS=ms25148234, 00d1a000000zzrreak, d5t3toq01f18jkl4hcllp12gk0, gdr5m1bg382e5odvu0t0dsnq9r, vgoomo1eg28brq41gp2bli81n8, gr0yxjgc3c4wmk4g5v1zx6hc5601w3cv, spf2.0/pra include:_auth.messagegears.net -all, msvalidate.01: 13E3718E75860B294237005D7611F809, Validity-DomainVerification=M7anjkdLSIe279_lLHGI129qQ=, facebook-domain-verification=h1wrooq3t92knumz5rok2707zhg0px, google-site-verification=vkiLIBFH8iXsJLcEEfCeJhDdrY4xHLcQ_IZnxw6x7Uk, _globalsign-domain-verification=Fw09cFhmPL_-Bfg6BV5_NkyDEkXJfmQd4uPViX560A, _globalsign-domain-verification=OYfE_CcZQWFlEEOrR5yVCfCtmiQrm0bBdyUAJyg3qE, _globalsign-domain-verification=d54rFBsUag6X_qZKJTMGIUZQ3Mv9u5qhgcHJ_OWT-C, TteSNlBgejZVcX/WNmIif9WODRnWUBbioU+fiBC15LRKFRu7zLIaLUn6q6GpoDUN5VBl8wISrxds7tULNhDoMA==, v=spf1 include:spf.sendinblue.com include:haspf.com include:_netblocks.google.com include:_spf.messagegears.net include:mktomail.com ~all",,,,
[x],ac.lastminute.co.nz,192.243.228.1,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1856.awsdns-40.co.uk, ns-261.awsdns-32.com, ns-653.awsdns-17.net, ns-1527.awsdns-62.org",inbound.campaign.adobe.com,"google-site-verification=1a_kzy-8-M6MdrymqdmIZnEcmfBsZwTcjpzhDUuNprw, v=spf1 ip4:130.248.210.0/24 ~all, 98vanlm3qgqb004tudvsdfk8bu",,,,
[x],ac.travelocity.com,192.243.228.1,"ns-435.awsdns-54.com, awsdns-hostmaster.amazon.com",NOERROR,,,ac.travelocity.com.cname.campaign.adobe.com,,inbound.campaign.adobe.com,"google-site-verification=smFK3tBxp48Uoo-ZUvPLQc_7dpc8RAxoULZM4kMvoIk, google-site-verification=ic9YpeqM9lt8ai3OHRBT9Rniyqwjr-gECDc2ouhFeIU, v=spf1 ip4:172.82.197.0/24 ip4:172.82.216.0/24 ip4:172.82.217.0/24 ip4:172.82.218.0/24 -all",,,,
[x],access-bel.expedia.biz.ar.expedia.com,208.95.100.10,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],access-chc.expedia.biz.ar.expedia.com,216.251.112.201,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],access-eu.expedia.biz.ar.expedia.com,91.198.24.26,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],access.expedia.com,,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],accommodation.ebookers.com,"34.197.121.219, 34.228.163.56","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"www.octopustravel.com, urlforward.namebright.com, cdl-lb-1356093980.us-east-1.elb.amazonaws.com",,,,,,,
[x],accounts.homeaway.com,"95.101.74.148, 95.101.74.132","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"homeaway.com.edgekey.net, e111201.x.akamaiedge.net",,,,,,,
[x],activate.hotels.com,,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],acweb.orbitz.com,,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ad.travelocity.com,199.204.31.93,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],ad2.hotels.com,12.14.172.204,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],adaptive-alerting-test.test.monitoring.expedia.com,54.148.237.51,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,adaptive-alerting-test-nodes-elb-528567084.us-west-2.elb.amazonaws.com,,,,,,,
[x],adaptive-alerting.prod.monitoring.expedia.com,35.163.45.156,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,adaptive-alerting-nodes-elb-1139529630.us-west-2.elb.amazonaws.com,,,,,,,
[x],adbuilder.expedia.com,"18.235.54.52, 107.23.238.9","ns-1318.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,expdc-prod.self-service.danads.com,,,,,,,
[x],admedia.expedia.com,,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],admin-stage.stayz.com.au,103.254.47.20,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],admin-test.stayz.com.au,103.254.47.15,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,"pdns3.ultradns.org, pdns2.ultradns.net, pdns1.ultradns.net, pdns5.ultradns.info, pdns4.ultradns.org, dns2.p09.nsone.net, dns3.p09.nsone.net, dns4.p09.nsone.net, dns1.p09.nsone.net, pdns6.ultradns.co.uk",,,,,,
[x],admin.homeaway.com,"2.23.209.192, 2.23.209.154","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"homeaway.com.edgekey.net, e111201.x.akamaiedge.net",,,,,,,
[x],admin.stayz.com.au,199.247.90.18,,NOERROR,,,stayz.com.au,,,,,,,
[x],admin.vrbo.com,"184.86.251.8, 184.86.251.16","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"vrbo.com.edgekey.net, e15972.x.akamaiedge.net",,,,,,,
[x],admin.wotif.com,202.125.108.5,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],adreports.expedia.com,216.251.120.230,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],ads.prodp.hotwire.com,"54.241.150.79, 54.193.79.147","ns-310.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,ads.us-west-1.prodp.hotwire.com,,,,,,,
[x],ads.vrbo.com,199.247.90.31,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],adsmanager.expedia.com,216.251.121.0,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],advertising.expedia.com,184.106.100.179,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],advisors.hotels.com,63.251.59.98,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
