new,host,soa,status_code,a,cname,cdn,cdn-name,ns,txt,mx
[x],0.cdn.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],000.challenge-api.udacity.comu.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],057084.wikns.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],0dhsrp.wufi.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,"dns1.itsfogo.com, dns2.itsfogo.com, dns6.itsfogo.com, dns3.itsfogo.com, dns5.itsfogo.com, dns4.itsfogo.com",,
[x],0lent.toronto.fishingtv9.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],1.base.maps.api.be-okta-tqtelethon.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],125-krit.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],12726-web17944.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],134-133sites.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],166-1731.chase.com-id.updt.secu-i288sss9999sd9da.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],182rit.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],18c-dooob2kh2.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],198filehosting.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],1d381-web17944.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],1d381.shukri.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],204-246.massacre.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],20winematograficamentefalando.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],214.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],236-104-eu20.hana.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],23703hcisbp.eu1.hana.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],24867-viesxi3.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],28457.maruni-seiki-com.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],2e51e-bslt.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],2m1ibary-tv.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],3080rit.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],310-web6537.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],36707-195595.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],369918382.qzoneut.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],4989119rhv.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],4a.cdn.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],6ju20.hana.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],77hv.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,"dns1.itsfogo.com, dns2.itsfogo.com, dns6.itsfogo.com, dns3.itsfogo.com, dns5.itsfogo.com, dns4.itsfogo.com",,
[x],7fp-viesxi3.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],81m-mono.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],8hu.viesxi3.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],963eb.01.iact.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],9c2maruni-seiki-com.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],9z89e1.tdumem.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],a8cell1.us-west-2.ryhicke.test.ubiquity.aws.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],active-ap-soutboundeckoutbounding.beta.w6.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],actualidadyanalisis-glsbike2.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],adbackchem.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],adm.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],administratorwww.arthur.admin.dev.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],affiliates.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],agentweb6537.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,"dns1.itsfogo.com, dns2.itsfogo.com, dns6.itsfogo.com, dns3.itsfogo.com, dns5.itsfogo.com, dns4.itsfogo.com",,
[x],ahukewjqnkhambjiahuyj.logs-platform.fr-wu.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],al6.css.getkickbox.com.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],alt2.iu.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],amcld.w6.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],angela02173krit.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],apaya8.higgs.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.134.91, 195.72.135.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
[x],api-classic.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.110, 104.18.33.146",,True,cloudflare,,,
[x],api-doc.unikrn.com,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.33.146, 172.64.154.110",,True,cloudflare,,,
[x],api-tw-sb.beta.billing.bid-dashboard-qa.s.pinion.gg,"dns1.itsfogo.com, hostmaster.ascio.net",NOERROR,"195.72.135.91, 195.72.134.91","redirex.itsfogo.com, sb-91.itsfogo.com",,,,,
