new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,caa
,autodiscover.natur.com,"52.97.229.216, 52.98.239.136, 52.98.240.56, 52.98.239.152, 52.98.229.168, 52.97.190.40, 52.98.240.152, 52.98.240.88","2603:1026:c0e:20::8, 2603:1026:c0e:86d::8, 2603:1026:c0e:80d::8, 2603:1026:c0e:861::8, 2603:1026:c0e:866::8, 2603:1026:c0e:865::8, 2603:1026:c0e:86b::8, 2603:1026:c0e:870::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,
,enterpriseenrollment.natur.com,13.74.111.192,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,
,lyncdiscover.natur.com,52.112.193.16,2603:1027:0:3::e,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,
,mail.natur.com,"104.26.9.249, 104.26.8.249, 172.67.70.228","2606:4700:20::681a:8f9, 2606:4700:20::ac43:46e4, 2606:4700:20::681a:9f9",,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,msoid.natur.com,"40.126.29.13, 40.126.29.8, 40.126.29.6, 40.126.29.10, 40.126.29.7, 40.126.29.9, 40.126.29.11, 40.126.29.14",,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net","internal.akadns.net, hostmaster.akamai.com",NOERROR,True,azure,,,,
,natur.com,"104.26.9.249, 172.67.70.228, 104.26.8.249","2606:4700:20::681a:8f9, 2606:4700:20::681a:9f9, 2606:4700:20::ac43:46e4",,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"natur-com.mail.protection.outlook.com, mx1.dnsmadeeasy.com, mx2.dnsmadeeasy.com, mx3.dnsmadeeasy.com, _dc-mx.1ef0054d926f.natur.com","ram.ns.cloudflare.com, erin.ns.cloudflare.com",v=spf1 include:spf.protection.outlook.com ip4:172.246.27.64 include:_spf.perfora.net include:_spf.kundenserver.de -all,"comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, sectigo.com"
,sip.natur.com,52.112.192.139,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,
,www.mail.natur.com,,,,,NOERROR,,,,,,
,www.ssl.natur.com,,,,,NOERROR,,,,,,
