input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn
asm.bitdiscovery.com,,,37,asm.bitdiscovery.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,CN=bitdiscovery.com,bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,asm.bitdiscovery.com,443,https://asm.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,54.177.28.14,Nginx:1.18.0,1,
assetreport.bitdiscovery.com,The Bit Discovery Internet Asset Inventory Report,,6210,assetreport.bitdiscovery.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,CN=bitdiscovery.com,bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,assetreport.bitdiscovery.com,443,https://assetreport.bitdiscovery.com:443,https,Apache/2.4.53 (Amazon),text/html,GET,52.8.210.217,Node.js,188,
bitdiscovery.com,Tenable - Attack Surface Management,,6274,bitdiscovery.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,CN=bitdiscovery.com,bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,bitdiscovery.com,443,https://bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,54.183.212.192,Nginx:1.18.0,141,
chubb.bitdiscovery.com,Chubb - Attack Surface Management,,4246,chubb.bitdiscovery.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,CN=bitdiscovery.com,bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,chubb.bitdiscovery.com,443,https://chubb.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,54.183.212.192,Nginx:1.18.0,112,
dev.bitdiscovery.com,Tenable - Attack Surface Management,,6274,dev.bitdiscovery.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,CN=bitdiscovery.com,bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,dev.bitdiscovery.com,443,https://dev.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,52.52.210.168,Nginx:1.18.0,141,
events.bitdiscovery.com,It's a NaN-Issue,,7992,events.bitdiscovery.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,CN=bitdiscovery.com,bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,events.bitdiscovery.com,443,https://events.bitdiscovery.com:443,https,Apache/2.4.53 (Amazon),text/html,GET,52.8.194.176,Node.js,237,
https://api-iam.intercom.io,Making Internet Business Personal | Intercom,,969544,www.intercom.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,CN=*.intercom.com,*.intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,www.intercom.com,443,https://api-iam.intercom.io:443,https,nginx,text/html,GET,44.209.97.165,Nginx,12,
https://api.amplitude.com,,,13,api.amplitude.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,CN=*.amplitude.com,*.amplitude.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,ctls,api.amplitude.com,443,https://api.amplitude.com:443,https,,text/html,GET,44.235.172.47,HSTS,1,
https://cdn.amplitude.com,,,243,cdn.amplitude.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,CN=cdn.amplitude.com,cdn.amplitude.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,cdn.amplitude.com,443,https://cdn.amplitude.com:443,https,AmazonS3,application/xml,GET,52.222.206.178,Amazon Web Services,2,True
https://cdn.pendo.io,,,300,cdn.pendo.io,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,CN=cdn.pendo.io,cdn.pendo.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,cdn.pendo.io,443,https://cdn.pendo.io:443,https,UploadServer,application/xml,GET,18.66.112.94,Amazon Web Services,1,True
https://cdn.rollbar.com,Rollbar | Error Logging & Tracking Service for Software Teams,,122868,cdn.rollbar.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=cdn.rollbar.com,cdn.rollbar.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,cdn.rollbar.com,443,https://cdn.rollbar.com:443,https,nginx,text/html,GET,13.32.99.9,Yoast SEO:20.6,1874,True
