new,host,a,soa,status_code,cname,ns,aaaa,mx,txt,cdn,cdn-name,caa
[x],api.h11.sentiance.com,,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,h11-frontend-api-1539919546.ap-southeast-1.elb.amazonaws.com,,,,,,,
[x],api.p9.sentiance.com,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,p9-frontend-api-1324689974.us-east-1.elb.amazonaws.com,,,,,,,
[x],api.sentiance.com,"54.247.144.159, 52.212.188.77, 54.75.171.60","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,u1-frontend-api-513568086.eu-west-1.elb.amazonaws.com,,,,,,,
[x],artifactory.sentiance.com,"52.51.233.8, 54.195.203.226, 52.209.27.219","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,s5-tooling-tooling-1360600691.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,,,
[x],b.sentiance.com,,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],developer.sentiance.com,"18.200.83.152, 52.19.23.183, 52.49.29.101","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,u1-frontend-tools-1242742034.eu-west-1.elb.amazonaws.com,,,,,,,
[x],developers.sentiance.com,"52.49.29.101, 52.19.23.183, 18.200.83.152","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,u1-frontend-tools-1242742034.eu-west-1.elb.amazonaws.com,,,,,,,
[x],docs.sentiance.com,,"dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"hosting.gitbook.com, hosting.gitbook.io",,"2606:4700::6812:275, 2606:4700::6812:375",,,True,cloudflare,"letsencrypt.org, digicert.com, pki.goog"
[x],e6.sentiance.com,,,NOERROR,,,,,,,,
[x],firehose-sink.h11.sentiance.com,13.229.43.172,"ns-448.awsdns-56.com, awsdns-hostmaster.amazon.com",NOERROR,h11-frontend-tools-sec-640a9302ea12aef1.elb.ap-southeast-1.amazonaws.com,,,,,,,
[x],firehose-sink.p9.sentiance.com,"44.208.250.178, 18.215.23.81, 3.224.116.61","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,p9-frontend-tools-302599506.us-east-1.elb.amazonaws.com,,,,,,,
[x],firehose-sink.sentiance.com,63.35.18.209,"ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,u1-frontend-tools-sec-e3a088fbc663a0f6.elb.eu-west-1.amazonaws.com,"ns-1243.awsdns-27.org, ns-1566.awsdns-03.co.uk, ns-272.awsdns-34.com, ns-638.awsdns-15.net",,,,,,
[x],firehose.p9.sentiance.com,"3.224.116.61, 44.208.250.178, 18.215.23.81","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,p9-frontend-tools-302599506.us-east-1.elb.amazonaws.com,,,,,,,
[x],frontend-components.sentiance.com,"18.244.146.109, 18.244.146.12, 18.244.146.36, 18.244.146.114, 205.251.193.28, 205.251.196.235, 205.251.198.152","ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,dgat1xvasr7w4.cloudfront.net,"ns-700.awsdns-23.net, ns-1688.awsdns-19.co.uk, ns-284.awsdns-35.com, ns-1259.awsdns-29.org",2600:9000:5302:bc00::1,,,True,cloudfront,
[x],g2.sentiance.com,,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],h11.sentiance.com,,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],insights.h11.sentiance.com,"3.1.170.2, 52.77.72.100, 13.213.150.222","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,h11-frontend-tools-1729262510.ap-southeast-1.elb.amazonaws.com,,,,,,,
[x],insights.p9.sentiance.com,"3.224.116.61, 18.215.23.81, 44.208.250.178","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,p9-frontend-tools-302599506.us-east-1.elb.amazonaws.com,,,,,,,
[x],jobs.sentiance.com,"188.114.97.3, 188.114.96.3","alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"2a06:98c1:3120::3, 2a06:98c1:3121::3",,,True,cloudflare,
[x],journeys-api.sentiance.com,"54.195.177.230, 99.80.59.43","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,m12-frontend-api-890305320.eu-west-1.elb.amazonaws.com,,,,,,,
[x],journeys-coaching-preprod.sentiance.com,"54.246.206.193, 52.215.74.148, 54.77.88.52","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,g2-frontend-tools-1998528699.eu-west-1.elb.amazonaws.com,,,,,,,
[x],journeys-coaching.sentiance.com,"18.200.83.152, 52.49.29.101, 52.19.23.183","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,u1-frontend-tools-1242742034.eu-west-1.elb.amazonaws.com,,,,,,,
[x],journeys-preprod-api.sentiance.com,"18.202.140.41, 34.250.162.221","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,m12-frontend-j2-preprod-api-arm-1358159107.eu-west-1.elb.amazonaws.com,,,,,,,
[x],kibana-modrules.b.sentiance.com,54.144.128.85,,NOERROR,,,,,,,,
[x],mail.sentiance.com,,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,feedback-smtp.eu-west-1.amazonses.com,v=spf1 include:amazonses.com ~all,,,
[x],mtls-preprod-api.sentiance.com,54.75.98.171,"ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,g2-frontend-api-sec-39d5210a256d243b.elb.eu-west-1.amazonaws.com,,,,,,,
[x],preprod-firehose.sentiance.com,"52.215.74.148, 54.246.206.193, 54.77.88.52","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,g2-frontend-tools-1998528699.eu-west-1.elb.amazonaws.com,,,,,,,
[x],preprod-insights.sentiance.com,"52.215.74.148, 54.246.206.193, 54.77.88.52","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,g2-frontend-tools-1998528699.eu-west-1.elb.amazonaws.com,,,,,,,
[x],r10.sentiance.com,,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],resources.sentiance.com,"54.246.79.203, 63.32.243.114, 52.17.221.225","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,s5-frontend-resources-720566903.eu-west-1.elb.amazonaws.com,,,,,,,
[x],rocinante.b.sentiance.com,3.105.210.14,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],sentiance.com,5.134.4.211,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"uma.ns.cloudflare.com, alex.ns.cloudflare.com",2a00:1c98:1000:1213:0:2:d658:a5fc,"alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","google-site-verification=wJTYrACn5TXgkU7Sg3n8LiB-r0eT_bMN1vBEwbGWWbQ, google-site-verification=nD4ZyWLh2KfdcZN61kQzK1wbV_IPzRBz301_yM20uyw, v=spf1 include:_spf.google.com include:spf.mandrillapp.com include:amazonses.com include:servers.mcsv.net include:19652274.spf04.hubspotemail.net -all, atlassian-domain-verification=XoKHDwbxN1ikJ+OEfTC2d3X4jzUo3/jmE0o0QP12AAwnqTEnf/e/oMMSKNC0LaIT, google-site-verification=GCOQEyqUL_gMFiBsfydGo-TkhiuRu1CEIpt6-xjiOYk",,,
[x],serenity.b.sentiance.com,63.32.171.224,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
