input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
bucketedgetee-upload-staging-eze1-1.img5.twist.com,ERROR: The request could not be satisfied,502,951,bucketedgetee-upload-staging-eze1-1.img5.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,bucketedgetee-upload-staging-eze1-1.img5.twist.com,cloudfront,443,https://bucketedgetee-upload-staging-eze1-1.img5.twist.com:443,https,CloudFront,text/html,GET,13.224.189.119,/,217268289,13.224.189.6,Amazon Web Services,20,False,True,
client.android.twist.com,ERROR: The request could not be satisfied,502,951,client.android.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,client.android.twist.com,cloudfront,443,https://client.android.twist.com:443,https,CloudFront,text/html,GET,13.224.189.119,/,550807906,13.224.189.25,Amazon Web Services,20,False,True,
clientsurvey.img5.twist.com,ERROR: The request could not be satisfied,502,951,clientsurvey.img5.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,clientsurvey.img5.twist.com,cloudfront,443,https://clientsurvey.img5.twist.com:443,https,CloudFront,text/html,GET,13.224.189.6,/,1872723863,13.224.189.25,Amazon Web Services,20,False,True,
cloud.staging.twist.com,Twist: Organized work communication for flexible teams,200,137182,cloud.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,cloud.staging.twist.com,cloudfront,443,https://cloud.staging.twist.com:443,https,,text/html,GET,18.66.97.5,/,-1840324437,18.66.97.114,webpack,5,False,True,
cloudgz-ecs.gravityzone.bitdefender.comliveist.twist.com,ERROR: The request could not be satisfied,502,951,cloudgz-ecs.gravityzone.bitdefender.comliveist.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,cloudgz-ecs.gravityzone.bitdefender.comliveist.twist.com,cloudfront,80,http://cloudgz-ecs.gravityzone.bitdefender.comliveist.twist.com:80,http,CloudFront,text/html,GET,13.224.189.119,/,-1509478957,13.224.189.113,Amazon Web Services,20,False,True,https://cloudgz-ecs.gravityzone.bitdefender.comliveist.twist.com/
cnsha4-corpclient-vpn2.img5.twist.com,ERROR: The request could not be satisfied,502,951,cnsha4-corpclient-vpn2.img5.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,cnsha4-corpclient-vpn2.img5.twist.com,cloudfront,80,http://cnsha4-corpclient-vpn2.img5.twist.com:80,http,CloudFront,text/html,GET,13.224.189.25,/,-1194604421,13.224.189.119,Amazon Web Services,20,False,True,https://cnsha4-corpclient-vpn2.img5.twist.com/
comet.twist.com,Twist: Organized work communication for flexible teams,200,137015,comet.twist.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,comet.twist.com,,443,https://comet.twist.com:443,https,,text/html,GET,52.70.1.112,/,1152129266,3.234.98.234,webpack,5,False,,
confluence-customers-config-meta.img5.twist.com,ERROR: The request could not be satisfied,502,951,confluence-customers-config-meta.img5.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,confluence-customers-config-meta.img5.twist.com,cloudfront,443,https://confluence-customers-config-meta.img5.twist.com:443,https,CloudFront,text/html,GET,13.224.189.113,/,-554033157,13.224.189.25,Amazon Web Services,20,False,True,
confluenceawsexamplesbackup.staging.twist.com,Twist: Organized work communication for flexible teams,200,137204,confluenceawsexamplesbackup.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,confluenceawsexamplesbackup.staging.twist.com,cloudfront,443,https://confluenceawsexamplesbackup.staging.twist.com:443,https,,text/html,GET,18.66.97.5,/,-1840324437,18.66.97.16,webpack,5,False,True,
confluencepaypams.img5.twist.com,ERROR: The request could not be satisfied,502,951,confluencepaypams.img5.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,confluencepaypams.img5.twist.com,cloudfront,80,http://confluencepaypams.img5.twist.com:80,http,CloudFront,text/html,GET,13.224.189.25,/,889736868,13.224.189.6,Amazon Web Services,20,False,True,https://confluencepaypams.img5.twist.com/
