input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_subject_org_,cdn_name,cdn,csp_domains_,final_url,tls_mismatched
*.amplitude.com,Amplitude | Product Analytics & Event Tracking Platform | Amplitude,200,162661,443,https://amplitude.com:443,https,nginx/1.22.0,text/html,GET,76.223.69.48,/,1001190211,13.248.219.127,webpack,1,False,amplitude.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-14T23:59:59Z,CN=*.amplitude.com,*.amplitude.com,amplitude.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,4666e0796ab29d5bbff77ea132d95ee2,b6fb73c2f4a87e5f215e1fd93dcfbdfe444fbd5254fb16a2eeef91fbcbeca6a0,True,ctls,amplitude.com,,,,,,
*.ampproject.org,AMP - a web component framework to easily create user-first web experiences - amp.dev,200,137905,443,https://ampproject.org:443,https,Netlify,text/html,GET,172.217.18.110,/,280020751,2a00:1450:4001:809::200e,Netlify,43,False,amp.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T11:00:15Z,2023-06-13T11:00:14Z,CN=amp.dev,amp.dev,www.amp.dev,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cb841a0c968228d638ad5d13c559ff16,6e9bea1965980169b7110e08373f61a3dd0b452ccdf968c5ec9136cd1db90d1b,,ctls,amp.dev,,,,,https://amp.dev/,
*.facebook.com,Facebook - log in or sign up,200,61604,443,https://facebook.com:443,https,,text/html,GET,157.240.251.35,/,142313513,2a03:2880:f108:83:face:b00c:0:25de,HTTP/3,20,False,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-18T00:00:00Z,2023-05-19T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,63e07ca5d96aee3775b2c28046eff557,e76425a78a595dd7d06572359e47b21d1d20ab4527fac974be7b8748593eed6d,True,ctls,m.facebook.com,"Meta Platforms, Inc.",,,googleads.g.doubleclick.net,https://m.facebook.com/?wtsid=rdr_0R39UnuaINf1esOO5,
*.getsitecontrol.com,Popups Designed to Turn Visitors into Leads | Getsitecontrol,200,192604,443,https://getsitecontrol.com:443,https,nginx/1.19.1,text/html,GET,3.223.14.145,/,-1989523845,52.3.2.248,Nginx:1.19.1,29,False,getsitecontrol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-07T08:31:12Z,2024-04-07T08:31:12Z,CN=*.getsitecontrol.com,*.getsitecontrol.com,getsitecontrol.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9ed3e6f2929cff9d9da2b42ddfc632f7,9f5ab3ec7cac1c2dd43ee97f975131a1583fe3418ba7236e614a98930207efba,True,ctls,getsitecontrol.com,,,,,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,443,https://google-analytics.com:443,https,sffe,text/html,GET,172.217.16.196,/,302920777,2a00:1450:4001:806::2004,HTTP/3,1831,False,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,
*.google.com,Google,200,202397,443,https://google.com:443,https,gws,text/html,GET,142.250.186.174,/,708578229,2a00:1450:4001:82b::200e,HTTP/3,134,False,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,,,https://csp.withgoogle.com/csp/gws/other-hp,https://www.google.com/,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,443,https://gstatic.com:443,https,sffe,text/html,GET,142.250.185.227,/,302920777,2a00:1450:4001:82b::2003,HTTP/3,12,False,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,www.gstatic.com,,,,,https://www.gstatic.com/,
*.intercom.io,Making Internet Business Personal | Intercom,200,969161,443,https://intercom.io:443,https,nginx,text/html,GET,52.222.214.20,/,956789705,52.222.214.95,Nginx,12,False,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,cloudfront,True,app-sjqe.marketo.com,https://www.intercom.com/,
*.intercomcdn.com,Making Internet Business Personal | Intercom,200,969147,443,https://intercomcdn.com:443,https,nginx,text/html,GET,18.66.112.20,/,511781142,18.66.112.59,Nginx,12,False,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,cloudfront,True,fonts.googleapis.com,https://www.intercom.com/,
*.pingdom.net,Website Performance and Availability Monitoring - Pingdom,200,121180,443,https://pingdom.net:443,https,nginx,text/html,GET,104.22.55.104,/,-1840324437,2606:4700:10::6816:3768,Yoast SEO:19.10,807,False,www.pingdom.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=www.solarwinds.com, O=SolarWinds Worldwide\, LLC, L=Austin, ST=Texas, C=US",www.solarwinds.com,blog.appoptics.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5412615dfbb43e935d918783a0eb8437,94f0625b63df487ba07d297c6c03577fb2d890379667e14fdda7fae91c78f6b6,,ctls,www.pingdom.com,"SolarWinds Worldwide, LLC",cloudflare,True,https://nurture.solarwinds.com/,https://www.pingdom.com/,
*.pinimg.com,Pinterest,200,253985,443,https://pinimg.com:443,https,,text/html,GET,151.101.64.84,/,1528355650,151.101.128.84,React,37,False,www.pinterest.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-01T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f7412efe8b13832f29f985a0e494be4f,6544c876b14faae477aa96d62e8ab53bd7170396b29588aedd208c200462244f,True,ctls,www.pinterest.com,"Pinterest, Inc.",fastly,True,pinterest-poughkeepsie.s3.amazonaws.com,https://www.pinterest.com/,
*.stripe.com,Stripe: Nicht unterstützter Browser,200,226718,443,https://stripe.com:443,https,nginx,text/html,GET,54.187.159.182,/,-775460117,54.187.119.242,Nginx,723,False,stripe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2023-07-12T23:59:59Z,"CN=stripe.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",stripe.com,www.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,fd7d32025ddf333c5e3a24f5780976b9,29cf00cc1c209a7c85bfdc2c0b7c0f47e959884568ca1f267e3e842f081d971c,,ctls,stripe.com,"Stripe, Inc",,,https://y4pfttj91h-dsn.algolia.net/1/indexes/mkt_partners/query,https://stripe.com/de/unsupported-browser?location=%2Fde,
*.typeform.com,Typeform: People-Friendly Forms and Surveys,200,454660,443,https://typeform.com:443,https,istio-envoy,text/html,GET,99.86.4.125,/,-1902541553,99.86.4.38,Node.js,1041,False,www.typeform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-29T23:59:59Z,CN=*.typeform.com,*.typeform.com,typeform.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8e1477c166714b5937c19a1b04935cd7,62c86491abbae2a2d7b0e004e4272e8e7702abd68f392842f77bcfe405929c25,True,ctls,www.typeform.com,,cloudfront,True,*.google.com,https://www.typeform.com/,
*.vimeo.com,Vimeo – Video Experience Platform,200,282612,443,https://vimeo.com:443,https,cloudflare,text/html,GET,162.159.138.60,/,1154390870,162.159.128.61,Varnish,520,False,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,True,ctls,vimeo.com,"Cloudflare, Inc.",cloudflare,True,https:,,
*.zscaler.com,The Zero Trust Leader | Zscaler,200,795767,443,https://zscaler.com:443,https,cloudflare,text/html,GET,104.18.29.74,/,1683512394,104.18.28.74,Varnish,2016,False,www.zscaler.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-09T23:59:59Z,"CN=www.zscaler.com, O=Zscaler\, Inc., L=San Jose, ST=California, C=US, serialNumber=4431830, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.zscaler.com,cms.zscaler.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,97448e5c3d9d9a8480aab579bcf1e2a5,2dd675aa88b84a2412fc1f90001fccdc271dda6929b0e438daf6c4390dcbc04a,,ctls,www.zscaler.com,"Zscaler, Inc.",cloudflare,True,image2.pubmatic.com,https://www.zscaler.com,
114-111-70.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://114-111-70.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,114-111-70.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,114-111-70.stripocdn-test10.stripo.email,,,,,,
155-9-171-80.stripocdn-test10.stripo.email,404 Not Found,404,548,443,https://155-9-171-80.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,155-9-171-80.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,155-9-171-80.stripocdn-test10.stripo.email,,,,,,
155-9-182-29.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://155-9-182-29.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,155-9-182-29.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,155-9-182-29.stripocdn-test10.stripo.email,,,,,,
155-9-183-67.stripocdn-test10.stripo.email,404 Not Found,404,548,80,http://155-9-183-67.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,,,,,,,,,,,,,,,,,,,,,,,,
155-9-192-32.stripocdn-test2.stripo.email,404 Not Found,404,146,443,https://155-9-192-32.stripocdn-test2.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,155-9-192-32.stripocdn-test2.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-15T10:26:16Z,2023-05-16T10:26:15Z,CN=*.stripocdn-test2.stripo.email,*.stripocdn-test2.stripo.email,stripocdn-test2.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3762165568aec3e3a12ff8c167095325,07d7eb83750b4995de419594b55a1b900697a735852339bc7f84b74ade0859b9,True,ctls,155-9-192-32.stripocdn-test2.stripo.email,,,,,,
155-9-193-36.stripocdn-test10.stripo.email,404 Not Found,404,146,443,https://155-9-193-36.stripocdn-test10.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,155-9-193-36.stripocdn-test10.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T12:34:13Z,2023-05-17T12:34:12Z,CN=*.stripocdn-test10.stripo.email,*.stripocdn-test10.stripo.email,stripocdn-test10.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2a832af0666c9981b773bee7c4d17b61,c05718f6df03f5b4c9bc189dc0e15603bfc0287b3725674b6c6def5cd95fb7c5,True,ctls,155-9-193-36.stripocdn-test10.stripo.email,,,,,,
155-9-193-88.stripocdn-test10.stripo.email,404 Not Found,404,548,80,http://155-9-193-88.stripocdn-test10.stripo.email:80,http,nginx,text/html,GET,52.16.207.172,/,566218143,52.16.207.172,Nginx,14,False,,,,,,,,,,,,,,,,,,,,,,,,
