input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,tech_,tls_mismatched,final_url,csp_domains_,tls_subject_org_,cdn_name,cdn
0.tcp.ap.ngrok.io,,404,54,0.tcp.ap.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:02:32Z,2023-07-19T00:02:31Z,CN=*.ap.ngrok.io,*.ap.ngrok.io,ap.ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e24fe7ed8fde28c921ff4aea48579bff,8ee1bd339bed5ce61c7bf5a2bcc1bcfb781c0a988d549ced101fbcef79a31616,True,ctls,0.tcp.ap.ngrok.io,443,https://0.tcp.ap.ngrok.io:443,https,text/plain,GET,52.220.121.212,/,-1349095708,52.220.121.212,4,False,,,True,,,,,
0.tcp.ngrok.io,,404,51,0.tcp.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:22Z,2023-07-26T00:01:21Z,CN=*.ngrok.io,*.ngrok.io,ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b3c990ec30025a3c3558a9f0e4abbf0a,89a2e2345c75ca0be10a8652d97bdf52330cc1d0f11eaefa90358bf7501a4e5b,True,ctls,0.tcp.ngrok.io,443,https://0.tcp.ngrok.io:443,https,text/plain,GET,3.134.39.220,/,1554746333,3.134.39.220,4,False,,,True,,,,,
0.tcp.sa.ngrok.io,,404,54,0.tcp.sa.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:29Z,2023-07-26T00:01:28Z,CN=*.sa.ngrok.io,*.sa.ngrok.io,sa.ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dc135fc64dfa311cfe5f5fedfb4f27a3,b5e79ee54340cb9d1b28e885d2bffb013c91a402d7df21516e49c3c17452ff49,True,ctls,0.tcp.sa.ngrok.io,443,https://0.tcp.sa.ngrok.io:443,https,text/plain,GET,18.229.146.63,/,-1942170148,18.229.146.63,4,False,,,True,,,,,
0009d286.ngrok.io,,404,54,0009d286.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:22Z,2023-07-26T00:01:21Z,CN=*.ngrok.io,*.ngrok.io,ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b3c990ec30025a3c3558a9f0e4abbf0a,89a2e2345c75ca0be10a8652d97bdf52330cc1d0f11eaefa90358bf7501a4e5b,True,ctls,0009d286.ngrok.io,443,https://0009d286.ngrok.io:443,https,text/plain,GET,3.134.39.220,/,763929938,2600:1f16:d83:1202::6e:5,4,False,,,,,,,,
001715fe.ngrok.io,,404,54,001715fe.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:22Z,2023-07-26T00:01:21Z,CN=*.ngrok.io,*.ngrok.io,ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b3c990ec30025a3c3558a9f0e4abbf0a,89a2e2345c75ca0be10a8652d97bdf52330cc1d0f11eaefa90358bf7501a4e5b,True,ctls,001715fe.ngrok.io,443,https://001715fe.ngrok.io:443,https,text/plain,GET,3.14.182.203,/,-1335711072,2600:1f16:d83:1201::6e:1,4,False,,,,,,,,
0034-112-134-210-164.ngrok.io,,404,66,0034-112-134-210-164.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:22Z,2023-07-26T00:01:21Z,CN=*.ngrok.io,*.ngrok.io,ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b3c990ec30025a3c3558a9f0e4abbf0a,89a2e2345c75ca0be10a8652d97bdf52330cc1d0f11eaefa90358bf7501a4e5b,True,ctls,0034-112-134-210-164.ngrok.io,443,https://0034-112-134-210-164.ngrok.io:443,https,text/plain,GET,3.134.39.220,/,-571413332,2600:1f16:d83:1201::6e:4,4,False,,,,,,,,
0038-188-156-142-185.ngrok-free.app,,404,72,0038-188-156-142-185.ngrok-free.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T17:00:19Z,2023-07-13T17:00:18Z,CN=*.ngrok-free.app,*.ngrok-free.app,ngrok-free.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8035e96c4760c7d9617582f0e9b5d872,e945f16307a09993335b9ee4aa0a97889504dfc745db371acfdc03f576dfccfe,True,ctls,0038-188-156-142-185.ngrok-free.app,443,https://0038-188-156-142-185.ngrok-free.app:443,https,text/plain,GET,3.125.102.39,/,-376951377,2a05:d014:21b:8e00::6e:3,4,False,,,,,,,,
004a074d.ngrok.io,,404,54,004a074d.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:22Z,2023-07-26T00:01:21Z,CN=*.ngrok.io,*.ngrok.io,ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b3c990ec30025a3c3558a9f0e4abbf0a,89a2e2345c75ca0be10a8652d97bdf52330cc1d0f11eaefa90358bf7501a4e5b,True,ctls,004a074d.ngrok.io,443,https://004a074d.ngrok.io:443,https,text/plain,GET,3.13.191.225,/,-1177879159,2600:1f16:d83:1200::6e:0,4,False,,,,,,,,
006627da4220.ngrok.io,,404,58,006627da4220.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:22Z,2023-07-26T00:01:21Z,CN=*.ngrok.io,*.ngrok.io,ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b3c990ec30025a3c3558a9f0e4abbf0a,89a2e2345c75ca0be10a8652d97bdf52330cc1d0f11eaefa90358bf7501a4e5b,True,ctls,006627da4220.ngrok.io,443,https://006627da4220.ngrok.io:443,https,text/plain,GET,3.134.39.220,/,1997869301,2600:1f16:d83:1201::6e:1,4,False,,,,,,,,
00821b4c.ngrok.io,,404,54,00821b4c.ngrok.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:01:22Z,2023-07-26T00:01:21Z,CN=*.ngrok.io,*.ngrok.io,ngrok.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b3c990ec30025a3c3558a9f0e4abbf0a,89a2e2345c75ca0be10a8652d97bdf52330cc1d0f11eaefa90358bf7501a4e5b,True,ctls,00821b4c.ngrok.io,443,https://00821b4c.ngrok.io:443,https,text/plain,GET,3.17.7.232,/,-1583723675,2600:1f16:d83:1201::6e:4,4,False,,,,,,,,
