new,host,a,soa,txt,status_code,mx,cname,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,ns
[x],amnesia.first.org,213.208.154.13,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],api.first.org,213.208.154.9,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],appnode1.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],aws.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],cfp.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],conference.first.org,213.208.154.14,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,www.first.org,,,,,,
[x],create.learn.first.org,199.232.37.91,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,,dualstack.n.sni.global.fastly.net,2a04:4e42:46::347,True,fastly,,,
[x],ctf.first.org,"165.227.251.182, 165.227.251.183","terry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,first.ctfd.io,,,,,,
[x],dokuwiki.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],dues.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],edx-studio.first.org,213.208.154.8,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],edx1.first.org,213.208.154.8,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],files.first.org,213.208.154.4,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],forms.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],health.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],idp.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],imap.first.org,213.208.154.7,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],irc.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a -all,NOERROR,,,,,,,,
[x],iris.first.org,,"demi.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],jira.first.org,172.30.11.34,"demi.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a a:smtp.first.org -all,NOERROR,,,,,,True,172.30.11.34,
