new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,txt,mx,caa,has_internal_ips,internal_ips,ptr
[x],amnesia.nci.nih.gov,137.187.215.16,,,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
[x],andromeda.cit.nih.gov,,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,andromeda.cit.nih.gov,,,,
[x],antivirus.nih.gov,156.40.60.15,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],bi.niaid.nih.gov,128.231.109.205,,biprod-vip.niaid.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],blue.cit.nih.gov,192.168.26.223,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,blue.cit.nih.gov,,True,192.168.26.223,
[x],calendar.nci.nih.gov,156.40.133.195,,ncihttpd-1.nci.nih.gov,"ddi-rsgm.nci.nih.gov, hostmaster.nci.nih.gov",,NOERROR,,,,,,,,
[x],cascade.hhs.gov,158.70.142.93,,,"rh120ns1.368.dhhs.gov, hostmaster.psc.hhs.gov",,NOERROR,,,,,,,,
[x],casper.cit.nih.gov,137.187.100.170,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],cnms.cit.nih.gov,165.112.68.62,,b12-cnms.net.nih.gov,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],cnms.nih.gov,156.40.75.122,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],combomatch.nci.nih.gov,"52.85.242.15, 52.85.242.117, 52.85.242.98, 52.85.242.3","2600:9000:236e:4600:0:ac45:6b00:93a1, 2600:9000:236e:3a00:0:ac45:6b00:93a1, 2600:9000:2240:a400:0:ac45:6b00:93a1, 2600:9000:2240:1600:0:ac45:6b00:93a1, 2600:9000:236e:1000:0:ac45:6b00:93a1, 2600:9000:236e:d200:0:ac45:6b00:93a1, 2600:9000:2240:8200:0:ac45:6b00:93a1, 2600:9000:236e:a000:0:ac45:6b00:93a1",d2s3lux2resy3w.cloudfront.net,"ns-608.awsdns-12.net, awsdns-hostmaster.amazon.com","ns-1087.awsdns-07.org, ns-1565.awsdns-03.co.uk, ns-425.awsdns-53.com, ns-608.awsdns-12.net",NOERROR,True,cloudfront,,,,,,
[x],cra.philab.cdc.gov,12.139.22.56,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
[x],dev-api.pdc.backends.cms.gov,"18.210.163.165, 52.73.32.189","2406:da00:ff00::3449:20bd, 2406:da00:ff00::12d2:a3a5",dualstack.mc-81252-558987883.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],ex.cit.nih.gov,128.231.76.145,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,ex.cit.nih.gov,,,,
[x],exclusions.cit.nih.gov,128.231.57.39,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],fitness.philab.cdc.gov,12.139.22.26,,,"ns2.cdc.gov, hostmaster.cdc.gov",,NOERROR,,,,,,,,
[x],guardian.cit.nih.gov,137.187.195.79,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,v=spf1 include:nih.gov ~all,guardian.cit.nih.gov,,,,
[x],hawk.cit.nih.gov,137.187.34.11,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,hawk.cit.nih.gov,,,,
[x],husky.cit.nih.gov,128.231.76.80,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
[x],hydra.cit.nih.gov,128.231.70.170,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,hydra.cit.nih.gov,,,,
[x],idp.nih.gov,129.43.254.68,2607:f220:41d:21c1::812b:fe44,idp.ha.nci.nih.gov,"ns1.nci.nih.gov, hostmaster.ns1.nci.nih.gov",,NOERROR,,,,,,,,
[x],im.niaid.nih.gov,128.231.240.23,,,"nihblox5.nih.gov, hostmaster.nih.gov",,NOERROR,,,,,,,,
