input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,final_url
admin.clausestaging.com,Clause Admin and Support,200,1446,admin.clausestaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-10-29T23:59:59Z,CN=admin.clausestaging.com,admin.clausestaging.com,admin.clausestaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e449e913e717f9e90d78818ad1422730,970f8d6d3a563d44ee3f5edcedb6213b469b192d0bdd719a40da965bfb7888c2,,ctls,admin.clausestaging.com,,443,https://admin.clausestaging.com:443,https,,text/html,GET,52.35.112.94,/,-1341097201,54.244.24.252,HSTS,1,False,,https://api.clause.io,,
api.clausestaging.com,,200,45,api.clausestaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=api.clausestaging.com,api.clausestaging.com,api.us-west-2.clausestaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bc6079cd46233f379bdc3f28d9f1aafc,1962a24484f3ab0a82cc795c0e572c278edfac0f6b5bb3b007372d1e5ac1dc8b,,ctls,api.clausestaging.com,,443,https://api.clausestaging.com:443,https,,application/json,GET,52.88.140.144,/,484995193,35.166.230.25,HSTS,1,False,,,,
api.us-west-2.clausestaging.com,,200,45,api.us-west-2.clausestaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=api.clausestaging.com,api.clausestaging.com,api.us-west-2.clausestaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bc6079cd46233f379bdc3f28d9f1aafc,1962a24484f3ab0a82cc795c0e572c278edfac0f6b5bb3b007372d1e5ac1dc8b,,ctls,api.us-west-2.clausestaging.com,,443,https://api.us-west-2.clausestaging.com:443,https,,application/json,GET,35.166.230.25,/,484995193,52.88.140.144,HSTS,1,False,,,,
blog.clausestaging.com,Taking the Next Step in Our Smart Agreement Journey,200,80430,www.docusign.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-09T00:00:00Z,2023-12-10T23:59:59Z,"CN=www.docusign.com, O=DocuSign\, Inc., L=San Francisco, ST=California, C=US, serialNumber=5711317, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.docusign.com,success.docusign.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,ba981561691ee01cfa93608bf7005398,c9c75aec841fce7a76bcaa6d63ad4ac02fe586043e931efdb0503e47bc8752c2,,ctls,www.docusign.com,cloudfront,80,http://blog.clausestaging.com:80,http,nginx,text/html,GET,13.225.78.88,/,-1700090031,13.225.78.100,Varnish,600,False,True,,"DocuSign, Inc.",https://www.docusign.com/blog/clause-docusign-smart-agreement-journey
callbacks.clausestaging.com,ERROR: The request could not be satisfied,502,960,callbacks.clausestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-10-03T23:59:59Z,CN=clausestaging.com,clausestaging.com,*.clausestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55a6c7c461da8143c7167142558c6ad4,2d49674a94d96d6a5f375832d07329aa7fe198ad7e321b6b6c2b29aea9121325,True,ctls,callbacks.clausestaging.com,cloudfront,443,https://callbacks.clausestaging.com:443,https,CloudFront,text/html,GET,13.32.27.8,/,-733410810,13.32.27.62,Amazon Web Services,20,False,True,,,
clausestaging.com,Clause Inc.,200,3241,clausestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-11T23:59:59Z,CN=clausestaging.com,clausestaging.com,clausestaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7b22a7802d308be0c8e210cec9b98ba3,d398e68e7c01c47508d3012270acaffdf09a24e2ac826cb07c3f953eb3f4022f,,ctls,clausestaging.com,cloudfront,443,https://clausestaging.com:443,https,AmazonS3,text/html,GET,13.32.121.82,/,-441326541,13.32.121.22,Semantic UI,1,False,True,https://ton.twimg.com,,
core-ui.clausestaging.com,Storybook,200,1038,core-ui.clausestaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-11-07T23:59:59Z,CN=core-ui.clausestaging.com,core-ui.clausestaging.com,core-ui.clausestaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1d4eb071b003cfc5475d2b48690fd302,aa971bba042b31ca11c7d3484ce9304df6090bd3ede16ee74f6903977554c7dc,,ctls,core-ui.clausestaging.com,cloudfront,443,https://core-ui.clausestaging.com:443,https,AmazonS3,text/html,GET,143.204.89.114,/,1574384512,143.204.89.5,Amazon Web Services,19,False,True,,,
https://api.clause.io,,200,45,api.clause.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=api.clause.io,api.clause.io,api.us-west-2.clause.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ee3ad6911e0212587e101b1eb3edbdfb,282a84c6f898d181581c0da47ecde6c159f37791a1a7004169277a6bb7794508,,ctls,api.clause.io,,443,https://api.clause.io:443,https,,application/json,GET,34.223.170.190,/,484995193,54.69.184.62,HSTS,1,False,,,,
https://api.clausedev.com,,200,45,api.clausedev.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=api.clausedev.com,api.clausedev.com,api.us-west-2.clausedev.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7bcbf064f0dbdcf2a4498f2d69cd3e52,cfcd4c0131aecc4973972d8d12fa762435035ed57b2d41f880db90539712d769,,ctls,api.clausedev.com,,443,https://api.clausedev.com:443,https,,application/json,GET,44.229.112.127,/,484995193,44.239.9.68,HSTS,1,False,,,,
https://api.clausestaging.com,,200,45,api.clausestaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=api.clausestaging.com,api.clausestaging.com,api.us-west-2.clausestaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bc6079cd46233f379bdc3f28d9f1aafc,1962a24484f3ab0a82cc795c0e572c278edfac0f6b5bb3b007372d1e5ac1dc8b,,ctls,api.clausestaging.com,,443,https://api.clausestaging.com:443,https,,application/json,GET,52.88.140.144,/,484995193,35.166.230.25,HSTS,1,False,,,,
