new,host,a,soa,status_code,cname,cdn,cdn-name,mx,ns,txt,caa,aaaa
,admin.clausestaging.com,"52.35.112.94, 54.244.24.252","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.clausestaging.com,"52.88.140.144, 35.166.230.25","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.us-west-2.clausestaging.com,"35.166.230.25, 52.88.140.144","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,blog.clausestaging.com,"18.165.98.112, 18.165.98.107, 18.165.98.10, 18.165.98.99","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,
,callback.clausestaging.com,"34.211.124.254, 44.238.65.52","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,callbacks.clausestaging.com,"143.204.231.7, 143.204.231.129, 143.204.231.58, 143.204.231.96","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,
,clausestaging.com,"13.32.121.76, 13.32.121.82, 13.32.121.44, 13.32.121.22","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,inbound-smtp.us-west-2.amazonaws.com,"ns-128.awsdns-16.com, ns-579.awsdns-08.net, ns-1702.awsdns-20.co.uk, ns-1074.awsdns-06.org",v=spf1 -all,amazon.com,
,core-ui.clausestaging.com,,"ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,
,get.clausestaging.com,205.201.140.137,"internal.akadns.net, hostmaster.akamai.com",NOERROR,"us18-ae851adb-8cf0074fca045ba81651ad9ea.pages.mailchi.mp, terminator.capstone.com.akadns.net",,,,,,,
,login.clausestaging.com,"104.18.103.2, 104.18.102.2","kolton.ns.cloudflare.com, dns.cloudflare.com",NOERROR,staging-clause-cd-tekqmlymzm05bg5h.edge.tenants.auth0.com,True,cloudflare,,,,"digicert.com, letsencrypt.org","2606:4700::6812:6602, 2606:4700::6812:6702"
,svc-helper-api.clausestaging.com,"44.229.30.141, 44.237.248.116","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,tasks.clausestaging.com,"52.11.6.147, 44.236.247.119","ns-128.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
