new,host,a,aaaa,soa,status_code,cname,mx,ns,txt,cdn,cdn-name
[x],adfs.onhir.gov,65.153.34.35,2001:428:5802:6700::1,"liz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],autodiscover.onhir.gov,"52.98.229.184, 40.99.148.120, 52.97.229.216","2603:1026:c0e:80e::8, 2603:1026:c0e:86d::8, 2603:1026:c0e:871::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,
[x],mail.onhir.gov,65.153.34.35,,"liz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],onhir.gov,"18.66.112.46, 18.66.112.47, 18.66.112.99, 18.66.112.116","2600:9000:2247:8400:2:9ac3:5580:93a1, 2600:9000:2247:5a00:2:9ac3:5580:93a1, 2600:9000:2247:8800:2:9ac3:5580:93a1, 2600:9000:2247:6e00:2:9ac3:5580:93a1, 2600:9000:2247:1e00:2:9ac3:5580:93a1, 2600:9000:2247:8e00:2:9ac3:5580:93a1, 2600:9000:2247:e00:2:9ac3:5580:93a1, 2600:9000:2247:8a00:2:9ac3:5580:93a1","liz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,onhir-gov.mail.protection.outlook.com,"liz.ns.cloudflare.com, west.ns.cloudflare.com","v=spf1 a:mail.onhir.gov include:spf.protection.outlook.com -all, hes6jp1jau41ehugvvnqn0a3ld, MS=ms32101036",True,cloudfront
[x],www.adfs.onhir.gov,,,"liz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],www.mail.onhir.gov,,,"liz.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],www.onhir.gov,"18.66.112.116, 18.66.112.47, 18.66.112.46, 18.66.112.99","2600:9000:223f:3200:2:9ac3:5580:93a1, 2600:9000:223f:1c00:2:9ac3:5580:93a1, 2600:9000:223f:6e00:2:9ac3:5580:93a1, 2600:9000:223f:5e00:2:9ac3:5580:93a1, 2600:9000:223f:9600:2:9ac3:5580:93a1, 2600:9000:223f:4a00:2:9ac3:5580:93a1, 2600:9000:223f:ca00:2:9ac3:5580:93a1, 2600:9000:223f:4200:2:9ac3:5580:93a1","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d8x7anwn0vp7a.cloudfront.net,,"ns-340.awsdns-42.com, ns-554.awsdns-05.net, ns-1476.awsdns-56.org, ns-1817.awsdns-35.co.uk",,True,cloudfront
