new,host,a,soa,status_code,cname,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt,aaaa,caa
[x],amce3-ww.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],amq-ram-1.linux.us.ups.com,10.251.2.34,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,True,10.251.2.34,,,,
[x],amq-win-1.linux.us.ups.com,10.251.166.145,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,True,10.251.166.145,,,,
[x],amqdh-txt-2.dmz-gslb.ups.com,153.2.232.203,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],amqdh.dmz-gslb.ups.com,153.2.234.38,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],amqpub-ram.linux.us.ups.com,153.2.9.67,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amqpub-ram2.linux.us.ups.com,153.2.8.41,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amqpub-win.linux.us.ups.com,153.2.137.77,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amqpub-win2.dmz-gslb.ups.com,153.2.137.121,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],amqsub-pom-ram.linux.us.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],amqsub-ram.linux.us.ups.com,153.2.9.68,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amqsub-ram2.linux.us.ups.com,153.2.104.136,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amqsub-win.linux.us.ups.com,153.2.137.78,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,"nsa.ups.com, nsb.ups.com",,,,,,
[x],amqsub-win2.linux.us.ups.com,153.2.112.121,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amrsa.ups.com,"153.2.226.96, 153.2.230.96","resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],ams-sds-request-ga.ups.com,153.2.137.10,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],ams-sds-request-nj.ups.com,153.2.9.17,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amsis-apache2-win.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],amsis-svc-apache2-win.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],amsqueryga.ups.com,153.2.137.29,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amsquerynj.ups.com,153.2.9.75,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],amws4-rip.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],analytics.ups.com,"13.107.253.45, 13.107.226.45","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,"fd-cva-prd.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,,,,,,,"2620:1ec:29:1::45, 2620:1ec:48:1::45",
[x],analyticsapi-dev.ups.com,"13.107.253.44, 13.107.226.44","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,"fd-cva-dev.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0016.t-0009.fb-t-msedge.net, part-0016.t-0009.fb-t-msedge.net",,,,,,,,"2620:1ec:29:1::44, 2620:1ec:48:1::44",
[x],anytail1.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],aosis.dmz-gslb.ups.com,153.2.230.127,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],aosis.ups.com,,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,aosis.dmz-gslb.ups.com,,,,,,,,,
[x],ap.ups.com,"104.126.37.152, 104.126.37.144","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"ap.ups.com.edgekey.net, e98564.dsca.akamaiedge.net",,,,,,,,"2a02:26f0:1700:11::b856:6796, 2a02:26f0:1700:11::b856:679b",
[x],apacpdi-rr.ups.com,153.2.181.215,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apacpdi-ww.ups.com,153.2.183.228,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apacpdi.dmz-gslb.ups.com,153.2.181.215,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],apacpdi.ups.com,,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,apacpdi.dmz-gslb.ups.com,,,,,,,,,
[x],apacpdiwebapi-rr.ups.com,153.2.181.216,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apacpdiwebapi-ww.ups.com,153.2.183.229,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apacpdiwebapi.dmz-gslb.ups.com,153.2.181.216,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],apacpdiwebapi.ups.com,153.2.181.216,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,apacpdiwebapi.dmz-gslb.ups.com,,,,,,,,,
[x],apacpdiwebapi4-rr.ups.com,,,NOERROR,,,,,,,,,,
[x],apcsext.ups.com,"153.2.226.212, 153.2.230.156","resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apegwyprodrr.ups.com,153.2.224.101,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apegwyprodww.ups.com,153.2.228.78,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apegwyprodwwv10.ups.com,153.2.228.111,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-diad-mah.ups.com,153.2.104.164,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-diad-rruat.ups.com,153.2.104.171,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-diad-uat.dmz-gslb.ups.com,153.2.104.171,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
[x],api-diad-uat.ups.com,153.2.104.171,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,api-diad-uat.dmz-gslb.ups.com,,,,,,,,,
[x],api-diad-win.ups.com,153.2.112.137,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-diad-wwuat.ups.com,153.2.112.244,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-diad.ups.com,153.2.112.137,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,api-diad.dmz-gslb.ups.com,,,,,,,,,
[x],api-ecod-gw-bn4.ups.com,20.80.206.94,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-ecod-gw-dm2.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-kw-mah.ups.com,153.2.104.82,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-kw-win.ups.com,153.2.112.236,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-kw.ups.com,153.2.112.236,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,api-kw.dmz-gslb.ups.com,,,,,,,,,
[x],api-kwops-rruat.ups.com,153.2.104.168,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-kwops-uat.ups.com,,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,api-kwops-uat.dmz-gslb.ups.com,,,,,,,,,
[x],api-kwops-wwuat.ups.com,153.2.112.241,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api-lmstraining.ups.com,172.65.236.237,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"custom.v6hnognl1zq.us-south.codeengine.appdomain.cloud, s01.us-south.codeengine.appdomain.cloud, 69da8e352a40490d8b1ff233d3bc7f59.pacloudflare.com",True,cloudflare,,,,,,,
[x],api-mah.cdmv.ups.com,153.2.226.126,"resolve01.sslra.com, internet.ups.com",NOERROR,vip56-e44css.inside.ups.com,,,,,,,,,
[x],api-wec-gw-bn4.ups.com,20.80.206.94,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],api.dmz-gslb.ups.com,153.2.104.101,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],apian-win.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],apicefpmanager.dmz-gslb.ups.com,153.2.181.157,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],apigwye.dmz-gslb.ups.com,153.2.228.78,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
[x],apigwye.ups.com,153.2.224.101,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,apigwye.dmz-gslb.ups.com,,,,,,,,,
[x],apigwye2.dmz-gslb.ups.com,153.2.228.10,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
[x],apigwyev10.dmz-gslb.ups.com,153.2.224.113,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],apigwyi.dmz-gslb.ups.com,153.2.137.231,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],apigwyi.ups.com,153.2.8.186,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,apigwyi.dmz-gslb.ups.com,,,,,,,,,
[x],apis-cie-systest.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],apis-cie.ups.com,34.117.168.169,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],apis-prod-east4.ups.com,10.239.0.18,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,True,10.239.0.18,,,,
[x],apis-prod.east4.ups.com,34.95.102.6,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],apis.ups.com,34.160.217.61,"resolve01.sslra.com, internet.ups.com",NOERROR,,True,google,,,,,,,
[x],apm-etc.ups.com,,,NOERROR,,,,,,,,,,
[x],app.ups.com,208.94.20.12,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apps.pww1-ocp.ups.com,153.2.114.215,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apps.pww2-ocp.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],apps.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],aprefund1-rr.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],apt5.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],aptom.ups.com,153.2.181.158,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],aptomredirector.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],ark.ups.com,34.235.53.164,"dns-external-master.amazon.com, root.amazon.com",NOERROR,ec2-34-235-53-164.compute-1.amazonaws.com,,,,,,,,,
[x],arm-diad-mah.ups.com,156.134.88.130,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],arm-diad-rruat.ups.com,156.134.88.24,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],arm-diad-uat.ups.com,156.134.88.23,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,arm-diad-uat.dmz-gslb.ups.com,,,,,,,,,
[x],arm-diad-win.ups.com,156.134.120.196,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],arm-diad-wwuat.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],arm-diad.ups.com,156.134.120.96,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,arm-diad.dmz-gslb.ups.com,,,,,,,,,
[x],arm-kwops-rruat.ups.com,156.134.88.122,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],arm-kwops-uat.ups.com,156.134.120.97,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,arm-kwops-uat.dmz-gslb.ups.com,,,,,,,,,
[x],article.ups.com,"153.2.228.60, 153.2.224.60","resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],artifactoryrr.inside.ups.com,153.2.104.203,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],artifactoryww.inside.ups.com,,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],as2.ups.com,153.2.229.136,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],ascossvram2.us.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],asist.ups.com,,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,asist.dmz-gslb.ups.com,,,,,,,,,
[x],asys.mvs.us.ups.com,153.2.18.181,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],audit-op-cognos.ups.com,,,NOERROR,,,,,,,,,,
[x],austin-vip.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],author-brand.ups.com,,"ns-1643.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,author-ups-prods3-62.adobecqms.net,,,,,,,,,
[x],author-stage-brand.ups.com,,"ns-1643.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,author-ups-stage-62.adobecqms.net,,,,,,,,,
[x],auto4-rr.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],autodiscover.ups.com,23.210.113.200,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"autodiscover.ups.com.edgekey.net, e9502.a.akamaiedge.net",,,,,,,,,
[x],autotel24-rr.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],avs16.inside.ups.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],avsmobile1.inside.ups.com,,,NOERROR,,,,,,,,,,
[x],aw-diad-db.dmz-gslb.ups.com,156.134.214.7,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
[x],aw-diad-db.ups.com,156.134.214.7,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,aw-diad-db.dmz-gslb.ups.com,,,,,,,,,
[x],aw-kw-db.ups.com,156.134.214.4,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,aw-kw-db.dmz-gslb.ups.com,,,,,,,,,
[x],awc-diad-mah.ups.com,153.2.104.163,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awc-diad-uat.dmz-gslb.ups.com,153.2.104.170,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],awc-diad-uat.ups.com,153.2.104.170,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,awc-diad-uat.dmz-gslb.ups.com,,,,,,,,,
[x],awc-diad-win.ups.com,153.2.112.136,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awc-diad-wwuat.ups.com,153.2.112.243,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awc-diad.dmz-gslb.ups.com,153.2.112.136,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com",NOERROR,,,,,,,,,,
[x],awc-kw-mah.ups.com,153.2.104.81,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awc-kw-win.ups.com,153.2.112.148,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awc-kw.dmz-gslb.ups.com,153.2.112.148,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
[x],awc-kw.ups.com,153.2.112.148,"ww-gslb-adns.dmz-gslb.ups.com, netman.ups.com, mah-gslb-adns.dmz-gslb.ups.com",NOERROR,awc-kw.dmz-gslb.ups.com,,,,,,,,,
[x],awc-kwops-rruat.ups.com,153.2.104.167,"resolve01.sslra.com, internet.ups.com",NOERROR,,,,,,,,,,
[x],awc-kwops-uat.dmz-gslb.ups.com,153.2.112.240,"mah-gslb-adns.dmz-gslb.ups.com, netman.ups.com, ww-gslb-adns.dmz-gslb.ups.com",NOERROR,,,,,,,,,,
