new,host,a,soa,status_code,aaaa,cname,ns,cdn,cdn-name,mx,txt
[x],acam.consumerfinance.gov,"52.61.134.133, 52.61.132.15, 52.61.133.29","ns1-hio.salesforce.com, hostmaster.salesforce.com",NOERROR,,"acam.consumerfinance.gov.00dt00000004xareau.live.siteforce.com, na107.inst.siteforce.com, na107-hio.inst.siteforce.com, na107-hio.hio.r.inst.siteforce.com",,,,,
[x],api.consumerfinance.gov,"54.144.33.120, 52.45.47.118","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,ext-ngfw-externalalb1-2120939642.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,
[x],beta.consumerfinance.gov,92.122.107.115,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:b80::31d7, 2a02:26f0:480:baf::31d7","sancert.cfpb.gov.edgekey.net, e12759.dscb.akamaiedge.net",,,,,
[x],collect.consumerfinance.gov,"52.61.129.42, 52.61.128.208, 52.61.129.222","ns1-ttd.salesforce.com, hostmaster.salesforce.com",NOERROR,,"collect.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, na217.inst.siteforce.com, na217-ttd.inst.siteforce.com, na217-ttd.ttd.r.inst.siteforce.com",,,,,
[x],consumerfinance.gov,52.21.11.213,"sauthns2.qwest.net, abuse.centurylinkservices.net",NOERROR,,,"sauthns1.qwest.net, sauthns2.qwest.net",,,"stn-mtpe-01-03-p.inet.qwest.net, cec-mtpe-01-03-p.inet.qwest.net","MS=ms32447474, qxwdb7w0v0pzcft5b3lnfv38cyhf2nmk, google-site-verification=8U_zbw7mKcakHqcvmNY9U-eYX8IuBtwhDdjSTG28h9g, v=spf1 mx ip4:40.92.0.0/15 ip4:40.107.0.0/16 ip4:52.100.0.0/14 ip4:104.47.0.0/17 ip6:2a01:111:f400::/48 ip6:2a01:111:f403::/48 ip4:51.4.72.0/24 ip4:51.5.72.0/24 ip4:51.5.80.0/27 ip4:20.47.149.138/32 ip4:51.4.80.0/27 ip6:2a01:4180:4051:0800::/64 ip6:2a0, 1:4180:4050:0800::/64 ip6:2a01:4180:4051:0400::/64 ip6:2a01:4180:4050:0400::/64 include:public.govdelivery.com include:rnmk.com -all"
[x],data.consumerfinance.gov,"52.61.128.208, 52.61.129.222, 52.61.129.42","ns1-ttd.salesforce.com, hostmaster.salesforce.com",NOERROR,,"data.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, na217.inst.siteforce.com, na217-ttd.inst.siteforce.com, na217-ttd.ttd.r.inst.siteforce.com",,,,,
[x],dev.exam.consumerfinance.gov,216.12.136.186,"sauthns2.qwest.net, abuse.centurylinkservices.net",NOERROR,,,,,,,
[x],econlab.consumerfinance.gov,"54.144.33.120, 52.45.47.118","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,ext-ngfw-externalalb1-2120939642.us-east-1.elb.amazonaws.com,,,,,
[x],es.consumerfinance.gov,65.157.52.17,"sauthns2.qwest.net, abuse.centurylinkservices.net",NOERROR,,,,,,,
[x],exam.consumerfinance.gov,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,d2b7qf2ctdomff.cloudfront.net,,,,,
[x],files.consumerfinance.gov,"108.138.7.50, 108.138.7.82, 108.138.7.5, 108.138.7.6","ns-517.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,d18o04ba5zqq21.cloudfront.net,"ns-427.awsdns-53.com, ns-517.awsdns-00.net, ns-1273.awsdns-31.org, ns-1917.awsdns-47.co.uk",True,cloudfront,,
[x],hmdahelp.consumerfinance.gov,"52.61.129.42, 52.61.128.208, 52.61.129.222","ns1-ttd.salesforce.com, hostmaster.salesforce.com",NOERROR,,"hmdahelp.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, na217.inst.siteforce.com, na217-ttd.inst.siteforce.com, na217-ttd.ttd.r.inst.siteforce.com",,,,,
[x],inclusivity.consumerfinance.gov,"52.61.129.222, 52.61.129.42, 52.61.128.208","ns1-ttd.salesforce.com, hostmaster.salesforce.com",NOERROR,,"inclusivity.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, na217.inst.siteforce.com, na217-ttd.inst.siteforce.com, na217-ttd.ttd.r.inst.siteforce.com",,,,,
[x],portal.consumerfinance.gov,"52.61.129.222, 52.61.128.208, 52.61.129.42","ns1-ttd.salesforce.com, hostmaster.salesforce.com",NOERROR,,"portal.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, na217.inst.siteforce.com, na217-ttd.inst.siteforce.com, na217-ttd.ttd.r.inst.siteforce.com",,,,,
[x],reginquiries.consumerfinance.gov,"52.61.129.222, 52.61.129.42, 52.61.128.208","ns1-ttd.salesforce.com, hostmaster.salesforce.com",NOERROR,,"reginquiries.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, na217.inst.siteforce.com, na217-ttd.inst.siteforce.com, na217-ttd.ttd.r.inst.siteforce.com",,,,,
[x],reginquiry.consumerfinance.gov,"52.61.128.208, 52.61.129.42, 52.61.129.222","ns1-ttd.salesforce.com, hostmaster.salesforce.com",NOERROR,,"reginquiry.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, na217.inst.siteforce.com, na217-ttd.inst.siteforce.com, na217-ttd.ttd.r.inst.siteforce.com",,,,,
[x],sblhelp.consumerfinance.gov,"52.61.129.222, 52.61.128.208, 52.61.129.42","ns1-ttd.salesforce.com, hostmaster.salesforce.com",NOERROR,,"sblhelp.consumerfinance.gov.00do0000000hjvneag.live.siteforce.com, na217.inst.siteforce.com, na217-ttd.inst.siteforce.com, na217-ttd.ttd.r.inst.siteforce.com",,,,,
