input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,webserver,tech_,final_url,csp_domains_,tls_mismatched,tls_subject_org_,cdn_name,cdn,tls_self_signed
1-inc.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,54.208.0.0/14,1-inc.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,1-inc.cloud.tyk.io,443,https://1-inc.cloud.tyk.io:443,https,text/html,GET,54.210.191.147,/,-138391155,54.210.68.5,223,False,True,,HSTS,,,,,,,
112d.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,54.88.0.0/14,112d.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,112d.cloud.tyk.io,80,http://112d.cloud.tyk.io:80,http,text/html,GET,54.88.196.71,/,-138391155,54.210.191.147,223,False,True,,HSTS,https://112d.cloud.tyk.io/,,,,,,
155-9-182-39.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,54.88.0.0/14,155-9-182-39.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,155-9-182-39.cloud.tyk.io,443,https://155-9-182-39.cloud.tyk.io:443,https,text/html,GET,54.88.196.71,/,-138391155,3.208.49.197,223,False,True,,HSTS,,,,,,,
155-9-197-96.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,54.208.0.0/14,155-9-197-96.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,155-9-197-96.cloud.tyk.io,443,https://155-9-197-96.cloud.tyk.io:443,https,text/html,GET,54.210.68.5,/,-138391155,3.208.49.197,223,False,True,,HSTS,,,,,,,
155-9-203-44.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,54.208.0.0/14,155-9-203-44.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,155-9-203-44.cloud.tyk.io,443,https://155-9-203-44.cloud.tyk.io:443,https,text/html,GET,54.210.68.5,/,-138391155,54.210.191.147,223,False,True,,HSTS,,,,,,,
155-9-206-22.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,3.218.182.0/24,155-9-206-22.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,155-9-206-22.cloud.tyk.io,443,https://155-9-206-22.cloud.tyk.io:443,https,text/html,GET,3.208.49.197,/,-138391155,54.210.191.147,223,False,True,,HSTS,,,,,,,
155-9-208-55.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,3.218.182.0/24,155-9-208-55.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,155-9-208-55.cloud.tyk.io,443,https://155-9-208-55.cloud.tyk.io:443,https,text/html,GET,3.208.49.197,/,-138391155,54.210.68.5,223,False,True,,HSTS,,,,,,,
155-9-208-63.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,54.208.0.0/14,155-9-208-63.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,155-9-208-63.cloud.tyk.io,443,https://155-9-208-63.cloud.tyk.io:443,https,text/html,GET,54.210.68.5,/,-138391155,3.208.49.197,223,False,True,,HSTS,,,,,,,
155-9-213-85.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,54.208.0.0/14,155-9-213-85.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,155-9-213-85.cloud.tyk.io,80,http://155-9-213-85.cloud.tyk.io:80,http,text/html,GET,54.210.191.147,/,-138391155,54.210.68.5,223,False,True,,HSTS,https://155-9-213-85.cloud.tyk.io/,,,,,,
155-9-224-20.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,AS14618,AMAZON-AES,US,54.208.0.0/14,155-9-224-20.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,155-9-224-20.cloud.tyk.io,80,http://155-9-224-20.cloud.tyk.io:80,http,text/html,GET,54.210.68.5,/,-138391155,3.208.49.197,223,False,True,,HSTS,https://155-9-224-20.cloud.tyk.io/,,,,,,
