new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,ns,caa,has_internal_ips,internal_ips,mx
[x],mgmt-sensors.iris.testing.forescoutcloud.net,"104.18.11.16, 104.18.10.16","2606:4700::6812:a10, 2606:4700::6812:b10",mgmt-sensors.iris.testing.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],mgmtpod-1-dashboard.acceptance.forescoutcloud.net,"104.18.18.57, 104.18.19.57","2606:4700::6812:1239, 2606:4700::6812:1339",mgmtpod-1-dashboard.acceptance.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],mgmtpod-1-dashboard.development.forescoutcloud.net,,,,"ns-1512.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=fs-eyesegment-eks-dev,external-dns/resource=ingress/mgmt-pod/mgmt-pod",,,,,
[x],mgmtpod-1-dashboard.production.forescoutcloud.net,"104.18.15.66, 104.18.14.66","2606:4700::6812:f42, 2606:4700::6812:e42",mgmtpod-1-dashboard.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],mgmtpod-1-dashboard.testing.forescoutcloud.net,"104.18.27.212, 104.18.26.212","2606:4700::6812:1bd4, 2606:4700::6812:1ad4",mgmtpod-1-dashboard.testing.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],mgmtpod-1.acceptance.forescoutcloud.net,"104.18.18.57, 104.18.19.57","2606:4700::6812:1339, 2606:4700::6812:1239",mgmtpod-1.acceptance.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],mgmtpod-1.development.forescoutcloud.net,"10.64.68.139, 10.64.196.141, 10.64.134.114",,aecf523ebaac3432587fed3f56a18e32-5ff1867c5f6f2d71.elb.us-east-1.amazonaws.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.64.68.139, 10.64.196.141, 10.64.134.114",
[x],mgmtpod-1.iris.production.forescoutcloud.net,"104.18.8.121, 104.18.9.121","2606:4700::6812:979, 2606:4700::6812:879",mgmtpod-1.iris.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],mgmtpod-1.production.forescoutcloud.net,"104.18.14.66, 104.18.15.66","2606:4700::6812:f42, 2606:4700::6812:e42",mgmtpod-1.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],mgmtpod-1.testing.forescoutcloud.net,"104.18.26.212, 104.18.27.212","2606:4700::6812:1bd4, 2606:4700::6812:1ad4",mgmtpod-1.testing.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
