new,host,a,soa,status_code,ns,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,caa,aaaa
[x],dev6.labs-dev.coursera.org,"34.230.207.50, 100.25.238.227","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1481.awsdns-57.org, ns-1590.awsdns-06.co.uk, ns-258.awsdns-32.com, ns-688.awsdns-22.net",,,,,,,,,
[x],dev7.labs-dev.coursera.org,"100.25.238.227, 34.230.207.50","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev8.labs-dev.coursera.org,"100.25.238.227, 34.230.207.50","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev9.labs-dev.coursera.org,"34.230.207.50, 100.25.238.227","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],email.coursera.org,13.111.67.8,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,"ns3.exacttarget.com, ns1.exacttarget.com, ns2.exacttarget.com, ns4.exacttarget.com",,,,reply.s11.exacttarget.com,"v=spf1 include:cust-spf.exacttarget.com -all, google-site-verification=f2-033muDitJz4G3-GqRk4U01uUsrRwGAHa0x0VEqnU, google-site-verification=8vfbvx1vNCa52suw_9TOFGdSGX4vs2ympUTwM_VeR1k",,,,
[x],en.coursera.org,"99.86.114.65, 99.86.114.11, 99.86.114.77, 99.86.114.30","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],eventing.coursera.org,"107.23.99.193, 3.95.96.73, 54.159.193.142, 54.160.255.142, 54.173.161.111, 107.21.27.58","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,api.coursera.org,,,,,,
[x],experts.coursera.org,"107.21.27.58, 54.159.193.142, 54.173.161.111, 3.95.96.73, 107.23.99.193, 54.160.255.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],external.coursera.org,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,d3ovg3b3os0fvl.cloudfront.net,,,,,,
[x],fr.coursera.org,"52.222.174.15, 52.222.174.103, 52.222.174.9, 52.222.174.18","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],gb.coursera.org,"18.165.122.105, 18.165.122.74, 18.165.122.78, 18.165.122.33","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],go.coursera.org,,"ns-364.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1327.awsdns-37.org, ns-1591.awsdns-06.co.uk, ns-364.awsdns-45.com, ns-995.awsdns-60.net",True,cloudfront,d1h07086blu20i.cloudfront.net,,,,,,
[x],gp.coursera.org,,"ns-693.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1306.awsdns-35.org, ns-1962.awsdns-53.co.uk, ns-693.awsdns-22.net, ns-8.awsdns-01.com",,,,,,,,,
[x],gsemail.coursera.org,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,u17461426.wl177.sendgrid.net,,,,,,
[x],h-135-197-255-49.labs-dev.coursera.org,"34.230.207.50, 100.25.238.227","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-53-1.labs-dev.coursera.org,"34.230.207.50, 100.25.238.227","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],hello.coursera.org,"44.240.131.16, 35.162.20.111, 54.185.21.100","ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ded81215-2afa-461a-ab77-e2efc6886694.outrch.com, app1a.outrch.com",,,,,letsencrypt.org,
[x],help.coursera.org,"52.222.174.9, 52.222.174.103, 52.222.174.18, 52.222.174.15","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],helpdesk.coursera.org,136.143.190.99,"ns1.vtitan.com, dnsadmin.vtitan.com",NOERROR,,,,"customer-sdpondemand.manageengine.com, csdp.manageengine.com",,,,,letsencrypt.org,
[x],hub.labs.coursera.org,"3.92.168.156, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],image.email.coursera.org,23.6.68.90,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"akamai-san92.exacttarget.com.edgekey.net, e8049.dscx.akamaiedge.net",,,,,,"2600:1408:7400:486::1f71, 2600:1408:7400:491::1f71"
[x],in.coursera.org,"18.66.97.59, 18.66.97.83, 18.66.97.101, 18.66.97.124","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],intra.coursera.org,"107.21.27.58, 107.23.99.193, 54.160.255.142, 54.159.193.142, 54.173.161.111, 3.95.96.73","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],investor.coursera.org,"18.66.97.83, 18.66.97.124, 18.66.97.101, 18.66.97.59","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],jp.coursera.org,"18.165.122.33, 18.165.122.105, 18.165.122.74, 18.165.122.78","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],jrss-215-71-136-93api.labs-dev.coursera.org,"100.25.238.227, 34.230.207.50","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1481.awsdns-57.org, ns-1590.awsdns-06.co.uk, ns-258.awsdns-32.com, ns-688.awsdns-22.net",,,,,,,,,
[x],ko.coursera.org,"18.165.183.125, 18.165.183.114, 18.165.183.50, 18.165.183.4","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1481.awsdns-57.org, ns-1590.awsdns-06.co.uk, ns-258.awsdns-32.com, ns-688.awsdns-22.net",True,cloudfront,,,,,,,
[x],kr.coursera.org,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],legacy.labs.coursera.org,"3.92.168.156, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
